	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	user	3.866126723833039	5.5288748401122226e-05	14	2	0.024013722126929673	0.002320185614849188
1	access	3.0309841248413196	0.0012187903184225767	34	23	0.058319039451114926	0.02668213457076566
2	unauthorized	2.814194886727772	0.002444978654673866	18	9	0.030874785591766724	0.010440835266821345
3	life	2.723685979240721	0.0032278928165247757	5	0	0.008576329331046312	0.0
4	want	2.4352933583589964	0.007439860388375708	4	0	0.00686106346483705	0.0
5	break	2.1082945021883326	0.017502761608685875	3	0	0.005145797598627788	0.0
6	detrimental	2.1082945021883326	0.017502761608685875	3	0	0.005145797598627788	0.0
7	grant	2.1082945021883326	0.017502761608685875	3	0	0.005145797598627788	0.0
8	know	2.0034733997440397	0.022563249982653816	6	2	0.010291595197255575	0.002320185614849188
9	could	1.8458334596899209	0.03245819532637586	26	23	0.044596912521440824	0.02668213457076566
10	able	1.8105244386368133	0.035107249013180464	4	1	0.00686106346483705	0.001160092807424594
11	issue	1.8105244386368133	0.035107249013180464	4	1	0.00686106346483705	0.001160092807424594
12	might	1.8105244386368133	0.035107249013180464	4	1	0.00686106346483705	0.001160092807424594
13	others	1.8105244386368133	0.035107249013180464	4	1	0.00686106346483705	0.001160092807424594
14	supposed	1.8105244386368133	0.035107249013180464	4	1	0.00686106346483705	0.001160092807424594
15	anyways	1.7208186782694666	0.04264186596772898	2	0	0.003430531732418525	0.0
16	damage	1.7208186782694666	0.04264186596772898	2	0	0.003430531732418525	0.0
17	end	1.7208186782694666	0.04264186596772898	2	0	0.003430531732418525	0.0
18	job	1.7208186782694666	0.04264186596772898	2	0	0.003430531732418525	0.0
19	medication	1.7208186782694666	0.04264186596772898	2	0	0.003430531732418525	0.0
20	setting	1.7208186782694666	0.04264186596772898	2	0	0.003430531732418525	0.0
21	small	1.7208186782694666	0.04264186596772898	2	0	0.003430531732418525	0.0
22	trouble	1.7208186782694666	0.04264186596772898	2	0	0.003430531732418525	0.0
23	sensitive	1.6803513049552632	0.046444492204294224	5	2	0.008576329331046312	0.002320185614849188
