	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	society	6.1022200459335165	5.230261277192429e-10	50	1	0.058004640371229696	0.0014992503748125937
1	information	3.0989705818111406	0.0009709715071653494	21	3	0.024361948955916472	0.004497751124437781
2	patient	2.9481018807736836	0.0015986583672613507	31	8	0.03596287703016241	0.01199400299850075
3	dangerous	2.646747353508304	0.004063502259388476	9	0	0.010440835266821345	0.0
4	personal	2.494556892664905	0.0063057253731885355	8	0	0.009280742459396751	0.0
5	people	2.2632652896741954	0.011809670310463509	23	7	0.02668213457076566	0.010494752623688156
6	affected	2.1589306912197133	0.015427772192883587	6	0	0.0069605568445475635	0.0
7	community	2.1589306912197133	0.015427772192883587	6	0	0.0069605568445475635	0.0
8	mistakenly	2.1589306912197133	0.015427772192883587	6	0	0.0069605568445475635	0.0
9	medical	2.1324352252134555	0.01648554209205099	18	5	0.02088167053364269	0.0074962518740629685
10	impact	1.9726049741123024	0.024270292931725487	8	1	0.009280742459396751	0.0014992503748125937
11	part	1.9701783638647246	0.02440896615050952	5	0	0.00580046403712297	0.0
12	anyone	1.779756013938398	0.037557949521056566	7	1	0.008120649651972157	0.0014992503748125937
13	one	1.779756013938398	0.037557949521056566	7	1	0.008120649651972157	0.0014992503748125937
14	got	1.7616032407188071	0.03906817800953756	4	0	0.004640371229698376	0.0
15	public	1.7616032407188071	0.03906817800953756	4	0	0.004640371229698376	0.0
