	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	society	5.464258731316733	2.3242256591151937e-08	50	2	0.058004640371229696	0.003430531732418525
1	patient	3.276818419420734	0.0005249193078325096	31	5	0.03596287703016241	0.008576329331046312
2	affected	2.018644283451344	0.021762102419988407	6	0	0.0069605568445475635	0.0
3	community	2.018644283451344	0.021762102419988407	6	0	0.0069605568445475635	0.0
4	family	2.018644283451344	0.021762102419988407	6	0	0.0069605568445475635	0.0
5	staff	1.9972736854935356	0.02289773015424876	12	2	0.013921113689095127	0.003430531732418525
6	impact	1.7933276768761952	0.036460272205594065	8	1	0.009280742459396751	0.0017152658662092624
7	hospital	1.7894252036655307	0.036773181664764974	24	8	0.027842227378190254	0.0137221269296741
8	affect	1.6470719581476738	0.04977162807754047	4	0	0.004640371229698376	0.0
9	care	1.6470719581476738	0.04977162807754047	4	0	0.004640371229698376	0.0
10	everyone	1.6470719581476738	0.04977162807754047	4	0	0.004640371229698376	0.0
11	got	1.6470719581476738	0.04977162807754047	4	0	0.004640371229698376	0.0
12	member	1.6470719581476738	0.04977162807754047	4	0	0.004640371229698376	0.0
13	public	1.6470719581476738	0.04977162807754047	4	0	0.004640371229698376	0.0
