	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	society	4.604687785974117	2.06542561721164e-06	34	0	0.04461942257217848	0.0
1	family	3.685473710383165	0.0001141388232371891	22	0	0.028871391076115485	0.0
2	hospital	2.3445922589850006	0.009523948679247418	9	0	0.011811023622047244	0.0
3	staff	2.3445922589850006	0.009523948679247418	9	0	0.011811023622047244	0.0
4	friend	2.2095936698092262	0.013566687517917446	8	0	0.010498687664041995	0.0
5	member	2.066036272192292	0.019412527390845764	7	0	0.009186351706036745	0.0
6	loved	1.91199253381438	0.027938575851988712	6	0	0.007874015748031496	0.0
7	patient	1.782926914042688	0.03729910063427649	17	4	0.02230971128608924	0.008658008658008658
8	people	1.782926914042688	0.03729910063427649	17	4	0.02230971128608924	0.008658008658008658
9	medical	1.672069909801104	0.047255268653645044	11	2	0.014435695538057743	0.004329004329004329
10	one	1.6544092563400654	0.0490221935041352	8	1	0.010498687664041995	0.0021645021645021645
