	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	society	5.130850858837205	1.4421769127441093e-07	34	0	0.04461942257217848	0.0
1	family	4.108379980514155	1.9922208635500362e-05	22	0	0.028871391076115485	0.0
2	hospital	2.6148354098608535	0.004463523106936314	9	0	0.011811023622047244	0.0
3	staff	2.6148354098608535	0.004463523106936314	9	0	0.011811023622047244	0.0
4	friend	2.4643627938326573	0.006862855157723108	8	0	0.010498687664041995	0.0
5	member	2.30433353319062	0.01060196398040248	7	0	0.009186351706036745	0.0
6	people	2.235311905875633	0.012698439488425261	17	4	0.02230971128608924	0.006956521739130435
7	loved	2.132596724160128	0.016478911143258	6	0	0.007874015748031496	0.0
8	loss	1.9460546405733752	0.025824088219252788	5	0	0.006561679790026247	0.0
9	one	1.9392731020378655	0.026234046172610454	8	1	0.010498687664041995	0.0017391304347826088
10	death	1.7399511734149105	0.040933795943221815	4	0	0.005249343832020997	0.0
11	doctor	1.7399511734149105	0.040933795943221815	4	0	0.005249343832020997	0.0
12	lead	1.7399511734149105	0.040933795943221815	4	0	0.005249343832020997	0.0
13	like	1.7399511734149105	0.040933795943221815	4	0	0.005249343832020997	0.0
14	make	1.7399511734149105	0.040933795943221815	4	0	0.005249343832020997	0.0
