	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	society	5.994277059630307	1.0219632504809911e-09	48	0	0.06030150753768844	0.0
1	family	3.4196878046599926	0.0003134652021420067	16	0	0.020100502512562814	0.0
2	hospital	2.697534782541251	0.0034927493343466518	10	0	0.01256281407035176	0.0
3	people	2.6526890651049535	0.003992669645150088	21	4	0.026381909547738693	0.006956521739130435
4	staff	2.558166555304061	0.005261284020895366	9	0	0.011306532663316583	0.0
5	also	2.4109776333779203	0.007954912043778158	8	0	0.010050251256281407	0.0
6	member	2.4109776333779203	0.007954912043778158	8	0	0.010050251256281407	0.0
7	affected	1.9039510050748403	0.028458282716396426	5	0	0.00628140703517588	0.0
8	impacted	1.9039510050748403	0.028458282716396426	5	0	0.00628140703517588	0.0
9	part	1.9039510050748403	0.028458282716396426	5	0	0.00628140703517588	0.0
10	may	1.841044967342671	0.03280748464848463	17	5	0.02135678391959799	0.008695652173913044
