	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	renter	3.115143845717581	0.0009192761332625214	26	12	0.04043545878693624	0.014475271411338963
1	denied	2.9631556428109262	0.0015225127877700315	9	1	0.013996889580093312	0.0012062726176115801
2	situation	2.786983027177555	0.0026600632692354324	6	0	0.00933125972006221	0.0
3	fee	2.2740114740362936	0.01148264832810401	4	0	0.006220839813374806	0.0
4	mistake	2.2740114740362936	0.01148264832810401	4	0	0.006220839813374806	0.0
5	opportunity	2.2474575868291393	0.012305399123253775	6	1	0.00933125972006221	0.0012062726176115801
6	pay	2.196272753220074	0.014036213360944362	9	3	0.013996889580093312	0.0036188178528347406
7	live	2.0686062191990238	0.01929152692942291	7	2	0.01088646967340591	0.0024125452352231603
8	place	2.0686062191990238	0.01929152692942291	7	2	0.01088646967340591	0.0024125452352231603
9	denying	1.9686812873915944	0.024494850728975153	3	0	0.004665629860031105	0.0
10	eviction	1.9686812873915944	0.024494850728975153	3	0	0.004665629860031105	0.0
11	high	1.9686812873915944	0.024494850728975153	3	0	0.004665629860031105	0.0
12	work	1.9622063854394445	0.024869230410922177	5	1	0.007776049766718507	0.0012062726176115801
13	may	1.8654854600984967	0.031056694186745934	9	4	0.013996889580093312	0.0048250904704463205
14	lead	1.7907977241618664	0.036662880308750014	6	2	0.00933125972006221	0.0024125452352231603
