	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	fraudulent	5.440093841235071	2.6626256686621876e-08	24	3	0.04285714285714286	0.0033444816053511705
1	payment	4.530990406874641	2.935390236295396e-06	34	15	0.060714285714285714	0.016722408026755852
2	money	4.128843879805444	1.8229592287472862e-05	16	3	0.02857142857142857	0.0033444816053511705
3	allowing	3.3565800020772376	0.00039456443459534905	7	0	0.0125	0.0
4	issue	3.3565800020772376	0.00039456443459534905	7	0	0.0125	0.0
5	lose	2.86075358710519	0.002113177008941181	7	1	0.0125	0.0011148272017837235
6	loss	2.834873458651081	0.0022921920189501316	5	0	0.008928571428571428	0.0
7	paid	2.834873458651081	0.0022921920189501316	5	0	0.008928571428571428	0.0
8	caught	2.5347152188722535	0.005626938668591762	4	0	0.007142857142857143	0.0
9	income	2.5347152188722535	0.005626938668591762	4	0	0.007142857142857143	0.0
10	accepting	2.1943727828247335	0.014104310458847347	3	0	0.005357142857142857	0.0
11	allows	2.1943727828247335	0.014104310458847347	3	0	0.005357142857142857	0.0
12	getting	2.1943727828247335	0.014104310458847347	3	0	0.005357142857142857	0.0
13	losing	2.1943727828247335	0.014104310458847347	3	0	0.005357142857142857	0.0
14	mean	2.1943727828247335	0.014104310458847347	3	0	0.005357142857142857	0.0
15	cause	1.9139346338451448	0.027814254196250974	4	1	0.007142857142857143	0.0011148272017837235
16	actually	1.7910820648929373	0.0366400633994364	2	0	0.0035714285714285713	0.0
17	come	1.7910820648929373	0.0366400633994364	2	0	0.0035714285714285713	0.0
18	crime	1.7910820648929373	0.0366400633994364	2	0	0.0035714285714285713	0.0
19	heshe	1.7910820648929373	0.0366400633994364	2	0	0.0035714285714285713	0.0
20	know	1.7910820648929373	0.0366400633994364	2	0	0.0035714285714285713	0.0
21	potential	1.7910820648929373	0.0366400633994364	2	0	0.0035714285714285713	0.0
22	probably	1.7910820648929373	0.0366400633994364	2	0	0.0035714285714285713	0.0
23	receiving	1.7910820648929373	0.0366400633994364	2	0	0.0035714285714285713	0.0
24	repercussion	1.7910820648929373	0.0366400633994364	2	0	0.0035714285714285713	0.0
25	term	1.7910820648929373	0.0366400633994364	2	0	0.0035714285714285713	0.0
26	though	1.7910820648929373	0.0366400633994364	2	0	0.0035714285714285713	0.0
27	one	1.724776812420603	0.042283851021394384	7	4	0.0125	0.004459308807134894
