	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	society	5.227980991283283	8.568556224840286e-08	43	1	0.05186972255729795	0.0017857142857142857
1	community	2.1800320053315403	0.014627544606640088	7	0	0.008443908323281062	0.0
2	make	2.1800320053315403	0.014627544606640088	7	0	0.008443908323281062	0.0
3	family	1.9614757914060528	0.02491177315228277	9	1	0.010856453558504222	0.0017857142857142857
4	apartment	1.8411315838283653	0.03280113913127904	5	0	0.006031363088057901	0.0
5	renting	1.8411315838283653	0.03280113913127904	5	0	0.006031363088057901	0.0
6	anyone	1.6461635459086912	0.04986504614780011	4	0	0.0048250904704463205	0.0
7	consider	1.6461635459086912	0.04986504614780011	4	0	0.0048250904704463205	0.0
8	happen	1.6461635459086912	0.04986504614780011	4	0	0.0048250904704463205	0.0
9	likely	1.6461635459086912	0.04986504614780011	4	0	0.0048250904704463205	0.0
