	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	society	5.389611947093365	3.530499220958611e-08	49	1	0.054626532887402456	0.0017857142857142857
1	community	2.507224958032741	0.006084162044154708	10	0	0.011148272017837236	0.0
2	renter	2.4767132044205025	0.006629920147860153	25	5	0.027870680044593088	0.008928571428571428
3	mistake	2.2409820021387046	0.012513620423715899	8	0	0.008918617614269788	0.0
4	denying	2.095523747116224	0.018062229862233017	7	0	0.007803790412486065	0.0
5	stress	2.095523747116224	0.018062229862233017	7	0	0.007803790412486065	0.0
6	consider	1.9394093580473146	0.02622575596672467	6	0	0.006688963210702341	0.0
7	denied	1.8665376949398547	0.03098308766892269	12	2	0.013377926421404682	0.0035714285714285713
8	family	1.8548987502017222	0.0318053432492253	9	1	0.010033444816053512	0.0017857142857142857
9	people	1.7874704960331813	0.03693073828284815	19	5	0.021181716833890748	0.008928571428571428
10	future	1.7698206653786015	0.03837851008575257	5	0	0.005574136008918618	0.0
11	need	1.7698206653786015	0.03837851008575257	5	0	0.005574136008918618	0.0
12	affected	1.6903662515818816	0.04547895370973649	8	1	0.008918617614269788	0.0017857142857142857
