	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	society	6.47643152810016	4.695860275234061e-11	55	1	0.06462984723854288	0.0014992503748125937
1	patient	2.657115141491409	0.003940626005331638	28	8	0.03290246768507638	0.01199400299850075
2	family	2.644578651232226	0.004089634779490305	12	1	0.01410105757931845	0.0014992503748125937
3	part	2.172870042447137	0.014895049883318745	6	0	0.007050528789659225	0.0
4	impact	1.9902368428741117	0.02328242577848803	8	1	0.009400705052878966	0.0014992503748125937
5	consider	1.982894283999892	0.02368961964315788	5	0	0.005875440658049354	0.0
6	everyone	1.7964314337596974	0.03621296418563385	7	1	0.008225616921269096	0.0014992503748125937
7	affected	1.7729687495867819	0.03811694265709198	4	0	0.004700352526439483	0.0
8	community	1.7729687495867819	0.03811694265709198	4	0	0.004700352526439483	0.0
9	face	1.7729687495867819	0.03811694265709198	4	0	0.004700352526439483	0.0
10	considered	1.5349291490623131	0.06240061626853568	3	0	0.0035252643948296123	0.0
11	done	1.5349291490623131	0.06240061626853568	3	0	0.0035252643948296123	0.0
12	effect	1.5349291490623131	0.06240061626853568	3	0	0.0035252643948296123	0.0
13	general	1.5349291490623131	0.06240061626853568	3	0	0.0035252643948296123	0.0
14	impacted	1.5349291490623131	0.06240061626853568	3	0	0.0035252643948296123	0.0
15	level	1.5349291490623131	0.06240061626853568	3	0	0.0035252643948296123	0.0
16	longer	1.5349291490623131	0.06240061626853568	3	0	0.0035252643948296123	0.0
17	public	1.5349291490623131	0.06240061626853568	3	0	0.0035252643948296123	0.0
18	safety	1.5349291490623131	0.06240061626853568	3	0	0.0035252643948296123	0.0
19	second	1.5349291490623131	0.06240061626853568	3	0	0.0035252643948296123	0.0
20	treatment	1.3486779573809815	0.08872021429657495	5	1	0.005875440658049354	0.0014992503748125937
21	case	1.2528509882102281	0.10512997075272174	2	0	0.0023501762632197414	0.0
22	concern	1.2528509882102281	0.10512997075272174	2	0	0.0023501762632197414	0.0
23	due	1.2528509882102281	0.10512997075272174	2	0	0.0023501762632197414	0.0
24	employer	1.2528509882102281	0.10512997075272174	2	0	0.0023501762632197414	0.0
25	group	1.2528509882102281	0.10512997075272174	2	0	0.0023501762632197414	0.0
26	input	1.2528509882102281	0.10512997075272174	2	0	0.0023501762632197414	0.0
27	knowledge	1.2528509882102281	0.10512997075272174	2	0	0.0023501762632197414	0.0
28	little	1.2528509882102281	0.10512997075272174	2	0	0.0023501762632197414	0.0
29	live	1.2528509882102281	0.10512997075272174	2	0	0.0023501762632197414	0.0
30	medicine	1.2528509882102281	0.10512997075272174	2	0	0.0023501762632197414	0.0
31	minority	1.2528509882102281	0.10512997075272174	2	0	0.0023501762632197414	0.0
32	personal	1.2528509882102281	0.10512997075272174	2	0	0.0023501762632197414	0.0
33	possibly	1.2528509882102281	0.10512997075272174	2	0	0.0023501762632197414	0.0
34	rest	1.2528509882102281	0.10512997075272174	2	0	0.0023501762632197414	0.0
35	saving	1.2528509882102281	0.10512997075272174	2	0	0.0023501762632197414	0.0
36	societal	1.2528509882102281	0.10512997075272174	2	0	0.0023501762632197414	0.0
37	technology	1.2528509882102281	0.10512997075272174	2	0	0.0023501762632197414	0.0
38	anyone	1.0803355064551134	0.13999640193641566	4	1	0.004700352526439483	0.0014992503748125937
39	care	1.0803355064551134	0.13999640193641566	4	1	0.004700352526439483	0.0014992503748125937
40	much	1.0803355064551134	0.13999640193641566	4	1	0.004700352526439483	0.0014992503748125937
41	professional	1.0803355064551134	0.13999640193641566	4	1	0.004700352526439483	0.0014992503748125937
42	see	1.0803355064551134	0.13999640193641566	4	1	0.004700352526439483	0.0014992503748125937
43	accompanying	0.885607390860863	0.1879145637519129	1	0	0.0011750881316098707	0.0
44	accurate	0.885607390860863	0.1879145637519129	1	0	0.0011750881316098707	0.0
45	action	0.885607390860863	0.1879145637519129	1	0	0.0011750881316098707	0.0
46	actually	0.885607390860863	0.1879145637519129	1	0	0.0011750881316098707	0.0
47	added	0.885607390860863	0.1879145637519129	1	0	0.0011750881316098707	0.0
48	address	0.885607390860863	0.1879145637519129	1	0	0.0011750881316098707	0.0
49	administration	0.885607390860863	0.1879145637519129	1	0	0.0011750881316098707	0.0
50	administrative	0.885607390860863	0.1879145637519129	1	0	0.0011750881316098707	0.0
51	adult	0.885607390860863	0.1879145637519129	1	0	0.0011750881316098707	0.0
52	aka	0.885607390860863	0.1879145637519129	1	0	0.0011750881316098707	0.0
53	always	0.885607390860863	0.1879145637519129	1	0	0.0011750881316098707	0.0
54	anger	0.885607390860863	0.1879145637519129	1	0	0.0011750881316098707	0.0
55	animal	0.885607390860863	0.1879145637519129	1	0	0.0011750881316098707	0.0
56	another	0.885607390860863	0.1879145637519129	1	0	0.0011750881316098707	0.0
57	apart	0.885607390860863	0.1879145637519129	1	0	0.0011750881316098707	0.0
58	area	0.885607390860863	0.1879145637519129	1	0	0.0011750881316098707	0.0
59	around	0.885607390860863	0.1879145637519129	1	0	0.0011750881316098707	0.0
60	attend	0.885607390860863	0.1879145637519129	1	0	0.0011750881316098707	0.0
61	authorization	0.885607390860863	0.1879145637519129	1	0	0.0011750881316098707	0.0
62	authorizing	0.885607390860863	0.1879145637519129	1	0	0.0011750881316098707	0.0
63	back	0.885607390860863	0.1879145637519129	1	0	0.0011750881316098707	0.0
