	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	need	2.492183982795386	0.006348012677009558	27	11	0.03391959798994975	0.014435695538057743
1	take	1.836651567680476	0.03313067469303676	6	1	0.007537688442211055	0.0013123359580052493
2	also	1.8346896491929658	0.03327584341259716	8	2	0.010050251256281407	0.0026246719160104987
3	cause	1.6962900285745774	0.04491548396966063	3	0	0.0037688442211055275	0.0
4	insurance	1.6962900285745774	0.04491548396966063	3	0	0.0037688442211055275	0.0
5	taken	1.6962900285745774	0.04491548396966063	3	0	0.0037688442211055275	0.0
6	tax	1.6962900285745774	0.04491548396966063	3	0	0.0037688442211055275	0.0
7	thinking	1.6962900285745774	0.04491548396966063	3	0	0.0037688442211055275	0.0
8	think	1.6062255381969182	0.0541121820390106	7	2	0.008793969849246231	0.0026246719160104987
9	away	1.5829655792293091	0.056714654989677565	5	1	0.00628140703517588	0.0013123359580052493
10	impacted	1.5829655792293091	0.056714654989677565	5	1	0.00628140703517588	0.0013123359580052493
11	part	1.5829655792293091	0.056714654989677565	5	1	0.00628140703517588	0.0013123359580052493
12	resource	1.5829655792293091	0.056714654989677565	5	1	0.00628140703517588	0.0013123359580052493
13	may	1.4703211831387235	0.07073739326037218	17	9	0.02135678391959799	0.011811023622047244
14	cost	1.4406150024530007	0.07484673982579138	8	3	0.010050251256281407	0.003937007874015748
15	society	1.3857071051749865	0.08291817886469288	48	34	0.06030150753768844	0.04461942257217848
16	available	1.3845698808267914	0.08309201324073862	2	0	0.002512562814070352	0.0
17	bill	1.3845698808267914	0.08309201324073862	2	0	0.002512562814070352	0.0
18	caring	1.3845698808267914	0.08309201324073862	2	0	0.002512562814070352	0.0
19	load	1.3845698808267914	0.08309201324073862	2	0	0.002512562814070352	0.0
20	pay	1.3845698808267914	0.08309201324073862	2	0	0.002512562814070352	0.0
21	really	1.3845698808267914	0.08309201324073862	2	0	0.002512562814070352	0.0
22	societal	1.3845698808267914	0.08309201324073862	2	0	0.002512562814070352	0.0
23	stay	1.3845698808267914	0.08309201324073862	2	0	0.002512562814070352	0.0
24	stress	1.3845698808267914	0.08309201324073862	2	0	0.002512562814070352	0.0
25	view	1.3845698808267914	0.08309201324073862	2	0	0.002512562814070352	0.0
26	wrong	1.3845698808267914	0.08309201324073862	2	0	0.002512562814070352	0.0
27	bed	1.3653806381885822	0.08606672304848728	15	8	0.018844221105527637	0.010498687664041995
28	else	1.2952313967237092	0.09762020849785502	4	1	0.005025125628140704	0.0013123359580052493
29	impact	1.0835419000850088	0.13928398169370682	8	4	0.010050251256281407	0.005249343832020997
30	affected	1.078838235464856	0.14032992331484373	5	2	0.00628140703517588	0.0026246719160104987
31	might	1.078838235464856	0.14032992331484373	5	2	0.00628140703517588	0.0026246719160104987
32	accident	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
33	account	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
34	added	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
35	african	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
36	already	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
37	american	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
38	ands	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
39	angry	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
40	assuming	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
41	attention	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
42	average	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
43	avoid	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
44	bankrupt	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
45	better	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
46	beyond	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
47	board	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
48	bring	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
49	broader	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
50	burdened	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
51	campaign	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
52	carelessness	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
53	charge	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
54	chart	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
55	city	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
56	coincide	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
57	colleague	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
58	country	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
59	critically	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
60	crucial	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
61	culture	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
62	deal	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
63	deplete	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
64	despite	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
65	direction	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
66	discriminatory	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
67	doctorspeople	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
68	dominant	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
69	easy	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
70	economical	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
71	either	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
72	empathy	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
73	equipment	0.9787243021761645	0.1638581104671764	1	0	0.001256281407035176	0.0
