	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	society	5.559813136362465	1.350318217238505e-08	48	34	0.06030150753768844	0.018899388549193995
1	also	3.0309582559511874	0.0012188947429579542	8	3	0.010050251256281407	0.0016675931072818232
2	impacted	2.8003724830911825	0.0025521834955940827	5	1	0.00628140703517588	0.0005558643690939411
3	part	2.8003724830911825	0.0025521834955940827	5	1	0.00628140703517588	0.0005558643690939411
4	cause	2.6053786961734744	0.004588638183101837	3	0	0.0037688442211055275	0.0
5	tax	2.6053786961734744	0.004588638183101837	3	0	0.0037688442211055275	0.0
6	thinking	2.6053786961734744	0.004588638183101837	3	0	0.0037688442211055275	0.0
7	may	2.459813451912257	0.006950462493670816	17	17	0.02135678391959799	0.009449694274596998
8	affected	2.3413867639724386	0.009606126485692102	5	2	0.00628140703517588	0.0011117287381878821
9	people	2.222674957231715	0.013118862866465632	21	25	0.026381909547738693	0.013896609227348526
10	caring	2.1268725606686325	0.01671533664927201	2	0	0.002512562814070352	0.0
11	load	2.1268725606686325	0.01671533664927201	2	0	0.002512562814070352	0.0
12	societal	2.1268725606686325	0.01671533664927201	2	0	0.002512562814070352	0.0
13	stay	2.1268725606686325	0.01671533664927201	2	0	0.002512562814070352	0.0
14	view	2.1268725606686325	0.01671533664927201	2	0	0.002512562814070352	0.0
15	hospital	2.0831227335284246	0.018620018841856795	10	9	0.01256281407035176	0.005002779321845469
16	take	2.014888177436453	0.02195818351450634	6	4	0.007537688442211055	0.0022234574763757642
17	includes	1.9239115268432305	0.027182837073109072	3	1	0.0037688442211055275	0.0005558643690939411
18	insurance	1.9239115268432305	0.027182837073109072	3	1	0.0037688442211055275	0.0005558643690939411
19	member	1.908576922099207	0.028158345680705223	8	7	0.010050251256281407	0.0038910505836575876
20	think	1.8162970701570653	0.034662407224870066	7	6	0.008793969849246231	0.0033351862145636463
21	staff	1.7842123706666941	0.03719458145732886	9	9	0.011306532663316583	0.005002779321845469
22	patient	1.7536271490553743	0.039747207950377755	21	29	0.026381909547738693	0.016120066703724293
23	away	1.6214812310489448	0.05245723602601786	5	4	0.00628140703517588	0.0022234574763757642
24	resource	1.6214812310489448	0.05245723602601786	5	4	0.00628140703517588	0.0022234574763757642
25	family	1.539360659371834	0.06185813634021335	16	22	0.020100502512562814	0.012229016120066704
26	else	1.520652108763945	0.06417358141351265	4	3	0.005025125628140704	0.0016675931072818232
27	accident	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
28	account	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
29	added	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
30	african	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
31	already	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
32	american	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
33	ands	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
34	angry	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
35	assuming	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
36	attention	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
37	average	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
38	avoid	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
39	bankrupt	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
40	beyond	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
41	board	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
42	bring	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
43	broader	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
44	burdened	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
45	campaign	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
46	carelessness	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
47	charge	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
48	chart	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
49	city	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
50	coincide	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
51	colleague	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
52	country	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
53	crucial	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
54	culture	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
55	deal	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
56	deplete	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
57	despite	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
58	direction	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
59	discriminatory	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
60	doctorspeople	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
61	dominant	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
62	easy	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
63	economical	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
64	empathy	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
65	extensive	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
66	familytaxpayers	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
67	felt	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
68	financials	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
69	ft	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
70	funding	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
71	funeral	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
72	future	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
73	gofundme	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
74	goups	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
75	granted	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
76	grieve	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
77	hallway	1.503636096917911	0.0663375457238278	1	0	0.001256281407035176	0.0
