	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	opportunity	2.8987718876083064	0.0018731367108885246	6	0	0.00933125972006221	0.0
1	place	2.6306026951338737	0.004261680692571217	7	1	0.01088646967340591	0.0011148272017837235
2	pay	2.344539528787039	0.00952529551123619	9	3	0.013996889580093312	0.0033444816053511705
3	payment	2.2106827484420557	0.013528907001394476	22	15	0.03421461897356143	0.016722408026755852
4	likely	2.1979174063779685	0.013977496125787043	7	2	0.01088646967340591	0.002229654403567447
5	lose	2.0693202512432394	0.01925802225569638	5	1	0.007776049766718507	0.0011148272017837235
6	work	2.0693202512432394	0.01925802225569638	5	1	0.007776049766718507	0.0011148272017837235
7	potentially	2.047739883660013	0.020292746811615844	3	0	0.004665629860031105	0.0
8	make	2.0174793710247974	0.021822755842484817	9	4	0.013996889580093312	0.004459308807134894
9	live	1.817197764927121	0.034593418548039476	7	3	0.01088646967340591	0.0033444816053511705
10	depends	1.7370197622300456	0.04119184134597335	4	1	0.006220839813374806	0.0011148272017837235
11	enough	1.7370197622300456	0.04119184134597335	4	1	0.006220839813374806	0.0011148272017837235
12	accusation	1.6714289710892647	0.04731848875061877	2	0	0.003110419906687403	0.0
13	already	1.6714289710892647	0.04731848875061877	2	0	0.003110419906687403	0.0
14	amount	1.6714289710892647	0.04731848875061877	2	0	0.003110419906687403	0.0
15	anything	1.6714289710892647	0.04731848875061877	2	0	0.003110419906687403	0.0
16	bill	1.6714289710892647	0.04731848875061877	2	0	0.003110419906687403	0.0
17	charged	1.6714289710892647	0.04731848875061877	2	0	0.003110419906687403	0.0
18	choice	1.6714289710892647	0.04731848875061877	2	0	0.003110419906687403	0.0
19	creates	1.6714289710892647	0.04731848875061877	2	0	0.003110419906687403	0.0
20	customer	1.6714289710892647	0.04731848875061877	2	0	0.003110419906687403	0.0
21	different	1.6714289710892647	0.04731848875061877	2	0	0.003110419906687403	0.0
22	inconvenience	1.6714289710892647	0.04731848875061877	2	0	0.003110419906687403	0.0
23	losing	1.6714289710892647	0.04731848875061877	2	0	0.003110419906687403	0.0
24	mean	1.6714289710892647	0.04731848875061877	2	0	0.003110419906687403	0.0
25	offended	1.6714289710892647	0.04731848875061877	2	0	0.003110419906687403	0.0
26	paid	1.6714289710892647	0.04731848875061877	2	0	0.003110419906687403	0.0
27	party	1.6714289710892647	0.04731848875061877	2	0	0.003110419906687403	0.0
28	paycheck	1.6714289710892647	0.04731848875061877	2	0	0.003110419906687403	0.0
29	probably	1.6714289710892647	0.04731848875061877	2	0	0.003110419906687403	0.0
30	said	1.6714289710892647	0.04731848875061877	2	0	0.003110419906687403	0.0
31	stay	1.6714289710892647	0.04731848875061877	2	0	0.003110419906687403	0.0
32	top	1.6714289710892647	0.04731848875061877	2	0	0.003110419906687403	0.0
33	lead	1.520009774528966	0.06425425951542821	6	3	0.00933125972006221	0.0033444816053511705
34	renter	1.3588905448290203	0.08709063772457504	26	25	0.04043545878693624	0.027870680044593088
35	also	1.350090872707089	0.08849341786424236	3	1	0.004665629860031105	0.0011148272017837235
36	deal	1.350090872707089	0.08849341786424236	3	1	0.004665629860031105	0.0011148272017837235
37	etc	1.350090872707089	0.08849341786424236	3	1	0.004665629860031105	0.0011148272017837235
38	eviction	1.350090872707089	0.08849341786424236	3	1	0.004665629860031105	0.0011148272017837235
39	high	1.350090872707089	0.08849341786424236	3	1	0.004665629860031105	0.0011148272017837235
40	moderate	1.350090872707089	0.08849341786424236	3	1	0.004665629860031105	0.0011148272017837235
41	month	1.350090872707089	0.08849341786424236	3	1	0.004665629860031105	0.0011148272017837235
42	right	1.350090872707089	0.08849341786424236	3	1	0.004665629860031105	0.0011148272017837235
43	fee	1.239868614878172	0.10751199706110032	4	2	0.006220839813374806	0.002229654403567447
44	housing	1.239868614878172	0.10751199706110032	4	2	0.006220839813374806	0.002229654403567447
45	life	1.239868614878172	0.10751199706110032	4	2	0.006220839813374806	0.002229654403567447
46	time	1.239868614878172	0.10751199706110032	4	2	0.006220839813374806	0.002229654403567447
47	accused	1.1814947211290576	0.11870312464131433	1	0	0.0015552099533437014	0.0
48	add	1.1814947211290576	0.11870312464131433	1	0	0.0015552099533437014	0.0
49	additional	1.1814947211290576	0.11870312464131433	1	0	0.0015552099533437014	0.0
50	additionally	1.1814947211290576	0.11870312464131433	1	0	0.0015552099533437014	0.0
51	affordable	1.1814947211290576	0.11870312464131433	1	0	0.0015552099533437014	0.0
52	algorithm	1.1814947211290576	0.11870312464131433	1	0	0.0015552099533437014	0.0
