	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	society	5.861384878619217	2.2951132937027647e-09	43	0	0.05186972255729795	0.0
1	fraudulent	4.162070817848149	1.5768725274174243e-05	22	0	0.026537997587454766	0.0
2	allowing	3.311062526023577	0.0004647121942181772	14	0	0.016887816646562123	0.0
3	family	2.154785226907682	0.015589322409424953	9	1	0.010856453558504222	0.0015552099533437014
4	away	1.9726592416249018	0.02426719929137675	5	0	0.006031363088057901	0.0
5	renting	1.9726592416249018	0.02426719929137675	5	0	0.006031363088057901	0.0
6	affect	1.8587217875585547	0.031533291779487695	12	3	0.014475271411338963	0.004665629860031105
7	community	1.7830285366383876	0.03729082907868213	7	1	0.008443908323281062	0.0015552099533437014
8	anyone	1.7637990082090913	0.03888291227797505	4	0	0.0048250904704463205	0.0
9	consider	1.7637990082090913	0.03888291227797505	4	0	0.0048250904704463205	0.0
10	cost	1.7637990082090913	0.03888291227797505	4	0	0.0048250904704463205	0.0
11	crime	1.7637990082090913	0.03888291227797505	4	0	0.0048250904704463205	0.0
12	happen	1.7637990082090913	0.03888291227797505	4	0	0.0048250904704463205	0.0
13	fraud	1.686795461491238	0.04582134423077597	11	3	0.013268998793727383	0.004665629860031105
14	money	1.686795461491238	0.04582134423077597	11	3	0.013268998793727383	0.004665629860031105
15	people	1.686795461491238	0.04582134423077597	11	3	0.013268998793727383	0.004665629860031105
16	around	1.5269747500516224	0.06338364511289657	3	0	0.0036188178528347406	0.0
17	company	1.5269747500516224	0.06338364511289657	3	0	0.0036188178528347406	0.0
18	considered	1.5269747500516224	0.06338364511289657	3	0	0.0036188178528347406	0.0
19	economic	1.5269747500516224	0.06338364511289657	3	0	0.0036188178528347406	0.0
20	human	1.5269747500516224	0.06338364511289657	3	0	0.0036188178528347406	0.0
21	impacted	1.5269747500516224	0.06338364511289657	3	0	0.0036188178528347406	0.0
22	large	1.5269747500516224	0.06338364511289657	3	0	0.0036188178528347406	0.0
23	low	1.5269747500516224	0.06338364511289657	3	0	0.0036188178528347406	0.0
24	overall	1.5269747500516224	0.06338364511289657	3	0	0.0036188178528347406	0.0
25	part	1.5269747500516224	0.06338364511289657	3	0	0.0036188178528347406	0.0
26	take	1.5269747500516224	0.06338364511289657	3	0	0.0036188178528347406	0.0
27	victim	1.5269747500516224	0.06338364511289657	3	0	0.0036188178528347406	0.0
28	whoever	1.5269747500516224	0.06338364511289657	3	0	0.0036188178528347406	0.0
29	impact	1.5045222272792744	0.06622347729517368	10	3	0.012062726176115802	0.004665629860031105
30	accepting	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
31	account	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
32	allowed	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
33	answer	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
34	assuming	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
35	card	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
36	causing	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
37	considering	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
38	corporation	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
39	decision	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
40	even	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
41	file	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
42	fraudsters	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
43	gotten	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
44	higher	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
45	immediate	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
46	increase	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
47	indirectly	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
48	insurance	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
49	involved	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
50	legal	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
51	matter	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
52	member	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
53	mostly	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
54	owner	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
55	problem	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
56	profit	1.246345519120803	0.10631878666569616	2	0	0.0024125452352231603	0.0
