	word	zstat	pvalue	f1_count	f2_count
0	impact individual	2.116600305685239	0.017146892081143072	3	0
1	one payment	2.116600305685239	0.017146892081143072	3	0
2	lose money	1.8206597333938774	0.03432929833559662	4	1
3	getting paid	1.7274724537640394	0.04204142408494711	2	0
4	individual may	1.7274724537640394	0.04204142408494711	2	0
5	payment fraudulent	1.7274724537640394	0.04204142408494711	2	0
6	negative impact	1.7274724537640394	0.04204142408494711	2	0
7	receiving payment	1.7274724537640394	0.04204142408494711	2	0
8	allow fraudulent	1.7274724537640394	0.04204142408494711	2	0
9	renter lose	1.7274724537640394	0.04204142408494711	2	0
10	loss income	1.7274724537640394	0.04204142408494711	2	0
