	word	zstat	pvalue	f1_count	f2_count
0	username password	2.245797906119004	0.012358477749868948	5	0
1	hospital staff	1.9596067776174182	0.025020884292910578	10	3
2	medical professional	1.7384235847126053	0.041068101980142026	3	0
3	take longer	1.7384235847126053	0.041068101980142026	3	0
4	authorized hospital	1.7384235847126053	0.041068101980142026	3	0
5	facial recognition	1.4189424297682007	0.07795790043934674	2	0
6	could possibly	1.4189424297682007	0.07795790043934674	2	0
7	thing done	1.4189424297682007	0.07795790043934674	2	0
8	patient may	1.4189424297682007	0.07795790043934674	2	0
9	society society	1.4189424297682007	0.07795790043934674	2	0
10	enter password	1.4189424297682007	0.07795790043934674	2	0
11	type username	1.4189424297682007	0.07795790043934674	2	0
12	consider everyone	1.4189424297682007	0.07795790043934674	2	0
13	need enter	1.4189424297682007	0.07795790043934674	2	0
14	input usernamepassword	1.4189424297682007	0.07795790043934674	2	0
15	society could	1.4189424297682007	0.07795790043934674	2	0
16	may take	1.4189424297682007	0.07795790043934674	2	0
17	member society	1.4189424297682007	0.07795790043934674	2	0
18	patient death	1.4189424297682007	0.07795790043934674	2	0
19	feel like	1.4189424297682007	0.07795790043934674	2	0
20	part society	1.0110560680344918	0.15599479768241642	6	3
21	general public	1.0066889805110844	0.1570421296133483	3	1
22	imagine societal	1.0030086400443357	0.15792834626766594	1	0
23	bo varied	1.0030086400443357	0.15792834626766594	1	0
24	process racially	1.0030086400443357	0.15792834626766594	1	0
25	might suffering	1.0030086400443357	0.15792834626766594	1	0
26	society rather	1.0030086400443357	0.15792834626766594	1	0
27	care patient	1.0030086400443357	0.15792834626766594	1	0
28	care well	1.0030086400443357	0.15792834626766594	1	0
29	human being	1.0030086400443357	0.15792834626766594	1	0
30	minor inconvenience	1.0030086400443357	0.15792834626766594	1	0
31	long process	1.0030086400443357	0.15792834626766594	1	0
32	due family	1.0030086400443357	0.15792834626766594	1	0
33	low impact	1.0030086400443357	0.15792834626766594	1	0
34	however might	1.0030086400443357	0.15792834626766594	1	0
35	think society	1.0030086400443357	0.15792834626766594	1	0
36	though believe	1.0030086400443357	0.15792834626766594	1	0
37	access file	1.0030086400443357	0.15792834626766594	1	0
38	quickly could	1.0030086400443357	0.15792834626766594	1	0
39	use secure	1.0030086400443357	0.15792834626766594	1	0
40	longer medical	1.0030086400443357	0.15792834626766594	1	0
41	anyone apart	1.0030086400443357	0.15792834626766594	1	0
42	world part	1.0030086400443357	0.15792834626766594	1	0
43	like get	1.0030086400443357	0.15792834626766594	1	0
44	suffer lack	1.0030086400443357	0.15792834626766594	1	0
45	could result	1.0030086400443357	0.15792834626766594	1	0
46	literal standpoint	1.0030086400443357	0.15792834626766594	1	0
47	getting treatment	1.0030086400443357	0.15792834626766594	1	0
48	always correct	1.0030086400443357	0.15792834626766594	1	0
49	said patient	1.0030086400443357	0.15792834626766594	1	0
50	eg patient	1.0030086400443357	0.15792834626766594	1	0
51	individual unrecognized	1.0030086400443357	0.15792834626766594	1	0
52	receive medicine	1.0030086400443357	0.15792834626766594	1	0
53	racial bias	1.0030086400443357	0.15792834626766594	1	0
54	distressing feeling	1.0030086400443357	0.15792834626766594	1	0
55	password delay	1.0030086400443357	0.15792834626766594	1	0
56	may suffer	1.0030086400443357	0.15792834626766594	1	0
57	much minute	1.0030086400443357	0.15792834626766594	1	0
58	staff granted	1.0030086400443357	0.15792834626766594	1	0
59	authorizing access	1.0030086400443357	0.15792834626766594	1	0
60	could see	1.0030086400443357	0.15792834626766594	1	0
61	case patient	1.0030086400443357	0.15792834626766594	1	0
62	mentioned chart	1.0030086400443357	0.15792834626766594	1	0
63	well potentially	1.0030086400443357	0.15792834626766594	1	0
64	depending individual	1.0030086400443357	0.15792834626766594	1	0
65	time sensitive	1.0030086400443357	0.15792834626766594	1	0
66	may impact	1.0030086400443357	0.15792834626766594	1	0
67	save medical	1.0030086400443357	0.15792834626766594	1	0
68	issue societal	1.0030086400443357	0.15792834626766594	1	0
69	name password	1.0030086400443357	0.15792834626766594	1	0
70	put secure	1.0030086400443357	0.15792834626766594	1	0
71	safety net	1.0030086400443357	0.15792834626766594	1	0
72	unsure	1.0030086400443357	0.15792834626766594	1	0
73	reduce risk	1.0030086400443357	0.15792834626766594	1	0
74	held responsible	1.0030086400443357	0.15792834626766594	1	0
75	time put	1.0030086400443357	0.15792834626766594	1	0
76	see big	1.0030086400443357	0.15792834626766594	1	0
77	get going	1.0030086400443357	0.15792834626766594	1	0
78	something thqt	1.0030086400443357	0.15792834626766594	1	0
79	racially recognized	1.0030086400443357	0.15792834626766594	1	0
80	could slap	1.0030086400443357	0.15792834626766594	1	0
81	user name	1.0030086400443357	0.15792834626766594	1	0
82	outside medical	1.0030086400443357	0.15792834626766594	1	0
83	larger group	1.0030086400443357	0.15792834626766594	1	0
84	quality patient	1.0030086400443357	0.15792834626766594	1	0
85	change much	1.0030086400443357	0.15792834626766594	1	0
86	take time	1.0030086400443357	0.15792834626766594	1	0
87	important doctor	1.0030086400443357	0.15792834626766594	1	0
88	society make	1.0030086400443357	0.15792834626766594	1	0
89	impact change	1.0030086400443357	0.15792834626766594	1	0
90	hospital worker	1.0030086400443357	0.15792834626766594	1	0
91	staff input	1.0030086400443357	0.15792834626766594	1	0
92	done quickly	1.0030086400443357	0.15792834626766594	1	0
93	correct prefer	1.0030086400443357	0.15792834626766594	1	0
94	family might	1.0030086400443357	0.15792834626766594	1	0
95	one particular	1.0030086400443357	0.15792834626766594	1	0
96	could outrage	1.0030086400443357	0.15792834626766594	1	0
97	flaw system	1.0030086400443357	0.15792834626766594	1	0
98	patient hospital	1.0030086400443357	0.15792834626766594	1	0
99	bearing people	1.0030086400443357	0.15792834626766594	1	0
100	people student	1.0030086400443357	0.15792834626766594	1	0
101	address patient	1.0030086400443357	0.15792834626766594	1	0
102	hate everything	1.0030086400443357	0.15792834626766594	1	0
103	professional could	1.0030086400443357	0.15792834626766594	1	0
104	member needing	1.0030086400443357	0.15792834626766594	1	0
105	could individual	1.0030086400443357	0.15792834626766594	1	0
106	hold leaked	1.0030086400443357	0.15792834626766594	1	0
107	whether individual	1.0030086400443357	0.15792834626766594	1	0
108	biased treatment	1.0030086400443357	0.15792834626766594	1	0
109	even le	1.0030086400443357	0.15792834626766594	1	0
110	universe etc	1.0030086400443357	0.15792834626766594	1	0
111	could make	1.0030086400443357	0.15792834626766594	1	0
112	know access	1.0030086400443357	0.15792834626766594	1	0
113	staff could	1.0030086400443357	0.15792834626766594	1	0
114	safe insurance	1.0030086400443357	0.15792834626766594	1	0
115	passcode could	1.0030086400443357	0.15792834626766594	1	0
116	want people	1.0030086400443357	0.15792834626766594	1	0
117	access bo	1.0030086400443357	0.15792834626766594	1	0
118	society think	1.0030086400443357	0.15792834626766594	1	0
119	big flaw	1.0030086400443357	0.15792834626766594	1	0
120	manually enter	1.0030086400443357	0.15792834626766594	1	0
121	broader society	1.0030086400443357	0.15792834626766594	1	0
122	staff precious	1.0030086400443357	0.15792834626766594	1	0
123	everyone world	1.0030086400443357	0.15792834626766594	1	0
124	log password	1.0030086400443357	0.15792834626766594	1	0
125	delayed treatment	1.0030086400443357	0.15792834626766594	1	0
126	considered standard	1.0030086400443357	0.15792834626766594	1	0
127	step logging	1.0030086400443357	0.15792834626766594	1	0
128	information might	1.0030086400443357	0.15792834626766594	1	0
129	member ie	1.0030086400443357	0.15792834626766594	1	0
130	get someone	1.0030086400443357	0.15792834626766594	1	0
131	being life	1.0030086400443357	0.15792834626766594	1	0
132	professional address	1.0030086400443357	0.15792834626766594	1	0
133	society disturbed	1.0030086400443357	0.15792834626766594	1	0
134	varying level	1.0030086400443357	0.15792834626766594	1	0
135	reason waste	1.0030086400443357	0.15792834626766594	1	0
136	like want	1.0030086400443357	0.15792834626766594	1	0
137	access time	1.0030086400443357	0.15792834626766594	1	0
138	profile mistakenly	1.0030086400443357	0.15792834626766594	1	0
139	effect staff	1.0030086400443357	0.15792834626766594	1	0
140	still get	1.0030086400443357	0.15792834626766594	1	0
141	huge deal	1.0030086400443357	0.15792834626766594	1	0
142	like seen	1.0030086400443357	0.15792834626766594	1	0
143	varied level	1.0030086400443357	0.15792834626766594	1	0
144	use benefit	1.0030086400443357	0.15792834626766594	1	0
145	society staff	1.0030086400443357	0.15792834626766594	1	0
146	deal society	1.0030086400443357	0.15792834626766594	1	0
147	password othersothers	1.0030086400443357	0.15792834626766594	1	0
148	treated effective	1.0030086400443357	0.15792834626766594	1	0
149	feeling related	1.0030086400443357	0.15792834626766594	1	0
150	group people	1.0030086400443357	0.15792834626766594	1	0
151	doctor still	1.0030086400443357	0.15792834626766594	1	0
152	authorized building	1.0030086400443357	0.15792834626766594	1	0
153	plan option	1.0030086400443357	0.15792834626766594	1	0
154	people life	1.0030086400443357	0.15792834626766594	1	0
155	take instant	1.0030086400443357	0.15792834626766594	1	0
156	data anger	1.0030086400443357	0.15792834626766594	1	0
157	doctor access	1.0030086400443357	0.15792834626766594	1	0
158	slap face	1.0030086400443357	0.15792834626766594	1	0
159	impacted unlawful	1.0030086400443357	0.15792834626766594	1	0
160	crime hospital	1.0030086400443357	0.15792834626766594	1	0
161	patient treated	1.0030086400443357	0.15792834626766594	1	0
162	staff get	1.0030086400443357	0.15792834626766594	1	0
163	person simply	1.0030086400443357	0.15792834626766594	1	0
164	little impact	1.0030086400443357	0.15792834626766594	1	0
165	help reduce	1.0030086400443357	0.15792834626766594	1	0
166	delay bringing	1.0030086400443357	0.15792834626766594	1	0
167	another safety	1.0030086400443357	0.15792834626766594	1	0
168	overall health	1.0030086400443357	0.15792834626766594	1	0
169	patient care	1.0030086400443357	0.15792834626766594	1	0
170	still low	1.0030086400443357	0.15792834626766594	1	0
171	compared one	1.0030086400443357	0.15792834626766594	1	0
172	case something	1.0030086400443357	0.15792834626766594	1	0
173	felt left	1.0030086400443357	0.15792834626766594	1	0
174	care doctor	1.0030086400443357	0.15792834626766594	1	0
175	needing immediately	1.0030086400443357	0.15792834626766594	1	0
176	spends entering	1.0030086400443357	0.15792834626766594	1	0
177	society black	1.0030086400443357	0.15792834626766594	1	0
178	inconvenienced manually	1.0030086400443357	0.15792834626766594	1	0
179	recognition new	1.0030086400443357	0.15792834626766594	1	0
180	actually access	1.0030086400443357	0.15792834626766594	1	0
181	technical difficulty	1.0030086400443357	0.15792834626766594	1	0
182	password individual	1.0030086400443357	0.15792834626766594	1	0
183	routinely recognized	1.0030086400443357	0.15792834626766594	1	0
184	bias could	1.0030086400443357	0.15792834626766594	1	0
185	longer staff	1.0030086400443357	0.15792834626766594	1	0
186	societal level	1.0030086400443357	0.15792834626766594	1	0
187	concern raise	1.0030086400443357	0.15792834626766594	1	0
188	delay much	1.0030086400443357	0.15792834626766594	1	0
189	authorized show	1.0030086400443357	0.15792834626766594	1	0
190	society held	1.0030086400443357	0.15792834626766594	1	0
191	saving medicine	1.0030086400443357	0.15792834626766594	1	0
192	much providing	1.0030086400443357	0.15792834626766594	1	0
193	harm done	1.0030086400443357	0.15792834626766594	1	0
194	considering medical	1.0030086400443357	0.15792834626766594	1	0
195	health scare	1.0030086400443357	0.15792834626766594	1	0
196	community view	1.0030086400443357	0.15792834626766594	1	0
197	everyone living	1.0030086400443357	0.15792834626766594	1	0
198	recognize authorized	1.0030086400443357	0.15792834626766594	1	0
199	delaying medication	1.0030086400443357	0.15792834626766594	1	0
200	employer affected	1.0030086400443357	0.15792834626766594	1	0
201	worker technical	1.0030086400443357	0.15792834626766594	1	0
202	much difference	1.0030086400443357	0.15792834626766594	1	0
203	face recognition	1.0030086400443357	0.15792834626766594	1	0
204	time away	1.0030086400443357	0.15792834626766594	1	0
