	word	zstat	pvalue	f1_count	f2_count
0	part society	1.410722100787955	0.07916328583718973	3	0
1	society people	1.410722100787955	0.07916328583718973	3	0
2	allowed access	1.410722100787955	0.07916328583718973	3	0
3	patient society	1.410722100787955	0.07916328583718973	3	0
4	family member	1.410722100787955	0.07916328583718973	3	0
5	information could	1.410722100787955	0.07916328583718973	3	0
6	staff patient	1.1615069153427062	0.12271790627860474	5	1
7	society family	1.1513874601451346	0.12478643519335109	2	0
8	society patient	1.1513874601451346	0.12478643519335109	2	0
9	privacy patient	1.1513874601451346	0.12478643519335109	2	0
10	society community	1.1513874601451346	0.12478643519335109	2	0
11	access granted	1.1513874601451346	0.12478643519335109	2	0
12	access mistakenly	1.1513874601451346	0.12478643519335109	2	0
13	patient staff	1.1513874601451346	0.12478643519335109	2	0
14	patient part	1.1513874601451346	0.12478643519335109	2	0
15	could also	1.1513874601451346	0.12478643519335109	2	0
16	doctor nurse	1.1513874601451346	0.12478643519335109	2	0
17	society affected	1.1513874601451346	0.12478643519335109	2	0
18	giving access	1.1513874601451346	0.12478643519335109	2	0
19	high impact	1.1513874601451346	0.12478643519335109	2	0
20	nonmedical personnel	1.1513874601451346	0.12478643519335109	2	0
21	dangerous society	1.1513874601451346	0.12478643519335109	2	0
22	see society	1.1513874601451346	0.12478643519335109	2	0
23	society rest	1.1513874601451346	0.12478643519335109	2	0
24	society everyone	1.1513874601451346	0.12478643519335109	2	0
25	someone medical	1.1513874601451346	0.12478643519335109	2	0
26	patient family	1.1513874601451346	0.12478643519335109	2	0
27	individual society	1.1513874601451346	0.12478643519335109	2	0
28	health care	1.1513874601451346	0.12478643519335109	2	0
29	society local	1.1513874601451346	0.12478643519335109	2	0
30	create exclusion	0.8138273703490657	0.2078719264822268	1	0
31	malicious way	0.8138273703490657	0.2078719264822268	1	0
32	people information	0.8138273703490657	0.2078719264822268	1	0
33	data harm	0.8138273703490657	0.2078719264822268	1	0
34	recognized device	0.8138273703490657	0.2078719264822268	1	0
35	much individual	0.8138273703490657	0.2078719264822268	1	0
36	possibly lead	0.8138273703490657	0.2078719264822268	1	0
37	granted anyway	0.8138273703490657	0.2078719264822268	1	0
38	information medical	0.8138273703490657	0.2078719264822268	1	0
39	violate privacy	0.8138273703490657	0.2078719264822268	1	0
40	around hospital	0.8138273703490657	0.2078719264822268	1	0
41	repercussion patient	0.8138273703490657	0.2078719264822268	1	0
42	shareholder loss	0.8138273703490657	0.2078719264822268	1	0
43	authorized high	0.8138273703490657	0.2078719264822268	1	0
44	could pose	0.8138273703490657	0.2078719264822268	1	0
45	consumer hospital	0.8138273703490657	0.2078719264822268	1	0
46	releasing information	0.8138273703490657	0.2078719264822268	1	0
47	specific information	0.8138273703490657	0.2078719264822268	1	0
48	answer last	0.8138273703490657	0.2078719264822268	1	0
