	word	zstat	pvalue	f1_count	f2_count
0	medical record	2.44786494341637	0.007185275544664055	6	0
1	patient society	1.7291643379231907	0.04188984347852459	3	0
2	hospital system	1.7291643379231907	0.04188984347852459	3	0
3	allowed access	1.7291643379231907	0.04188984347852459	3	0
4	information could	1.7291643379231907	0.04188984347852459	3	0
5	wrong hand	1.4113848136309535	0.07906558918091056	2	0
6	could get	1.4113848136309535	0.07906558918091056	2	0
7	giving access	1.4113848136309535	0.07906558918091056	2	0
8	access unauthorized	1.4113848136309535	0.07906558918091056	2	0
9	many people	1.4113848136309535	0.07906558918091056	2	0
10	access granted	1.4113848136309535	0.07906558918091056	2	0
11	could put	1.4113848136309535	0.07906558918091056	2	0
12	medical personnel	1.4113848136309535	0.07906558918091056	2	0
13	nonmedical personnel	1.4113848136309535	0.07906558918091056	2	0
14	someone medical	1.4113848136309535	0.07906558918091056	2	0
15	privacy patient	1.4113848136309535	0.07906558918091056	2	0
16	could also	1.4113848136309535	0.07906558918091056	2	0
17	unauthorized user	1.4113848136309535	0.07906558918091056	2	0
18	high impact	1.4113848136309535	0.07906558918091056	2	0
19	dangerous society	1.4113848136309535	0.07906558918091056	2	0
20	individual society	1.4113848136309535	0.07906558918091056	2	0
21	granting access	1.4113848136309535	0.07906558918091056	2	0
22	impact could	1.4113848136309535	0.07906558918091056	2	0
23	access mistakenly	1.4113848136309535	0.07906558918091056	2	0
24	patient part	1.4113848136309535	0.07906558918091056	2	0
25	society affected	1.4113848136309535	0.07906558918091056	2	0
26	person could	1.4113848136309535	0.07906558918091056	2	0
27	sensitive information	1.4113848136309535	0.07906558918091056	2	0
28	health care	1.4113848136309535	0.07906558918091056	2	0
29	personal information	1.4113848136309535	0.07906558918091056	2	0
30	identity theft	1.4113848136309535	0.07906558918091056	2	0
31	harm people	0.9976663836393059	0.15922057963029557	1	0
32	much individual	0.9976663836393059	0.15922057963029557	1	0
33	concern record	0.9976663836393059	0.15922057963029557	1	0
34	especially people	0.9976663836393059	0.15922057963029557	1	0
35	incorrect treatment	0.9976663836393059	0.15922057963029557	1	0
36	able use	0.9976663836393059	0.15922057963029557	1	0
37	information negativity	0.9976663836393059	0.15922057963029557	1	0
38	even worse	0.9976663836393059	0.15922057963029557	1	0
39	single patient	0.9976663836393059	0.15922057963029557	1	0
40	perspective thought	0.9976663836393059	0.15922057963029557	1	0
41	security danger	0.9976663836393059	0.15922057963029557	1	0
42	responsible security	0.9976663836393059	0.15922057963029557	1	0
43	record got	0.9976663836393059	0.15922057963029557	1	0
44	someone else	0.9976663836393059	0.15922057963029557	1	0
45	negativity impactful	0.9976663836393059	0.15922057963029557	1	0
46	gotten education	0.9976663836393059	0.15922057963029557	1	0
47	care hospital	0.9976663836393059	0.15922057963029557	1	0
48	party information	0.9976663836393059	0.15922057963029557	1	0
49	releasing patient	0.9976663836393059	0.15922057963029557	1	0
50	trust establishment	0.9976663836393059	0.15922057963029557	1	0
51	use information	0.9976663836393059	0.15922057963029557	1	0
52	really hurt	0.9976663836393059	0.15922057963029557	1	0
53	bad intention	0.9976663836393059	0.15922057963029557	1	0
54	people risk	0.9976663836393059	0.15922057963029557	1	0
55	may able	0.9976663836393059	0.15922057963029557	1	0
56	implication whose	0.9976663836393059	0.15922057963029557	1	0
57	community great	0.9976663836393059	0.15922057963029557	1	0
58	anyone personal	0.9976663836393059	0.15922057963029557	1	0
59	record individual	0.9976663836393059	0.15922057963029557	1	0
60	database could	0.9976663836393059	0.15922057963029557	1	0
61	medical place	0.9976663836393059	0.15922057963029557	1	0
62	safe comfortable	0.9976663836393059	0.15922057963029557	1	0
63	general ideal	0.9976663836393059	0.15922057963029557	1	0
64	impactful society	0.9976663836393059	0.15922057963029557	1	0
65	security breach	0.9976663836393059	0.15922057963029557	1	0
66	effect much	0.9976663836393059	0.15922057963029557	1	0
67	information protected	0.9976663836393059	0.15922057963029557	1	0
68	belong hospital	0.9976663836393059	0.15922057963029557	1	0
69	stranger mentally	0.9976663836393059	0.15922057963029557	1	0
70	know person	0.9976663836393059	0.15922057963029557	1	0
71	place thing	0.9976663836393059	0.15922057963029557	1	0
72	billing insurance	0.9976663836393059	0.15922057963029557	1	0
73	alot problem	0.9976663836393059	0.15922057963029557	1	0
74	education training	0.9976663836393059	0.15922057963029557	1	0
75	hospital people	0.9976663836393059	0.15922057963029557	1	0
76	personnel staff	0.9976663836393059	0.15922057963029557	1	0
77	also threat	0.9976663836393059	0.15922057963029557	1	0
78	overall sued	0.9976663836393059	0.15922057963029557	1	0
79	society even	0.9976663836393059	0.15922057963029557	1	0
80	staff repercussion	0.9976663836393059	0.15922057963029557	1	0
81	know medical	0.9976663836393059	0.15922057963029557	1	0
82	accidentally giving	0.9976663836393059	0.15922057963029557	1	0
83	get police	0.9976663836393059	0.15922057963029557	1	0
84	state population	0.9976663836393059	0.15922057963029557	1	0
85	anyone need	0.9976663836393059	0.15922057963029557	1	0
86	find likely	0.9976663836393059	0.15922057963029557	1	0
87	access system	0.9976663836393059	0.15922057963029557	1	0
88	inefficient medical	0.9976663836393059	0.15922057963029557	1	0
89	normal person	0.9976663836393059	0.15922057963029557	1	0
90	data harm	0.9976663836393059	0.15922057963029557	1	0
91	patient receiving	0.9976663836393059	0.15922057963029557	1	0
92	drastic implication	0.9976663836393059	0.15922057963029557	1	0
93	dangerous harmful	0.9976663836393059	0.15922057963029557	1	0
94	hospital belong	0.9976663836393059	0.15922057963029557	1	0
95	really risk	0.9976663836393059	0.15922057963029557	1	0
96	never trust	0.9976663836393059	0.15922057963029557	1	0
97	society feel	0.9976663836393059	0.15922057963029557	1	0
98	member staff	0.9976663836393059	0.15922057963029557	1	0
99	person may	0.9976663836393059	0.15922057963029557	1	0
100	person intention	0.9976663836393059	0.15922057963029557	1	0
101	previous question	0.9976663836393059	0.15922057963029557	1	0
102	harm single	0.9976663836393059	0.15922057963029557	1	0
103	intention lead	0.9976663836393059	0.15922057963029557	1	0
104	result patient	0.9976663836393059	0.15922057963029557	1	0
105	begin worry	0.9976663836393059	0.15922057963029557	1	0
