	word	zstat	pvalue	f1_count	f2_count
0	could die	2.7448136054136274	0.0030272637611263404	6	1
1	could miss	2.309639471469404	0.010454061213391359	3	0
2	needed icu	2.309639471469404	0.010454061213391359	3	0
3	need icu	1.9144717038291876	0.02777995564817458	7	4
4	support needed	1.8849545687957756	0.029717985880975194	2	0
5	could result	1.8849545687957756	0.029717985880975194	2	0
6	could lifethreatening	1.8849545687957756	0.029717985880975194	2	0
7	get help	1.8849545687957756	0.029717985880975194	2	0
8	including death	1.8849545687957756	0.029717985880975194	2	0
9	care could	1.8849545687957756	0.029717985880975194	2	0
10	die without	1.8849545687957756	0.029717985880975194	2	0
11	health including	1.8849545687957756	0.029717985880975194	2	0
12	impact individual	1.8849545687957756	0.029717985880975194	2	0
13	support need	1.8849545687957756	0.029717985880975194	2	0
14	need get	1.8849545687957756	0.029717985880975194	2	0
15	individual get	1.8849545687957756	0.029717985880975194	2	0
16	someone need	1.5657071794468702	0.058708592369925434	4	2
17	icu support	1.4029858988459614	0.08031052196474325	8	7
18	easily die	1.3322581727243907	0.0913876833178921	1	0
19	bed support	1.3322581727243907	0.0913876833178921	1	0
20	individual decide	1.3322581727243907	0.0913876833178921	1	0
21	directly mean	1.3322581727243907	0.0913876833178921	1	0
22	mean difference	1.3322581727243907	0.0913876833178921	1	0
23	could death	1.3322581727243907	0.0913876833178921	1	0
24	get icu	1.3322581727243907	0.0913876833178921	1	0
25	get health	1.3322581727243907	0.0913876833178921	1	0
26	could still	1.3322581727243907	0.0913876833178921	1	0
27	life death	1.3322581727243907	0.0913876833178921	1	0
28	sick without	1.3322581727243907	0.0913876833178921	1	0
29	sent could	1.3322581727243907	0.0913876833178921	1	0
30	need obvious	1.3322581727243907	0.0913876833178921	1	0
31	adequate care	1.3322581727243907	0.0913876833178921	1	0
32	risk chance	1.3322581727243907	0.0913876833178921	1	0
33	get better	1.3322581727243907	0.0913876833178921	1	0
34	individual needed	1.3322581727243907	0.0913876833178921	1	0
35	may die	1.3322581727243907	0.0913876833178921	1	0
36	getting right	1.3322581727243907	0.0913876833178921	1	0
37	harm patient	1.3322581727243907	0.0913876833178921	1	0
38	may receive	1.3322581727243907	0.0913876833178921	1	0
39	tension fear	1.3322581727243907	0.0913876833178921	1	0
40	icu risk	1.3322581727243907	0.0913876833178921	1	0
41	great risk	1.3322581727243907	0.0913876833178921	1	0
42	triaged another	1.3322581727243907	0.0913876833178921	1	0
43	potentially die	1.3322581727243907	0.0913876833178921	1	0
44	right amount	1.3322581727243907	0.0913876833178921	1	0
45	seriously harm	1.3322581727243907	0.0913876833178921	1	0
46	apart certain	1.3322581727243907	0.0913876833178921	1	0
47	miss treatment	1.3322581727243907	0.0913876833178921	1	0
48	likely quickly	1.3322581727243907	0.0913876833178921	1	0
49	requires different	1.3322581727243907	0.0913876833178921	1	0
50	icu could	1.3322581727243907	0.0913876833178921	1	0
51	getting wrong	1.3322581727243907	0.0913876833178921	1	0
52	needed critical	1.3322581727243907	0.0913876833178921	1	0
53	receive end	1.3322581727243907	0.0913876833178921	1	0
54	without receiving	1.3322581727243907	0.0913876833178921	1	0
55	lead death	1.3322581727243907	0.0913876833178921	1	0
56	say need	1.3322581727243907	0.0913876833178921	1	0
57	could longer	1.3322581727243907	0.0913876833178921	1	0
58	rather individual	1.3322581727243907	0.0913876833178921	1	0
59	longer recovery	1.3322581727243907	0.0913876833178921	1	0
60	result harm	1.3322581727243907	0.0913876833178921	1	0
61	getting lifesaving	1.3322581727243907	0.0913876833178921	1	0
62	become even	1.3322581727243907	0.0913876833178921	1	0
63	suffer extreme	1.3322581727243907	0.0913876833178921	1	0
64	denied icu	1.3322581727243907	0.0913876833178921	1	0
65	standpoint could	1.3322581727243907	0.0913876833178921	1	0
66	model shown	1.3322581727243907	0.0913876833178921	1	0
67	severely worse	1.3322581727243907	0.0913876833178921	1	0
68	think high	1.3322581727243907	0.0913876833178921	1	0
69	without icu	1.3322581727243907	0.0913876833178921	1	0
70	learning algorithmdevice	1.3322581727243907	0.0913876833178921	1	0
71	care getting	1.3322581727243907	0.0913876833178921	1	0
72	one die	1.3322581727243907	0.0913876833178921	1	0
73	people getting	1.3322581727243907	0.0913876833178921	1	0
74	loss life	1.3322581727243907	0.0913876833178921	1	0
75	icu admitted	1.3322581727243907	0.0913876833178921	1	0
76	decide expertise	1.3322581727243907	0.0913876833178921	1	0
77	treatment also	1.3322581727243907	0.0913876833178921	1	0
78	decline provided	1.3322581727243907	0.0913876833178921	1	0
79	based model	1.3322581727243907	0.0913876833178921	1	0
80	missing potential	1.3322581727243907	0.0913876833178921	1	0
81	individual question	1.3322581727243907	0.0913876833178921	1	0
82	permanent disability	1.3322581727243907	0.0913876833178921	1	0
83	individual ability	1.3322581727243907	0.0913876833178921	1	0
84	give best	1.3322581727243907	0.0913876833178921	1	0
85	avoidable death	1.3322581727243907	0.0913876833178921	1	0
86	serious condition	1.3322581727243907	0.0913876833178921	1	0
87	health recovery	1.3322581727243907	0.0913876833178921	1	0
88	access intensive	1.3322581727243907	0.0913876833178921	1	0
89	individual receive	1.3322581727243907	0.0913876833178921	1	0
90	think people	1.3322581727243907	0.0913876833178921	1	0
91	different kind	1.3322581727243907	0.0913876833178921	1	0
92	could directly	1.3322581727243907	0.0913876833178921	1	0
93	get severely	1.3322581727243907	0.0913876833178921	1	0
94	impact mistakenly	1.3322581727243907	0.0913876833178921	1	0
95	develop complication	1.3322581727243907	0.0913876833178921	1	0
96	life saving	1.3322581727243907	0.0913876833178921	1	0
97	accurate low	1.3322581727243907	0.0913876833178921	1	0
98	neccessary life	1.3322581727243907	0.0913876833178921	1	0
99	better thus	1.3322581727243907	0.0913876833178921	1	0
100	real result	1.3322581727243907	0.0913876833178921	1	0
101	icu admission	1.3322581727243907	0.0913876833178921	1	0
102	untreated illness	1.3322581727243907	0.0913876833178921	1	0
103	depend decision	1.3322581727243907	0.0913876833178921	1	0
104	medical team	1.3322581727243907	0.0913876833178921	1	0
105	proper care	1.3322581727243907	0.0913876833178921	1	0
106	condition sent	1.3322581727243907	0.0913876833178921	1	0
107	chance mistake	1.3322581727243907	0.0913876833178921	1	0
108	help pretty	1.3322581727243907	0.0913876833178921	1	0
109	appropriately respond	1.3322581727243907	0.0913876833178921	1	0
110	need accurate	1.3322581727243907	0.0913876833178921	1	0
111	timely manner	1.3322581727243907	0.0913876833178921	1	0
112	die receive	1.3322581727243907	0.0913876833178921	1	0
113	term effect	1.3322581727243907	0.0913876833178921	1	0
114	face significant	1.3322581727243907	0.0913876833178921	1	0
115	icu fact	1.3322581727243907	0.0913876833178921	1	0
116	andor death	1.3322581727243907	0.0913876833178921	1	0
117	result mean	1.3322581727243907	0.0913876833178921	1	0
118	bed likely	1.3322581727243907	0.0913876833178921	1	0
119	receiving help	1.3322581727243907	0.0913876833178921	1	0
120	treatment could	1.3322581727243907	0.0913876833178921	1	0
121	provided icu	1.3322581727243907	0.0913876833178921	1	0
122	critical treatment	1.3322581727243907	0.0913876833178921	1	0
123	required needed	1.3322581727243907	0.0913876833178921	1	0
124	significant health	1.3322581727243907	0.0913876833178921	1	0
125	advanced access	1.3322581727243907	0.0913876833178921	1	0
126	death permanent	1.3322581727243907	0.0913876833178921	1	0
127	could catastrophic	1.3322581727243907	0.0913876833178921	1	0
128	lack care	1.3322581727243907	0.0913876833178921	1	0
129	could life	1.3322581727243907	0.0913876833178921	1	0
130	mean patient	1.3322581727243907	0.0913876833178921	1	0
131	health likely	1.3322581727243907	0.0913876833178921	1	0
132	quickly deteriorate	1.3322581727243907	0.0913876833178921	1	0
133	besides icu	1.3322581727243907	0.0913876833178921	1	0
134	risk deteriorating	1.3322581727243907	0.0913876833178921	1	0
135	responsible mistake	1.3322581727243907	0.0913876833178921	1	0
136	mistaken someone	1.3322581727243907	0.0913876833178921	1	0
137	question could	1.3322581727243907	0.0913876833178921	1	0
138	obvious issue	1.3322581727243907	0.0913876833178921	1	0
139	death long	1.3322581727243907	0.0913876833178921	1	0
140	icu give	1.3322581727243907	0.0913876833178921	1	0
141	pretty bad	1.3322581727243907	0.0913876833178921	1	0
142	treatment lead	1.3322581727243907	0.0913876833178921	1	0
143	impact people	1.3322581727243907	0.0913876833178921	1	0
144	major impact	1.3322581727243907	0.0913876833178921	1	0
145	serious matter	1.3322581727243907	0.0913876833178921	1	0
146	end result	1.3322581727243907	0.0913876833178921	1	0
147	person could	1.3322581727243907	0.0913876833178921	1	0
148	lifethreatening situation	1.3322581727243907	0.0913876833178921	1	0
149	best care	1.3322581727243907	0.0913876833178921	1	0
150	could seriously	1.3322581727243907	0.0913876833178921	1	0
151	inverse someone	1.3322581727243907	0.0913876833178921	1	0
152	thus making	1.3322581727243907	0.0913876833178921	1	0
153	extreme health	1.3322581727243907	0.0913876833178921	1	0
154	life result	1.3322581727243907	0.0913876833178921	1	0
155	support serious	1.3322581727243907	0.0913876833178921	1	0
156	individual face	1.3322581727243907	0.0913876833178921	1	0
157	receive appropriate	1.3322581727243907	0.0913876833178921	1	0
158	get could	1.3322581727243907	0.0913876833178921	1	0
159	effect individual	1.3322581727243907	0.0913876833178921	1	0
160	individual missing	1.3322581727243907	0.0913876833178921	1	0
161	grave harm	1.3322581727243907	0.0913876833178921	1	0
162	could cost	1.3322581727243907	0.0913876833178921	1	0
163	die develop	1.3322581727243907	0.0913876833178921	1	0
164	receive proper	1.3322581727243907	0.0913876833178921	1	0
165	assume could	1.3322581727243907	0.0913876833178921	1	0
166	mistake required	1.3322581727243907	0.0913876833178921	1	0
167	given support	1.3322581727243907	0.0913876833178921	1	0
168	people apart	1.3322581727243907	0.0913876833178921	1	0
169	getting icu	1.3322581727243907	0.0913876833178921	1	0
170	case person	1.3322581727243907	0.0913876833178921	1	0
171	could highly	1.3322581727243907	0.0913876833178921	1	0
172	detrimental health	1.3322581727243907	0.0913876833178921	1	0
173	either way	1.3322581727243907	0.0913876833178921	1	0
174	may get	1.3322581727243907	0.0913876833178921	1	0
175	saving medical	1.3322581727243907	0.0913876833178921	1	0
176	appropriate level	1.3322581727243907	0.0913876833178921	1	0
177	patient inappropriately	1.3322581727243907	0.0913876833178921	1	0
178	missing needed	1.3322581727243907	0.0913876833178921	1	0
179	sick patient	1.3322581727243907	0.0913876833178921	1	0
180	life could	1.3322581727243907	0.0913876833178921	1	0
181	help either	1.3322581727243907	0.0913876833178921	1	0
182	care need	1.3322581727243907	0.0913876833178921	1	0
183	die need	1.3322581727243907	0.0913876833178921	1	0
184	receive care	1.3322581727243907	0.0913876833178921	1	0
185	community wrong	1.3322581727243907	0.0913876833178921	1	0
186	miss bed	1.3322581727243907	0.0913876833178921	1	0
187	without advanced	1.3322581727243907	0.0913876833178921	1	0
188	receiving adequate	1.3322581727243907	0.0913876833178921	1	0
189	reviewed make	1.3322581727243907	0.0913876833178921	1	0
190	icu die	1.3322581727243907	0.0913876833178921	1	0
191	health decline	1.3322581727243907	0.0913876833178921	1	0
192	care required	1.3322581727243907	0.0913876833178921	1	0
193	result avoidable	1.3322581727243907	0.0913876833178921	1	0
194	prediction denies	1.3322581727243907	0.0913876833178921	1	0
195	admitted icu	1.3322581727243907	0.0913876833178921	1	0
196	rather machine	1.3322581727243907	0.0913876833178921	1	0
197	prediction need	1.3322581727243907	0.0913876833178921	1	0
198	needed could	1.3322581727243907	0.0913876833178921	1	0
199	could easily	1.3322581727243907	0.0913876833178921	1	0
200	intensive care	1.3322581727243907	0.0913876833178921	1	0
201	impactful icu	1.3322581727243907	0.0913876833178921	1	0
202	admitted receive	1.3322581727243907	0.0913876833178921	1	0
203	could grave	1.3322581727243907	0.0913876833178921	1	0
204	directly affect	1.3322581727243907	0.0913876833178921	1	0
205	likely face	1.3322581727243907	0.0913876833178921	1	0
206	certain community	1.3322581727243907	0.0913876833178921	1	0
207	time andor	1.3322581727243907	0.0913876833178921	1	0
208	affect receiving	1.3322581727243907	0.0913876833178921	1	0
209	heshe could	1.3322581727243907	0.0913876833178921	1	0
210	ability get	1.3322581727243907	0.0913876833178921	1	0
211	support mistakenly	1.3322581727243907	0.0913876833178921	1	0
212	actually end	1.3322581727243907	0.0913876833178921	1	0
213	making individual	1.3322581727243907	0.0913876833178921	1	0
214	individual health	1.3322581727243907	0.0913876833178921	1	0
215	result could	1.3322581727243907	0.0913876833178921	1	0
216	die get	1.3322581727243907	0.0913876833178921	1	0
217	required level	1.3322581727243907	0.0913876833178921	1	0
218	know reasoning	1.3322581727243907	0.0913876833178921	1	0
219	need assistance	1.3322581727243907	0.0913876833178921	1	0
220	deny could	1.3322581727243907	0.0913876833178921	1	0
221	receive needed	1.3322581727243907	0.0913876833178921	1	0
222	presumably individual	1.3322581727243907	0.0913876833178921	1	0
223	machine say	1.3322581727243907	0.0913876833178921	1	0
224	possible death	1.3322581727243907	0.0913876833178921	1	0
225	fact necessary	1.3322581727243907	0.0913876833178921	1	0
226	could fatal	1.3322581727243907	0.0913876833178921	1	0
227	mean death	1.3322581727243907	0.0913876833178921	1	0
228	people serious	1.3322581727243907	0.0913876833178921	1	0
229	mistakenly deny	1.3322581727243907	0.0913876833178921	1	0
230	cost life	1.3322581727243907	0.0913876833178921	1	0
231	could overlooked	1.3322581727243907	0.0913876833178921	1	0
232	give away	1.3322581727243907	0.0913876833178921	1	0
233	team able	1.3322581727243907	0.0913876833178921	1	0
234	get sent	1.3322581727243907	0.0913876833178921	1	0
235	kind care	1.3322581727243907	0.0913876833178921	1	0
236	death individual	1.3322581727243907	0.0913876833178921	1	0
237	inappropriately triaged	1.3322581727243907	0.0913876833178921	1	0
238	needed timely	1.3322581727243907	0.0913876833178921	1	0
239	difference life	1.3322581727243907	0.0913876833178921	1	0
240	highly detrimental	1.3322581727243907	0.0913876833178921	1	0
241	long term	1.3322581727243907	0.0913876833178921	1	0
242	amount support	1.3322581727243907	0.0913876833178921	1	0
243	wrong care	1.3322581727243907	0.0913876833178921	1	0
244	consequence death	1.3322581727243907	0.0913876833178921	1	0
245	service required	1.3322581727243907	0.0913876833178921	1	0
246	wrong treatment	1.3322581727243907	0.0913876833178921	1	0
247	denies person	1.3322581727243907	0.0913876833178921	1	0
248	treatment neccessary	1.3322581727243907	0.0913876833178921	1	0
