	word	zstat	pvalue	f1_count	f2_count
0	friend family	1.7668675654373192	0.038625205025015624	3	0
1	denied icu	1.4421185352733579	0.07463446849499514	2	0
2	loss family	1.4421185352733579	0.07463446849499514	2	0
3	chance mistake	1.4421185352733579	0.07463446849499514	2	0
4	life individual	1.4421185352733579	0.07463446849499514	2	0
5	could lead	1.4421185352733579	0.07463446849499514	2	0
6	mistakenly denied	1.4421185352733579	0.07463446849499514	2	0
7	individual society	1.4421185352733579	0.07463446849499514	2	0
8	needed support	1.4421185352733579	0.07463446849499514	2	0
9	individual family	1.4421185352733579	0.07463446849499514	2	0
10	make decision	1.4421185352733579	0.07463446849499514	2	0
11	people could	1.4421185352733579	0.07463446849499514	2	0
12	loved one	1.0600843828025361	0.14455310599726273	6	3
13	medical care	1.0393154704231948	0.14932902110429003	3	1
14	going make	1.0193625282014016	0.15401544445042853	1	0
15	instead possibility	1.0193625282014016	0.15401544445042853	1	0
16	today society	1.0193625282014016	0.15401544445042853	1	0
17	room loss	1.0193625282014016	0.15401544445042853	1	0
18	emergency medical	1.0193625282014016	0.15401544445042853	1	0
19	someone needing	1.0193625282014016	0.15401544445042853	1	0
20	ability contributing	1.0193625282014016	0.15401544445042853	1	0
21	term negative	1.0193625282014016	0.15401544445042853	1	0
22	get icu	1.0193625282014016	0.15401544445042853	1	0
23	consequence due	1.0193625282014016	0.15401544445042853	1	0
24	medical professional	1.0193625282014016	0.15401544445042853	1	0
25	dy loss	1.0193625282014016	0.15401544445042853	1	0
26	hospital know	1.0193625282014016	0.15401544445042853	1	0
27	made poor	1.0193625282014016	0.15401544445042853	1	0
28	call individual	1.0193625282014016	0.15401544445042853	1	0
29	adequate care	1.0193625282014016	0.15401544445042853	1	0
30	cost individual	1.0193625282014016	0.15401544445042853	1	0
31	among citizen	1.0193625282014016	0.15401544445042853	1	0
32	may die	1.0193625282014016	0.15401544445042853	1	0
33	due mistake	1.0193625282014016	0.15401544445042853	1	0
34	even dying	1.0193625282014016	0.15401544445042853	1	0
35	distrust system	1.0193625282014016	0.15401544445042853	1	0
36	always get	1.0193625282014016	0.15401544445042853	1	0
37	suffering family	1.0193625282014016	0.15401544445042853	1	0
38	harm patient	1.0193625282014016	0.15401544445042853	1	0
39	professional public	1.0193625282014016	0.15401544445042853	1	0
40	affect patient	1.0193625282014016	0.15401544445042853	1	0
41	dangerous deadly	1.0193625282014016	0.15401544445042853	1	0
42	legal cost	1.0193625282014016	0.15401544445042853	1	0
43	go unfilled	1.0193625282014016	0.15401544445042853	1	0
44	higher cost	1.0193625282014016	0.15401544445042853	1	0
45	giving often	1.0193625282014016	0.15401544445042853	1	0
46	similar lead	1.0193625282014016	0.15401544445042853	1	0
47	proper decision	1.0193625282014016	0.15401544445042853	1	0
48	financial hardship	1.0193625282014016	0.15401544445042853	1	0
49	specialty try	1.0193625282014016	0.15401544445042853	1	0
50	icu properly	1.0193625282014016	0.15401544445042853	1	0
51	ill people	1.0193625282014016	0.15401544445042853	1	0
52	get appropriate	1.0193625282014016	0.15401544445042853	1	0
53	significant way	1.0193625282014016	0.15401544445042853	1	0
54	may work	1.0193625282014016	0.15401544445042853	1	0
55	person visit	1.0193625282014016	0.15401544445042853	1	0
56	accurate information	1.0193625282014016	0.15401544445042853	1	0
57	answer think	1.0193625282014016	0.15401544445042853	1	0
58	family probably	1.0193625282014016	0.15401544445042853	1	0
59	support needed	1.0193625282014016	0.15401544445042853	1	0
