	word	zstat	pvalue	f1_count	f2_count
0	someone actually	1.7016139337592362	0.04441388188374733	3	0
1	people mistakenly	1.7016139337592362	0.04441388188374733	3	0
2	care needed	1.3888584757320124	0.08243789475994939	2	0
3	support could	1.3888584757320124	0.08243789475994939	2	0
4	individual need	1.3888584757320124	0.08243789475994939	2	0
5	society impacted	1.3888584757320124	0.08243789475994939	2	0
6	care cost	1.3888584757320124	0.08243789475994939	2	0
7	cost unneeded	1.3888584757320124	0.08243789475994939	2	0
8	take icu	1.3888584757320124	0.08243789475994939	2	0
9	ill patient	1.3888584757320124	0.08243789475994939	2	0
10	people society	1.3888584757320124	0.08243789475994939	2	0
11	icu care	1.3888584757320124	0.08243789475994939	2	0
12	stress family	1.3888584757320124	0.08243789475994939	2	0
13	everyone else	1.3888584757320124	0.08243789475994939	2	0
14	else could	1.3888584757320124	0.08243789475994939	2	0
15	patient may	1.3888584757320124	0.08243789475994939	2	0
16	mistakenly given	1.3888584757320124	0.08243789475994939	2	0
17	taken away	1.3888584757320124	0.08243789475994939	2	0
18	need could	1.3888584757320124	0.08243789475994939	2	0
19	one individual	1.3888584757320124	0.08243789475994939	2	0
20	bed available	1.3888584757320124	0.08243789475994939	2	0
21	view society	1.3888584757320124	0.08243789475994939	2	0
22	need treatment	1.3888584757320124	0.08243789475994939	2	0
23	icu treatment	1.3888584757320124	0.08243789475994939	2	0
24	emotional impact	1.3888584757320124	0.08243789475994939	2	0
25	unnecessary medical	1.3888584757320124	0.08243789475994939	2	0
26	part society	1.302160691764513	0.09643072971319516	4	1
27	systemwide burden	0.981715616648509	0.1631199848224522	1	0
28	support often	0.981715616648509	0.1631199848224522	1	0
29	cost premeditated	0.981715616648509	0.1631199848224522	1	0
30	staff funding	0.981715616648509	0.1631199848224522	1	0
31	country city	0.981715616648509	0.1631199848224522	1	0
32	wrong person	0.981715616648509	0.1631199848224522	1	0
33	get treatment	0.981715616648509	0.1631199848224522	1	0
34	really think	0.981715616648509	0.1631199848224522	1	0
35	maybe medical	0.981715616648509	0.1631199848224522	1	0
36	info needed	0.981715616648509	0.1631199848224522	1	0
37	predicting support	0.981715616648509	0.1631199848224522	1	0
38	losing life	0.981715616648509	0.1631199848224522	1	0
39	care patient	0.981715616648509	0.1631199848224522	1	0
40	bill systemwide	0.981715616648509	0.1631199848224522	1	0
41	space icu	0.981715616648509	0.1631199848224522	1	0
42	time doctor	0.981715616648509	0.1631199848224522	1	0
43	like society	0.981715616648509	0.1631199848224522	1	0
44	may incur	0.981715616648509	0.1631199848224522	1	0
45	burdened increased	0.981715616648509	0.1631199848224522	1	0
46	good employee	0.981715616648509	0.1631199848224522	1	0
47	mistakenly admitted	0.981715616648509	0.1631199848224522	1	0
48	treatment denied	0.981715616648509	0.1631199848224522	1	0
49	needed spot	0.981715616648509	0.1631199848224522	1	0
50	critically thinking	0.981715616648509	0.1631199848224522	1	0
51	away someone	0.981715616648509	0.1631199848224522	1	0
52	resource people	0.981715616648509	0.1631199848224522	1	0
53	american community	0.981715616648509	0.1631199848224522	1	0
54	society case	0.981715616648509	0.1631199848224522	1	0
55	used save	0.981715616648509	0.1631199848224522	1	0
56	medical official	0.981715616648509	0.1631199848224522	1	0
57	probably issue	0.981715616648509	0.1631199848224522	1	0
58	insurance plan	0.981715616648509	0.1631199848224522	1	0
59	thinking affected	0.981715616648509	0.1631199848224522	1	0
60	pas away	0.981715616648509	0.1631199848224522	1	0
61	thus algorithm	0.981715616648509	0.1631199848224522	1	0
62	die well	0.981715616648509	0.1631199848224522	1	0
63	strain individual	0.981715616648509	0.1631199848224522	1	0
64	cause societal	0.981715616648509	0.1631199848224522	1	0
65	significant issue	0.981715616648509	0.1631199848224522	1	0
66	coincide mistaken	0.981715616648509	0.1631199848224522	1	0
67	impact healthcare	0.981715616648509	0.1631199848224522	1	0
68	due fact	0.981715616648509	0.1631199848224522	1	0
69	given bed	0.981715616648509	0.1631199848224522	1	0
70	care also	0.981715616648509	0.1631199848224522	1	0
71	take account	0.981715616648509	0.1631199848224522	1	0
72	may overburdened	0.981715616648509	0.1631199848224522	1	0
73	need extensive	0.981715616648509	0.1631199848224522	1	0
74	despite need	0.981715616648509	0.1631199848224522	1	0
75	great part	0.981715616648509	0.1631199848224522	1	0
76	society care	0.981715616648509	0.1631199848224522	1	0
77	put much	0.981715616648509	0.1631199848224522	1	0
78	case ruling	0.981715616648509	0.1631199848224522	1	0
79	mean every	0.981715616648509	0.1631199848224522	1	0
80	medical expense	0.981715616648509	0.1631199848224522	1	0
81	need therefore	0.981715616648509	0.1631199848224522	1	0
82	mistreated chart	0.981715616648509	0.1631199848224522	1	0
83	take place	0.981715616648509	0.1631199848224522	1	0
84	medical bill	0.981715616648509	0.1631199848224522	1	0
85	caring individual	0.981715616648509	0.1631199848224522	1	0
86	getting mistakingly	0.981715616648509	0.1631199848224522	1	0
87	racial bias	0.981715616648509	0.1631199848224522	1	0
88	risk patient	0.981715616648509	0.1631199848224522	1	0
89	somebody need	0.981715616648509	0.1631199848224522	1	0
90	someone really	0.981715616648509	0.1631199848224522	1	0
91	think experience	0.981715616648509	0.1631199848224522	1	0
92	deal consequence	0.981715616648509	0.1631199848224522	1	0
93	pay funeral	0.981715616648509	0.1631199848224522	1	0
94	cost care	0.981715616648509	0.1631199848224522	1	0
95	result increase	0.981715616648509	0.1631199848224522	1	0
96	wasting resource	0.981715616648509	0.1631199848224522	1	0
97	may also	0.981715616648509	0.1631199848224522	1	0
98	line icu	0.981715616648509	0.1631199848224522	1	0
99	overburdened caring	0.981715616648509	0.1631199848224522	1	0
100	internet really	0.981715616648509	0.1631199848224522	1	0
101	get care	0.981715616648509	0.1631199848224522	1	0
102	always mistake	0.981715616648509	0.1631199848224522	1	0
103	member icu	0.981715616648509	0.1631199848224522	1	0
104	people wanted	0.981715616648509	0.1631199848224522	1	0
105	mistakenly get	0.981715616648509	0.1631199848224522	1	0
106	higher tax	0.981715616648509	0.1631199848224522	1	0
107	becoming bankrupt	0.981715616648509	0.1631199848224522	1	0
108	thinking term	0.981715616648509	0.1631199848224522	1	0
109	staff take	0.981715616648509	0.1631199848224522	1	0
110	another patient	0.981715616648509	0.1631199848224522	1	0
111	person need	0.981715616648509	0.1631199848224522	1	0
112	goups involved	0.981715616648509	0.1631199848224522	1	0
113	could see	0.981715616648509	0.1631199848224522	1	0
114	bed truly	0.981715616648509	0.1631199848224522	1	0
115	mistaken prediction	0.981715616648509	0.1631199848224522	1	0
116	also take	0.981715616648509	0.1631199848224522	1	0
117	machine already	0.981715616648509	0.1631199848224522	1	0
118	white people	0.981715616648509	0.1631199848224522	1	0
119	result individual	0.981715616648509	0.1631199848224522	1	0
120	bed could	0.981715616648509	0.1631199848224522	1	0
121	payer insurance	0.981715616648509	0.1631199848224522	1	0
122	patient icu	0.981715616648509	0.1631199848224522	1	0
123	family becoming	0.981715616648509	0.1631199848224522	1	0
124	staff hospital	0.981715616648509	0.1631199848224522	1	0
125	society thus	0.981715616648509	0.1631199848224522	1	0
126	get surgery	0.981715616648509	0.1631199848224522	1	0
127	account individual	0.981715616648509	0.1631199848224522	1	0
128	family grieve	0.981715616648509	0.1631199848224522	1	0
129	resource resource	0.981715616648509	0.1631199848224522	1	0
130	icu stay	0.981715616648509	0.1631199848224522	1	0
131	individual may	0.981715616648509	0.1631199848224522	1	0
132	emotional stress	0.981715616648509	0.1631199848224522	1	0
133	life consider	0.981715616648509	0.1631199848224522	1	0
134	may burdened	0.981715616648509	0.1631199848224522	1	0
135	much financial	0.981715616648509	0.1631199848224522	1	0
136	could mean	0.981715616648509	0.1631199848224522	1	0
137	unneeded care	0.981715616648509	0.1631199848224522	1	0
138	impact loved	0.981715616648509	0.1631199848224522	1	0
