	word	zstat	pvalue	f1_count	f2_count
0	denied payment	1.8618866912882353	0.03130953168321401	4	0
1	renter landlord	1.6116605194150355	0.05351791669245051	3	0
2	denying payment	1.6116605194150355	0.05351791669245051	3	0
3	able pay	1.3152788271136464	0.09420810561614579	2	0
4	pay rent	1.3152788271136464	0.09420810561614579	2	0
5	renter likely	1.3152788271136464	0.09420810561614579	2	0
6	could potentially	1.3152788271136464	0.09420810561614579	2	0
7	payment may	1.3152788271136464	0.09420810561614579	2	0
8	unable pay	1.3152788271136464	0.09420810561614579	2	0
9	renter feel	1.3152788271136464	0.09420810561614579	2	0
10	payment renter	1.3152788271136464	0.09420810561614579	2	0
11	make payment	1.3152788271136464	0.09420810561614579	2	0
12	consequence bank	0.9295931732937954	0.17629088168875084	1	0
13	denied renter	0.9295931732937954	0.17629088168875084	1	0
14	pulled make	0.9295931732937954	0.17629088168875084	1	0
15	made mistake	0.9295931732937954	0.17629088168875084	1	0
16	make renter	0.9295931732937954	0.17629088168875084	1	0
17	stressful ruin	0.9295931732937954	0.17629088168875084	1	0
18	fee necessary	0.9295931732937954	0.17629088168875084	1	0
19	payment go	0.9295931732937954	0.17629088168875084	1	0
20	opportunity obtain	0.9295931732937954	0.17629088168875084	1	0
21	depends individual	0.9295931732937954	0.17629088168875084	1	0
22	stop individual	0.9295931732937954	0.17629088168875084	1	0
23	city stressful	0.9295931732937954	0.17629088168875084	1	0
24	taking good	0.9295931732937954	0.17629088168875084	1	0
25	le renter	0.9295931732937954	0.17629088168875084	1	0
26	notified happens	0.9295931732937954	0.17629088168875084	1	0
27	hard renter	0.9295931732937954	0.17629088168875084	1	0
28	something beyond	0.9295931732937954	0.17629088168875084	1	0
29	opportunity rent	0.9295931732937954	0.17629088168875084	1	0
30	huge bias	0.9295931732937954	0.17629088168875084	1	0
31	renter selfesteem	0.9295931732937954	0.17629088168875084	1	0
32	spent family	0.9295931732937954	0.17629088168875084	1	0
33	fee might	0.9295931732937954	0.17629088168875084	1	0
34	offending customer	0.9295931732937954	0.17629088168875084	1	0
35	loss housing	0.9295931732937954	0.17629088168875084	1	0
36	someone truthful	0.9295931732937954	0.17629088168875084	1	0
37	high given	0.9295931732937954	0.17629088168875084	1	0
38	within group	0.9295931732937954	0.17629088168875084	1	0
39	know committed	0.9295931732937954	0.17629088168875084	1	0
40	money pulled	0.9295931732937954	0.17629088168875084	1	0
41	live open	0.9295931732937954	0.17629088168875084	1	0
42	bill pay	0.9295931732937954	0.17629088168875084	1	0
43	give people	0.9295931732937954	0.17629088168875084	1	0
44	inconvenience life	0.9295931732937954	0.17629088168875084	1	0
45	time spent	0.9295931732937954	0.17629088168875084	1	0
46	offended due	0.9295931732937954	0.17629088168875084	1	0
47	get evicted	0.9295931732937954	0.17629088168875084	1	0
48	returned paid	0.9295931732937954	0.17629088168875084	1	0
49	nobody get	0.9295931732937954	0.17629088168875084	1	0
50	need work	0.9295931732937954	0.17629088168875084	1	0
51	offended like	0.9295931732937954	0.17629088168875084	1	0
52	others denied	0.9295931732937954	0.17629088168875084	1	0
53	bounce back	0.9295931732937954	0.17629088168875084	1	0
54	go either	0.9295931732937954	0.17629088168875084	1	0
55	honestly think	0.9295931732937954	0.17629088168875084	1	0
56	pay timely	0.9295931732937954	0.17629088168875084	1	0
57	thing rectify	0.9295931732937954	0.17629088168875084	1	0
58	charged late	0.9295931732937954	0.17629088168875084	1	0
59	likely subsequent	0.9295931732937954	0.17629088168875084	1	0
60	anything unable	0.9295931732937954	0.17629088168875084	1	0
61	individual denied	0.9295931732937954	0.17629088168875084	1	0
62	directly affected	0.9295931732937954	0.17629088168875084	1	0
63	could troublesome	0.9295931732937954	0.17629088168875084	1	0
64	lost time	0.9295931732937954	0.17629088168875084	1	0
65	denied mistakenly	0.9295931732937954	0.17629088168875084	1	0
66	permanent situation	0.9295931732937954	0.17629088168875084	1	0
67	make sure	0.9295931732937954	0.17629088168875084	1	0
68	among several	0.9295931732937954	0.17629088168875084	1	0
69	renter denied	0.9295931732937954	0.17629088168875084	1	0
70	flawed technology	0.9295931732937954	0.17629088168875084	1	0
71	may multiple	0.9295931732937954	0.17629088168875084	1	0
