	word	zstat	pvalue	f1_count	f2_count
0	fraudulent payment	4.991972806216475	2.9882835702548225e-07	15	0
1	allowing fraudulent	2.8706843634751014	0.002047921372880394	5	0
2	lose money	2.5666022787693397	0.005135016633570371	4	0
3	one payment	2.221864046672801	0.01314624740229136	3	0
4	getting paid	1.8134277691235265	0.03488293489812183	2	0
5	payment fraudulent	1.8134277691235265	0.03488293489812183	2	0
6	losing money	1.8134277691235265	0.03488293489812183	2	0
7	negative impact	1.8134277691235265	0.03488293489812183	2	0
8	receiving payment	1.8134277691235265	0.03488293489812183	2	0
9	allow fraudulent	1.8134277691235265	0.03488293489812183	2	0
10	payment impact	1.8134277691235265	0.03488293489812183	2	0
11	loss income	1.8134277691235265	0.03488293489812183	2	0
12	accepting payment	1.8134277691235265	0.03488293489812183	2	0
13	fraudulent check	1.8134277691235265	0.03488293489812183	2	0
14	affect person	1.5340985701781205	0.06250270251622456	3	1
15	individual impacted	1.2817809400679567	0.09995975107009875	1	0
16	get paid	1.2817809400679567	0.09995975107009875	1	0
17	like freebie	1.2817809400679567	0.09995975107009875	1	0
18	issue see	1.2817809400679567	0.09995975107009875	1	0
19	certain condition	1.2817809400679567	0.09995975107009875	1	0
20	recover money	1.2817809400679567	0.09995975107009875	1	0
21	like best	1.2817809400679567	0.09995975107009875	1	0
22	positive net	1.2817809400679567	0.09995975107009875	1	0
23	leech enough	1.2817809400679567	0.09995975107009875	1	0
24	collect individual	1.2817809400679567	0.09995975107009875	1	0
25	catching worse	1.2817809400679567	0.09995975107009875	1	0
26	actually pay	1.2817809400679567	0.09995975107009875	1	0
27	money owed	1.2817809400679567	0.09995975107009875	1	0
28	anywhere get	1.2817809400679567	0.09995975107009875	1	0
29	payment different	1.2817809400679567	0.09995975107009875	1	0
30	hisher credit	1.2817809400679567	0.09995975107009875	1	0
31	bill come	1.2817809400679567	0.09995975107009875	1	0
32	drama one	1.2817809400679567	0.09995975107009875	1	0
33	requires lot	1.2817809400679567	0.09995975107009875	1	0
34	renter assume	1.2817809400679567	0.09995975107009875	1	0
35	proceed transaction	1.2817809400679567	0.09995975107009875	1	0
36	minor inconvenience	1.2817809400679567	0.09995975107009875	1	0
37	allowing payment	1.2817809400679567	0.09995975107009875	1	0
38	consequence action	1.2817809400679567	0.09995975107009875	1	0
39	something fraudulent	1.2817809400679567	0.09995975107009875	1	0
