	word	zstat	pvalue	f1_count	f2_count
0	fraudulent payment	3.975058213547042	3.51810216614077e-05	20	0
1	allowing fraudulent	2.5020758342496285	0.00617337375592584	8	0
2	mistakenly allowing	1.7664397880282856	0.03866104743627038	4	0
3	part society	1.5291783854740577	0.0631101136977436	3	0
4	society people	1.5291783854740577	0.0631101136977436	3	0
5	affect society	1.5291783854740577	0.0631101136977436	3	0
6	considered society	1.2480768764826882	0.10600145273380945	2	0
7	allowing payment	1.2480768764826882	0.10600145273380945	2	0
8	get away	1.2480768764826882	0.10600145273380945	2	0
9	society anyone	1.2480768764826882	0.10600145273380945	2	0
10	impact person	1.2480768764826882	0.10600145273380945	2	0
11	society family	1.2480768764826882	0.10600145273380945	2	0
12	apartment complex	1.2480768764826882	0.10600145273380945	2	0
13	make fraudulent	1.2480768764826882	0.10600145273380945	2	0
14	society community	1.2480768764826882	0.10600145273380945	2	0
15	impact society	1.2480768764826882	0.10600145273380945	2	0
16	society could	1.2480768764826882	0.10600145273380945	2	0
17	affect individual	1.2480768764826882	0.10600145273380945	2	0
18	payment going	1.2480768764826882	0.10600145273380945	2	0
19	affect community	1.2480768764826882	0.10600145273380945	2	0
20	fraud affect	1.2480768764826882	0.10600145273380945	2	0
21	consider society	1.2480768764826882	0.10600145273380945	2	0
22	society society	1.2480768764826882	0.10600145273380945	2	0
23	indirectly affected	1.2480768764826882	0.10600145273380945	2	0
24	accepting payment	1.2480768764826882	0.10600145273380945	2	0
25	effect renter	1.2480768764826882	0.10600145273380945	2	0
26	people community	1.2480768764826882	0.10600145273380945	2	0
27	payment bad	1.2480768764826882	0.10600145273380945	2	0
28	corporation lose	0.8821761041351774	0.18884079104121643	1	0
29	still information	0.8821761041351774	0.18884079104121643	1	0
30	due fraud	0.8821761041351774	0.18884079104121643	1	0
31	risk large	0.8821761041351774	0.18884079104121643	1	0
32	happen jeopardized	0.8821761041351774	0.18884079104121643	1	0
33	around others	0.8821761041351774	0.18884079104121643	1	0
34	happen member	0.8821761041351774	0.18884079104121643	1	0
35	lead total	0.8821761041351774	0.18884079104121643	1	0
36	report loss	0.8821761041351774	0.18884079104121643	1	0
