	word	zstat	pvalue	f1_count	f2_count
0	part society	1.4209344709495308	0.0776679053050054	3	0
1	society people	1.4209344709495308	0.0776679053050054	3	0
2	affect society	1.4209344709495308	0.0776679053050054	3	0
3	considered society	1.159701787142292	0.12308512115730125	2	0
4	get away	1.159701787142292	0.12308512115730125	2	0
5	society anyone	1.159701787142292	0.12308512115730125	2	0
6	impact person	1.159701787142292	0.12308512115730125	2	0
7	society family	1.159701787142292	0.12308512115730125	2	0
8	apartment complex	1.159701787142292	0.12308512115730125	2	0
9	make fraudulent	1.159701787142292	0.12308512115730125	2	0
10	society community	1.159701787142292	0.12308512115730125	2	0
11	impact society	1.159701787142292	0.12308512115730125	2	0
12	pay bill	1.159701787142292	0.12308512115730125	2	0
13	society could	1.159701787142292	0.12308512115730125	2	0
14	payment going	1.159701787142292	0.12308512115730125	2	0
15	affect community	1.159701787142292	0.12308512115730125	2	0
16	fraud affect	1.159701787142292	0.12308512115730125	2	0
17	consider society	1.159701787142292	0.12308512115730125	2	0
18	society society	1.159701787142292	0.12308512115730125	2	0
19	indirectly affected	1.159701787142292	0.12308512115730125	2	0
20	effect renter	1.159701787142292	0.12308512115730125	2	0
21	people community	1.159701787142292	0.12308512115730125	2	0
22	payment bad	1.159701787142292	0.12308512115730125	2	0
23	mistakenly allowing	0.9218046129158077	0.17831525043911894	4	1
24	corporation lose	0.8196895285089377	0.20619656051348012	1	0
25	still information	0.8196895285089377	0.20619656051348012	1	0
26	due fraud	0.8196895285089377	0.20619656051348012	1	0
27	risk large	0.8196895285089377	0.20619656051348012	1	0
28	happen jeopardized	0.8196895285089377	0.20619656051348012	1	0
29	around others	0.8196895285089377	0.20619656051348012	1	0
30	happen member	0.8196895285089377	0.20619656051348012	1	0
31	lead total	0.8196895285089377	0.20619656051348012	1	0
32	report loss	0.8196895285089377	0.20619656051348012	1	0
33	corporate world	0.8196895285089377	0.20619656051348012	1	0
34	scale issue	0.8196895285089377	0.20619656051348012	1	0
35	everyone know	0.8196895285089377	0.20619656051348012	1	0
36	hope renting	0.8196895285089377	0.20619656051348012	1	0
37	creates chain	0.8196895285089377	0.20619656051348012	1	0
38	city renter	0.8196895285089377	0.20619656051348012	1	0
39	owes money	0.8196895285089377	0.20619656051348012	1	0
40	opportunity obtain	0.8196895285089377	0.20619656051348012	1	0
41	could possible	0.8196895285089377	0.20619656051348012	1	0
42	wrong person	0.8196895285089377	0.20619656051348012	1	0
43	cost likely	0.8196895285089377	0.20619656051348012	1	0
44	impact whoever	0.8196895285089377	0.20619656051348012	1	0
45	claim potentially	0.8196895285089377	0.20619656051348012	1	0
46	raise rent	0.8196895285089377	0.20619656051348012	1	0
47	payment financially	0.8196895285089377	0.20619656051348012	1	0
48	landlord seek	0.8196895285089377	0.20619656051348012	1	0
49	still create	0.8196895285089377	0.20619656051348012	1	0
50	society answer	0.8196895285089377	0.20619656051348012	1	0
51	take away	0.8196895285089377	0.20619656051348012	1	0
52	go place	0.8196895285089377	0.20619656051348012	1	0
