	word	zstat	pvalue	f1_count	f2_count
0	part society	2.0621558753850997	0.019596449051342335	6	0
1	credit card	1.6824862275969719	0.046237296667078584	4	0
2	denied transaction	1.6824862275969719	0.046237296667078584	4	0
3	society people	1.6824862275969719	0.046237296667078584	4	0
4	consider society	1.456532433723161	0.07262274518092691	3	0
5	indirectly affected	1.456532433723161	0.07262274518092691	3	0
6	denying transaction	1.456532433723161	0.07262274518092691	3	0
7	society could	1.456532433723161	0.07262274518092691	3	0
8	mistakenly denied	1.2313592637191602	0.10909426282507712	5	1
9	society community	1.1888105795000836	0.11725710697892355	2	0
10	society person	1.1888105795000836	0.11725710697892355	2	0
11	bank part	1.1888105795000836	0.11725710697892355	2	0
12	commit fraud	1.1888105795000836	0.11725710697892355	2	0
13	particular group	1.1888105795000836	0.11725710697892355	2	0
14	may need	1.1888105795000836	0.11725710697892355	2	0
15	anyone indirectly	1.1888105795000836	0.11725710697892355	2	0
16	society individual	1.1888105795000836	0.11725710697892355	2	0
17	one person	1.1888105795000836	0.11725710697892355	2	0
18	feel stressed	1.1888105795000836	0.11725710697892355	2	0
19	affect society	1.1888105795000836	0.11725710697892355	2	0
20	payment mistakenly	1.1888105795000836	0.11725710697892355	2	0
21	people community	1.1888105795000836	0.11725710697892355	2	0
22	consider landlord	1.1888105795000836	0.11725710697892355	2	0
23	trying rent	1.1888105795000836	0.11725710697892355	2	0
24	society whole	1.1888105795000836	0.11725710697892355	2	0
25	society include	1.1888105795000836	0.11725710697892355	2	0
26	card company	1.1888105795000836	0.11725710697892355	2	0
27	individual everyone	0.8403030019974853	0.20036925933630328	1	0
28	direct correlation	0.8403030019974853	0.20036925933630328	1	0
29	sister situation	0.8403030019974853	0.20036925933630328	1	0
30	denied living	0.8403030019974853	0.20036925933630328	1	0
31	society answer	0.8403030019974853	0.20036925933630328	1	0
32	credit check	0.8403030019974853	0.20036925933630328	1	0
33	equitable bias	0.8403030019974853	0.20036925933630328	1	0
34	internet online	0.8403030019974853	0.20036925933630328	1	0
35	example individual	0.8403030019974853	0.20036925933630328	1	0
36	ask society	0.8403030019974853	0.20036925933630328	1	0
37	human being	0.8403030019974853	0.20036925933630328	1	0
38	place stress	0.8403030019974853	0.20036925933630328	1	0
39	payment due	0.8403030019974853	0.20036925933630328	1	0
40	since denying	0.8403030019974853	0.20036925933630328	1	0
41	society able	0.8403030019974853	0.20036925933630328	1	0
42	judgment race	0.8403030019974853	0.20036925933630328	1	0
43	think society	0.8403030019974853	0.20036925933630328	1	0
44	society anyone	0.8403030019974853	0.20036925933630328	1	0
45	rent tend	0.8403030019974853	0.20036925933630328	1	0
46	group another	0.8403030019974853	0.20036925933630328	1	0
47	could get	0.8403030019974853	0.20036925933630328	1	0
48	correlation race	0.8403030019974853	0.20036925933630328	1	0
49	renter bread	0.8403030019974853	0.20036925933630328	1	0
50	individual surrounding	0.8403030019974853	0.20036925933630328	1	0
51	go somewhere	0.8403030019974853	0.20036925933630328	1	0
52	care get	0.8403030019974853	0.20036925933630328	1	0
53	overall renter	0.8403030019974853	0.20036925933630328	1	0
54	end looking	0.8403030019974853	0.20036925933630328	1	0
55	hurt much	0.8403030019974853	0.20036925933630328	1	0
56	child think	0.8403030019974853	0.20036925933630328	1	0
57	turning payment	0.8403030019974853	0.20036925933630328	1	0
58	renter people	0.8403030019974853	0.20036925933630328	1	0
59	may suffer	0.8403030019974853	0.20036925933630328	1	0
60	want go	0.8403030019974853	0.20036925933630328	1	0
61	agency governing	0.8403030019974853	0.20036925933630328	1	0
62	based model	0.8403030019974853	0.20036925933630328	1	0
63	renter family	0.8403030019974853	0.20036925933630328	1	0
64	may able	0.8403030019974853	0.20036925933630328	1	0
65	society want	0.8403030019974853	0.20036925933630328	1	0
66	mistake may	0.8403030019974853	0.20036925933630328	1	0
67	currently renting	0.8403030019974853	0.20036925933630328	1	0
68	high overall	0.8403030019974853	0.20036925933630328	1	0
69	mistake rectified	0.8403030019974853	0.20036925933630328	1	0
70	apartment complex	0.8403030019974853	0.20036925933630328	1	0
71	credit denying	0.8403030019974853	0.20036925933630328	1	0
72	turmoil arise	0.8403030019974853	0.20036925933630328	1	0
73	due owner	0.8403030019974853	0.20036925933630328	1	0
74	interfere finance	0.8403030019974853	0.20036925933630328	1	0
75	person bad	0.8403030019974853	0.20036925933630328	1	0
76	help rent	0.8403030019974853	0.20036925933630328	1	0
77	potentialcurrent renter	0.8403030019974853	0.20036925933630328	1	0
78	often affect	0.8403030019974853	0.20036925933630328	1	0
79	accuracy overall	0.8403030019974853	0.20036925933630328	1	0
80	indirectly affecting	0.8403030019974853	0.20036925933630328	1	0
81	process started	0.8403030019974853	0.20036925933630328	1	0
82	society much	0.8403030019974853	0.20036925933630328	1	0
83	landlord immediate	0.8403030019974853	0.20036925933630328	1	0
84	refers community	0.8403030019974853	0.20036925933630328	1	0
85	survive without	0.8403030019974853	0.20036925933630328	1	0
86	could homeless	0.8403030019974853	0.20036925933630328	1	0
87	unsure	0.8403030019974853	0.20036925933630328	1	0
88	bringing rent	0.8403030019974853	0.20036925933630328	1	0
89	community fraudcommitters	0.8403030019974853	0.20036925933630328	1	0
90	le money	0.8403030019974853	0.20036925933630328	1	0
91	impact whole	0.8403030019974853	0.20036925933630328	1	0
92	renter mistakingly	0.8403030019974853	0.20036925933630328	1	0
93	major impact	0.8403030019974853	0.20036925933630328	1	0
94	rent something	0.8403030019974853	0.20036925933630328	1	0
95	denial periodically	0.8403030019974853	0.20036925933630328	1	0
96	bias generational	0.8403030019974853	0.20036925933630328	1	0
97	reside somewhere	0.8403030019974853	0.20036925933630328	1	0
98	everyone currently	0.8403030019974853	0.20036925933630328	1	0
99	increase risk	0.8403030019974853	0.20036925933630328	1	0
100	governing body	0.8403030019974853	0.20036925933630328	1	0
101	property society	0.8403030019974853	0.20036925933630328	1	0
102	innocent negatively	0.8403030019974853	0.20036925933630328	1	0
103	society neither	0.8403030019974853	0.20036925933630328	1	0
104	tend homeless	0.8403030019974853	0.20036925933630328	1	0
105	moderately impacted	0.8403030019974853	0.20036925933630328	1	0
106	landlord tenant	0.8403030019974853	0.20036925933630328	1	0
107	renter bad	0.8403030019974853	0.20036925933630328	1	0
108	ruin society	0.8403030019974853	0.20036925933630328	1	0
109	cope stress	0.8403030019974853	0.20036925933630328	1	0
110	bank credit	0.8403030019974853	0.20036925933630328	1	0
111	always remade	0.8403030019974853	0.20036925933630328	1	0
112	evaluated improve	0.8403030019974853	0.20036925933630328	1	0
113	rent face	0.8403030019974853	0.20036925933630328	1	0
114	rent could	0.8403030019974853	0.20036925933630328	1	0
115	economy part	0.8403030019974853	0.20036925933630328	1	0
116	go word	0.8403030019974853	0.20036925933630328	1	0
117	may later	0.8403030019974853	0.20036925933630328	1	0
118	reputation mistakenly	0.8403030019974853	0.20036925933630328	1	0
119	talking extended	0.8403030019974853	0.20036925933630328	1	0
120	punishing encourage	0.8403030019974853	0.20036925933630328	1	0
121	living house	0.8403030019974853	0.20036925933630328	1	0
122	result impact	0.8403030019974853	0.20036925933630328	1	0
123	regardless pay	0.8403030019974853	0.20036925933630328	1	0
124	outside community	0.8403030019974853	0.20036925933630328	1	0
125	cause renter	0.8403030019974853	0.20036925933630328	1	0
126	looking bad	0.8403030019974853	0.20036925933630328	1	0
127	incorrect denial	0.8403030019974853	0.20036925933630328	1	0
128	group could	0.8403030019974853	0.20036925933630328	1	0
129	outrage emotion	0.8403030019974853	0.20036925933630328	1	0
130	side street	0.8403030019974853	0.20036925933630328	1	0
131	company bank	0.8403030019974853	0.20036925933630328	1	0
132	society think	0.8403030019974853	0.20036925933630328	1	0
133	highly affect	0.8403030019974853	0.20036925933630328	1	0
134	could credit	0.8403030019974853	0.20036925933630328	1	0
135	housing even	0.8403030019974853	0.20036925933630328	1	0
136	opposed individual	0.8403030019974853	0.20036925933630328	1	0
137	could think	0.8403030019974853	0.20036925933630328	1	0
138	credit report	0.8403030019974853	0.20036925933630328	1	0
139	deal lot	0.8403030019974853	0.20036925933630328	1	0
140	broader society	0.8403030019974853	0.20036925933630328	1	0
141	emotional support	0.8403030019974853	0.20036925933630328	1	0
142	bank loan	0.8403030019974853	0.20036925933630328	1	0
143	encourage continue	0.8403030019974853	0.20036925933630328	1	0
144	somebody denied	0.8403030019974853	0.20036925933630328	1	0
145	mentioned people	0.8403030019974853	0.20036925933630328	1	0
146	majority rent	0.8403030019974853	0.20036925933630328	1	0
147	denied could	0.8403030019974853	0.20036925933630328	1	0
148	society child	0.8403030019974853	0.20036925933630328	1	0
149	american public	0.8403030019974853	0.20036925933630328	1	0
150	able get	0.8403030019974853	0.20036925933630328	1	0
151	much rent	0.8403030019974853	0.20036925933630328	1	0
152	trying take	0.8403030019974853	0.20036925933630328	1	0
153	homeless another	0.8403030019974853	0.20036925933630328	1	0
154	say moderate	0.8403030019974853	0.20036925933630328	1	0
155	put street	0.8403030019974853	0.20036925933630328	1	0
156	individual likely	0.8403030019974853	0.20036925933630328	1	0
157	municipality may	0.8403030019974853	0.20036925933630328	1	0
158	matter	0.8403030019974853	0.20036925933630328	1	0
159	longer anticipated	0.8403030019974853	0.20036925933630328	1	0
160	offensive shown	0.8403030019974853	0.20036925933630328	1	0
161	may consider	0.8403030019974853	0.20036925933630328	1	0
162	putting stress	0.8403030019974853	0.20036925933630328	1	0
163	able survive	0.8403030019974853	0.20036925933630328	1	0
164	many renter	0.8403030019974853	0.20036925933630328	1	0
165	people viewed	0.8403030019974853	0.20036925933630328	1	0
166	society large	0.8403030019974853	0.20036925933630328	1	0
167	large likely	0.8403030019974853	0.20036925933630328	1	0
168	say impact	0.8403030019974853	0.20036925933630328	1	0
169	impacted simply	0.8403030019974853	0.20036925933630328	1	0
170	people living	0.8403030019974853	0.20036925933630328	1	0
171	within community	0.8403030019974853	0.20036925933630328	1	0
172	conduct business	0.8403030019974853	0.20036925933630328	1	0
173	transaction could	0.8403030019974853	0.20036925933630328	1	0
174	even trickling	0.8403030019974853	0.20036925933630328	1	0
