	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	access	2.58508881558659	0.004867695797741687	9	3	0.05625	0.012048192771084338
1	life	2.1686973400429483	0.015052834734919713	3	0	0.01875	0.0
2	may	1.8846581281206016	0.029738004466238786	4	1	0.025	0.004016064257028112
3	user	1.8846581281206016	0.029738004466238786	4	1	0.025	0.004016064257028112
4	accidentally	1.7685572765095399	0.03848389292097018	2	0	0.0125	0.0
5	cause	1.7685572765095399	0.03848389292097018	2	0	0.0125	0.0
6	confidential	1.7685572765095399	0.03848389292097018	2	0	0.0125	0.0
7	others	1.7685572765095399	0.03848389292097018	2	0	0.0125	0.0
8	security	1.7685572765095399	0.03848389292097018	2	0	0.0125	0.0
9	want	1.7685572765095399	0.03848389292097018	2	0	0.0125	0.0
10	unauthorized	1.7667767492543147	0.03863281202364875	5	2	0.03125	0.008032128514056224
