	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	need	3.4805433229924465	0.0002501989451314654	14	3	0.07407407407407407	0.011278195488721804
1	icu	2.392608415050933	0.008364542435317184	14	7	0.07407407407407407	0.02631578947368421
2	taken	2.0616124323068776	0.019622324726493882	3	0	0.015873015873015872	0.0
3	someone	1.7548935263187952	0.039638760850634336	4	1	0.021164021164021163	0.0037593984962406013
4	available	1.681440529216189	0.04633868939736187	2	0	0.010582010582010581	0.0
5	back	1.681440529216189	0.04633868939736187	2	0	0.010582010582010581	0.0
6	health	1.681440529216189	0.04633868939736187	2	0	0.010582010582010581	0.0
7	however	1.681440529216189	0.04633868939736187	2	0	0.010582010582010581	0.0
8	lose	1.681440529216189	0.04633868939736187	2	0	0.010582010582010581	0.0
9	really	1.681440529216189	0.04633868939736187	2	0	0.010582010582010581	0.0
10	still	1.681440529216189	0.04633868939736187	2	0	0.010582010582010581	0.0
