	word	zstat	pvalue	f1_count	f2_count
0	society	2.277822154952799	0.011368587887009014	14	13
1	patient	2.205277726230289	0.01371730592696344	13	12
2	around	2.074768072442485	0.019004017481505993	2	0
3	data	2.074768072442485	0.019004017481505993	2	0
4	doctor	2.074768072442485	0.019004017481505993	2	0
5	like	2.074768072442485	0.019004017481505993	2	0
6	speak	2.074768072442485	0.019004017481505993	2	0
7	system	2.074768072442485	0.019004017481505993	2	0
8	affect	1.8612305556165685	0.03135581255969816	3	1
9	believe	1.8612305556165685	0.03135581255969816	3	1
10	friend	1.8612305556165685	0.03135581255969816	3	1
11	hospital	1.7226751900329356	0.042473639666139144	7	6
