	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	information	2.756571096584725	0.002920545643267072	7	0	0.04375	0.0
1	may	2.074161816075063	0.019032142571493268	4	0	0.025	0.0
2	user	2.074161816075063	0.019032142571493268	4	0	0.025	0.0
3	dangerous	1.7935281205674067	0.036444259171491564	3	0	0.01875	0.0
4	life	1.7935281205674067	0.036444259171491564	3	0	0.01875	0.0
5	individual	1.7237468214837015	0.04237677924717351	5	1	0.03125	0.0058823529411764705
6	people	1.7237468214837015	0.04237677924717351	5	1	0.03125	0.0058823529411764705
7	accidentally	1.462175542495897	0.07184655596304498	2	0	0.0125	0.0
8	cause	1.462175542495897	0.07184655596304498	2	0	0.0125	0.0
9	confidential	1.462175542495897	0.07184655596304498	2	0	0.0125	0.0
10	harmful	1.462175542495897	0.07184655596304498	2	0	0.0125	0.0
11	make	1.462175542495897	0.07184655596304498	2	0	0.0125	0.0
12	others	1.462175542495897	0.07184655596304498	2	0	0.0125	0.0
13	personal	1.462175542495897	0.07184655596304498	2	0	0.0125	0.0
14	sensitive	1.462175542495897	0.07184655596304498	2	0	0.0125	0.0
15	want	1.462175542495897	0.07184655596304498	2	0	0.0125	0.0
16	medical	1.067583287685694	0.14285426278635527	3	1	0.01875	0.0058823529411764705
17	someone	1.067583287685694	0.14285426278635527	3	1	0.01875	0.0058823529411764705
18	abuse	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
19	allowing	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
20	always	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
21	appropriate	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
22	around	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
23	base	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
24	besides	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
25	best	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
26	bring	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
27	change	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
28	damage	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
29	due	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
30	e	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
31	grant	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
32	hacking	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
33	harder	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
34	high	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
35	hippa	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
36	human	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
37	importance	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
38	injury	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
39	intention	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
40	issue	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
41	job	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
42	killed	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
43	layered	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
44	let	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
45	meant	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
46	measurement	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
47	med	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
48	medication	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
49	mistake	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
50	necessarily	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
51	non	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
52	oh	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
53	peopjj	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
54	permanently	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
55	personnel	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
56	perspective	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
57	put	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
58	reach	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
59	regulation	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
60	resource	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
61	scared	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
62	seemed	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
63	sell	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
64	shared	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
65	society	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
66	supposed	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
67	thing	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
68	weight	1.0323417473311225	0.15095602529314966	1	0	0.00625	0.0
69	unauthorized	0.8029736846354467	0.21099497239302906	5	3	0.03125	0.01764705882352941
70	access	0.6371351412213059	0.26201841015491445	9	7	0.05625	0.041176470588235294
71	drug	0.6330099249061437	0.263363580883887	2	1	0.0125	0.0058823529411764705
72	know	0.6330099249061437	0.263363580883887	2	1	0.0125	0.0058823529411764705
73	might	0.6330099249061437	0.263363580883887	2	1	0.0125	0.0058823529411764705
74	security	0.6330099249061437	0.263363580883887	2	1	0.0125	0.0058823529411764705
75	risk	0.5191578631570825	0.3018253301648517	3	2	0.01875	0.011764705882352941
76	could	0.10698418566424639	0.45740076287760545	6	6	0.0375	0.03529411764705882
77	use	0.06100475929632545	0.47567770937353576	2	2	0.0125	0.011764705882352941
78	anyone	0.043005163014585256	0.48284870908628214	1	1	0.00625	0.0058823529411764705
79	anything	0.043005163014585256	0.48284870908628214	1	1	0.00625	0.0058823529411764705
80	data	0.043005163014585256	0.48284870908628214	1	1	0.00625	0.0058823529411764705
81	device	0.043005163014585256	0.48284870908628214	1	1	0.00625	0.0058823529411764705
82	doctor	0.043005163014585256	0.48284870908628214	1	1	0.00625	0.0058823529411764705
83	equipment	0.043005163014585256	0.48284870908628214	1	1	0.00625	0.0058823529411764705
84	get	0.043005163014585256	0.48284870908628214	1	1	0.00625	0.0058823529411764705
85	harm	0.043005163014585256	0.48284870908628214	1	1	0.00625	0.0058823529411764705
86	like	0.043005163014585256	0.48284870908628214	1	1	0.00625	0.0058823529411764705
87	potentially	0.043005163014585256	0.48284870908628214	1	1	0.00625	0.0058823529411764705
88	record	-0.38253737285258704	0.6489685933166026	2	3	0.0125	0.01764705882352941
89	authorized	-0.5275082707551196	0.7010796627735323	1	2	0.00625	0.011764705882352941
90	help	-0.5275082707551196	0.7010796627735323	1	2	0.00625	0.011764705882352941
91	important	-0.5275082707551196	0.7010796627735323	1	2	0.00625	0.011764705882352941
92	patient	-0.5275082707551196	0.7010796627735323	1	2	0.00625	0.011764705882352941
93	person	-0.5275082707551196	0.7010796627735323	1	2	0.00625	0.011764705882352941
94	system	-0.5275082707551196	0.7010796627735323	1	2	0.00625	0.011764705882352941
95	still	-0.9455737690930434	0.8278169857432192	1	3	0.00625	0.01764705882352941
96	able	-0.9716157621939975	0.8343791309769155	0	1	0.0	0.0058823529411764705
97	add	-0.9716157621939975	0.8343791309769155	0	1	0.0	0.0058823529411764705
98	advance	-0.9716157621939975	0.8343791309769155	0	1	0.0	0.0058823529411764705
99	already	-0.9716157621939975	0.8343791309769155	0	1	0.0	0.0058823529411764705
