	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	access	3.008808155204641	0.0013113733629285186	9	1	0.05625	0.004807692307692308
1	unauthorized	2.5670083132784693	0.005129007654001958	5	0	0.03125	0.0
2	information	2.5394578464400928	0.00555122118253211	7	1	0.04375	0.004807692307692308
3	dangerous	1.9829409457975662	0.023687013148889456	3	0	0.01875	0.0
4	user	1.6586822947337803	0.048589914483314504	4	1	0.025	0.004807692307692308
5	accidentally	1.6168511527884144	0.05295520729705687	2	0	0.0125	0.0
6	cause	1.6168511527884144	0.05295520729705687	2	0	0.0125	0.0
7	confidential	1.6168511527884144	0.05295520729705687	2	0	0.0125	0.0
8	drug	1.6168511527884144	0.05295520729705687	2	0	0.0125	0.0
9	harmful	1.6168511527884144	0.05295520729705687	2	0	0.0125	0.0
10	know	1.6168511527884144	0.05295520729705687	2	0	0.0125	0.0
11	others	1.6168511527884144	0.05295520729705687	2	0	0.0125	0.0
12	personal	1.6168511527884144	0.05295520729705687	2	0	0.0125	0.0
13	record	1.6168511527884144	0.05295520729705687	2	0	0.0125	0.0
14	security	1.6168511527884144	0.05295520729705687	2	0	0.0125	0.0
15	sensitive	1.6168511527884144	0.05295520729705687	2	0	0.0125	0.0
16	want	1.6168511527884144	0.05295520729705687	2	0	0.0125	0.0
17	abuse	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
18	allowing	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
19	always	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
20	anything	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
21	appropriate	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
22	around	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
23	base	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
24	besides	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
25	best	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
26	bring	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
27	change	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
28	damage	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
29	data	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
30	due	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
31	e	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
32	equipment	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
33	grant	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
34	hacking	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
35	harder	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
36	high	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
37	hippa	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
38	human	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
39	importance	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
40	injury	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
41	intention	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
42	job	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
43	killed	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
44	layered	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
45	let	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
46	like	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
47	meant	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
48	measurement	1.1417277408964124	0.12678360305690733	1	0	0.00625	0.0
