	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	individual	1.9136010636417238	0.027835574527536773	7	2	0.037037037037037035	0.0091324200913242
1	admitted	1.8713471177933207	0.030648491821707854	3	0	0.015873015873015872	0.0
2	even	1.8713471177933207	0.030648491821707854	3	0	0.015873015873015872	0.0
3	higher	1.8713471177933207	0.030648491821707854	3	0	0.015873015873015872	0.0
4	care	1.831541096842542	0.03350990973662941	5	1	0.026455026455026454	0.0045662100456621
5	support	1.831541096842542	0.03350990973662941	5	1	0.026455026455026454	0.0045662100456621
6	need	1.6742609336784573	0.04703966435003015	14	8	0.07407407407407407	0.0365296803652968
7	back	1.526065653285422	0.06349675740848582	2	0	0.010582010582010581	0.0
8	health	1.526065653285422	0.06349675740848582	2	0	0.010582010582010581	0.0
9	however	1.526065653285422	0.06349675740848582	2	0	0.010582010582010581	0.0
10	lose	1.526065653285422	0.06349675740848582	2	0	0.010582010582010581	0.0
11	really	1.526065653285422	0.06349675740848582	2	0	0.010582010582010581	0.0
12	still	1.526065653285422	0.06349675740848582	2	0	0.010582010582010581	0.0
13	icu	1.2162229961888775	0.11194999293252111	14	10	0.07407407407407407	0.045662100456621
14	financial	1.1558521812016076	0.12387081246221754	3	1	0.015873015873015872	0.0045662100456621
15	admission	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
16	almost	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
17	anything	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
18	appreciated	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
19	assume	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
20	believe	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
21	chaces	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
22	compated	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
23	covered	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
24	decision	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
25	deems	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
26	drastic	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
27	dying	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
28	enough	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
29	except	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
30	expensive	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
31	extra	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
32	geater	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
33	getting	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
34	give	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
35	hardship	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
36	healthcare	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
37	healthy	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
38	huy	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
39	implication	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
40	insurence	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
41	intensive	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
42	level	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
43	machince	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
44	made	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
45	making	1.0777648916053824	0.14056934551000194	1	0	0.005291005291005291	0.0
