	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	society	3.4041763841665253	0.00033181942493613377	13	0	0.0593607305936073	0.0
1	patient	2.3322966562460166	0.00984254515932503	9	1	0.0410958904109589	0.005291005291005291
2	hospital	2.2924587238625196	0.010939593371966115	6	0	0.0273972602739726	0.0
3	family	2.090120887195408	0.01830347091666332	5	0	0.0228310502283105	0.0
4	else	1.6149981975476604	0.05315554260258076	3	0	0.0136986301369863	0.0
5	staff	1.6149981975476604	0.05315554260258076	3	0	0.0136986301369863	0.0
6	actually	1.3170155637942684	0.09391670383702283	2	0	0.0091324200913242	0.0
7	everyone	1.3170155637942684	0.09391670383702283	2	0	0.0091324200913242	0.0
8	one	1.3170155637942684	0.09391670383702283	2	0	0.0091324200913242	0.0
9	stay	1.3170155637942684	0.09391670383702283	2	0	0.0091324200913242	0.0
10	truly	1.3170155637942684	0.09391670383702283	2	0	0.0091324200913242	0.0
11	treatment	1.1877194882792954	0.11747197160556133	4	1	0.0182648401826484	0.005291005291005291
12	accurate	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
13	affected	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
14	algorithm	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
15	already	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
16	also	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
17	average	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
18	bankrupt	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
19	becoming	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
20	beyond	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
21	biased	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
22	burden	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
23	case	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
24	charge	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
25	community	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
26	compared	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
27	consequence	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
28	consider	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
29	considering	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
30	coworkers	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
31	crucial	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
32	deal	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
33	denying	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
34	deplete	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
35	different	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
36	doctorspeople	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
37	either	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
38	emotional	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
39	employee	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
40	ethnic	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
41	friend	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
42	general	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
43	goups	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
44	greater	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
45	harm	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
46	helpful	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
47	high	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
48	ill	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
49	includes	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
50	info	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
51	involved	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
52	line	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
53	live	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
54	losing	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
55	make	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
56	matter	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
57	mean	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
58	member	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
59	minority	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
60	news	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
61	others	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
62	part	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
63	person	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
64	prediction	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
65	public	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
66	race	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
67	regular	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
68	required	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
69	save	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
70	saved	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
71	see	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
72	serious	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
73	significantly	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
74	somebody	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
75	space	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
76	spare	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
77	spot	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
78	systemwide	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
79	tax	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
80	temporary	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
81	thete	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
82	thinking	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
83	thus	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
84	time	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
85	toward	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
86	truth	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
87	unneccessarily	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
88	use	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
89	used	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
90	wasting	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
91	welcome	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
92	without	0.9301258653580697	0.1761529600596199	1	0	0.0045662100456621	0.0
93	needed	0.8594798270473493	0.19503792247555524	3	1	0.0136986301369863	0.005291005291005291
94	people	0.8594798270473493	0.19503792247555524	3	1	0.0136986301369863	0.005291005291005291
95	bed	0.6715727244692217	0.25092787362086144	7	4	0.0319634703196347	0.021164021164021163
96	bill	0.452883092434	0.3253164631528175	2	1	0.0091324200913242	0.005291005291005291
97	moderate	0.452883092434	0.3253164631528175	2	1	0.0091324200913242	0.005291005291005291
98	resource	0.452883092434	0.3253164631528175	2	1	0.0091324200913242	0.005291005291005291
99	take	0.452883092434	0.3253164631528175	2	1	0.0091324200913242	0.005291005291005291
100	could	0.43474290070810917	0.3318745274470334	10	7	0.045662100456621	0.037037037037037035
101	may	0.2853180893631827	0.3877002276394462	3	2	0.0136986301369863	0.010582010582010581
102	away	-0.10452504474557685	0.5416236528490753	1	1	0.0045662100456621	0.005291005291005291
103	cause	-0.10452504474557685	0.5416236528490753	1	1	0.0045662100456621	0.005291005291005291
104	die	-0.10452504474557685	0.5416236528490753	1	1	0.0045662100456621	0.005291005291005291
105	end	-0.10452504474557685	0.5416236528490753	1	1	0.0045662100456621	0.005291005291005291
106	life	-0.10452504474557685	0.5416236528490753	1	1	0.0045662100456621	0.005291005291005291
107	machine	-0.10452504474557685	0.5416236528490753	1	1	0.0045662100456621	0.005291005291005291
108	medical	-0.10452504474557685	0.5416236528490753	1	1	0.0045662100456621	0.005291005291005291
109	pay	-0.10452504474557685	0.5416236528490753	1	1	0.0045662100456621	0.005291005291005291
110	potentially	-0.10452504474557685	0.5416236528490753	1	1	0.0045662100456621	0.005291005291005291
111	predicting	-0.10452504474557685	0.5416236528490753	1	1	0.0045662100456621	0.005291005291005291
112	risk	-0.10452504474557685	0.5416236528490753	1	1	0.0045662100456621	0.005291005291005291
113	room	-0.10452504474557685	0.5416236528490753	1	1	0.0045662100456621	0.005291005291005291
114	think	-0.10452504474557685	0.5416236528490753	1	1	0.0045662100456621	0.005291005291005291
115	unnecessary	-0.10452504474557685	0.5416236528490753	1	1	0.0045662100456621	0.005291005291005291
116	impact	-0.1481861770771292	0.5589020797644283	2	2	0.0091324200913242	0.010582010582010581
117	someone	-0.5790477723019812	0.7187215303891468	3	4	0.0136986301369863	0.021164021164021163
118	mistake	-0.61708330955293	0.7314101115343901	2	3	0.0091324200913242	0.015873015873015872
119	taken	-0.61708330955293	0.7314101115343901	2	3	0.0091324200913242	0.015873015873015872
120	always	-0.7092320126796604	0.7609097446337257	1	2	0.0045662100456621	0.010582010582010581
121	another	-0.7092320126796604	0.7609097446337257	1	2	0.0045662100456621	0.010582010582010581
122	available	-0.7092320126796604	0.7609097446337257	1	2	0.0045662100456621	0.010582010582010581
123	get	-0.7092320126796604	0.7609097446337257	1	2	0.0045662100456621	0.010582010582010581
124	mistakenly	-0.7092320126796604	0.7609097446337257	1	2	0.0045662100456621	0.010582010582010581
125	admission	-1.0777648916053824	0.8594306544899981	0	1	0.0	0.005291005291005291
126	almost	-1.0777648916053824	0.8594306544899981	0	1	0.0	0.005291005291005291
127	anything	-1.0777648916053824	0.8594306544899981	0	1	0.0	0.005291005291005291
128	appreciated	-1.0777648916053824	0.8594306544899981	0	1	0.0	0.005291005291005291
129	assume	-1.0777648916053824	0.8594306544899981	0	1	0.0	0.005291005291005291
130	believe	-1.0777648916053824	0.8594306544899981	0	1	0.0	0.005291005291005291
131	chaces	-1.0777648916053824	0.8594306544899981	0	1	0.0	0.005291005291005291
132	compated	-1.0777648916053824	0.8594306544899981	0	1	0.0	0.005291005291005291
133	covered	-1.0777648916053824	0.8594306544899981	0	1	0.0	0.005291005291005291
134	decision	-1.0777648916053824	0.8594306544899981	0	1	0.0	0.005291005291005291
135	deems	-1.0777648916053824	0.8594306544899981	0	1	0.0	0.005291005291005291
136	drastic	-1.0777648916053824	0.8594306544899981	0	1	0.0	0.005291005291005291
137	dying	-1.0777648916053824	0.8594306544899981	0	1	0.0	0.005291005291005291
