	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	else	2.914825170590158	0.001779439233558507	3	0	0.0136986301369863	0.0
1	society	2.6418224696029546	0.0041230633284294995	13	14	0.0593607305936073	0.022653721682847898
2	everyone	2.378519242213425	0.008691164838079583	2	0	0.0091324200913242	0.0
3	stay	2.378519242213425	0.008691164838079583	2	0	0.0091324200913242	0.0
4	affected	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
5	algorithm	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
6	already	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
7	average	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
8	bankrupt	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
9	becoming	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
10	beyond	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
11	biased	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
12	burden	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
13	charge	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
14	compared	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
15	consequence	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
16	crucial	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
17	deal	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
18	denying	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
19	deplete	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
20	doctorspeople	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
21	either	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
22	goups	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
23	helpful	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
24	includes	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
25	info	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
26	involved	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
27	line	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
28	losing	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
29	matter	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
30	news	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
31	others	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
32	part	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
33	race	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
34	save	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
35	saved	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
36	see	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
37	serious	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
38	significantly	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
39	somebody	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
40	space	1.6808608829970955	0.04639496975542476	1	0	0.0045662100456621	0.0
