	word	zstat	pvalue	f1_count	f2_count
0	information	2.7741461860890926	0.0027673400729688077	7	0
1	user	2.0873262252060365	0.018429327868388887	4	0
2	may	2.0873262252060365	0.018429327868388887	4	0
3	dangerous	1.8048943520883944	0.03554560788926652	3	0
4	life	1.8048943520883944	0.03554560788926652	3	0
5	people	1.7397484214247632	0.04095160142402495	5	1
6	individual	1.7397484214247632	0.04095160142402495	5	1
7	accidentally	1.4714280705838898	0.07058769334977563	2	0
8	personal	1.4714280705838898	0.07058769334977563	2	0
9	sensitive	1.4714280705838898	0.07058769334977563	2	0
10	harmful	1.4714280705838898	0.07058769334977563	2	0
11	others	1.4714280705838898	0.07058769334977563	2	0
12	make	1.4714280705838898	0.07058769334977563	2	0
13	confidential	1.4714280705838898	0.07058769334977563	2	0
14	want	1.4714280705838898	0.07058769334977563	2	0
15	medical	1.0804982812831248	0.13996017586888493	3	1
16	someone	1.0804982812831248	0.13996017586888493	3	1
17	perspective	1.0388646360934497	0.14943384768057943	1	0
18	measurement	1.0388646360934497	0.14943384768057943	1	0
19	e	1.0388646360934497	0.14943384768057943	1	0
20	killed	1.0388646360934497	0.14943384768057943	1	0
21	necessarily	1.0388646360934497	0.14943384768057943	1	0
22	best	1.0388646360934497	0.14943384768057943	1	0
23	non	1.0388646360934497	0.14943384768057943	1	0
24	reach	1.0388646360934497	0.14943384768057943	1	0
25	damage	1.0388646360934497	0.14943384768057943	1	0
26	always	1.0388646360934497	0.14943384768057943	1	0
27	oh	1.0388646360934497	0.14943384768057943	1	0
28	injury	1.0388646360934497	0.14943384768057943	1	0
29	supposed	1.0388646360934497	0.14943384768057943	1	0
30	thing	1.0388646360934497	0.14943384768057943	1	0
31	importance	1.0388646360934497	0.14943384768057943	1	0
32	issue	1.0388646360934497	0.14943384768057943	1	0
33	change	1.0388646360934497	0.14943384768057943	1	0
34	meant	1.0388646360934497	0.14943384768057943	1	0
35	allowing	1.0388646360934497	0.14943384768057943	1	0
36	scared	1.0388646360934497	0.14943384768057943	1	0
37	resource	1.0388646360934497	0.14943384768057943	1	0
38	personnel	1.0388646360934497	0.14943384768057943	1	0
39	sell	1.0388646360934497	0.14943384768057943	1	0
40	hacking	1.0388646360934497	0.14943384768057943	1	0
41	around	1.0388646360934497	0.14943384768057943	1	0
42	mistake	1.0388646360934497	0.14943384768057943	1	0
43	high	1.0388646360934497	0.14943384768057943	1	0
44	weight	1.0388646360934497	0.14943384768057943	1	0
45	base	1.0388646360934497	0.14943384768057943	1	0
46	harder	1.0388646360934497	0.14943384768057943	1	0
47	put	1.0388646360934497	0.14943384768057943	1	0
48	grant	1.0388646360934497	0.14943384768057943	1	0
49	besides	1.0388646360934497	0.14943384768057943	1	0
50	layered	1.0388646360934497	0.14943384768057943	1	0
51	abuse	1.0388646360934497	0.14943384768057943	1	0
52	peopjj	1.0388646360934497	0.14943384768057943	1	0
53	job	1.0388646360934497	0.14943384768057943	1	0
54	human	1.0388646360934497	0.14943384768057943	1	0
55	intention	1.0388646360934497	0.14943384768057943	1	0
56	shared	1.0388646360934497	0.14943384768057943	1	0
57	due	1.0388646360934497	0.14943384768057943	1	0
58	society	1.0388646360934497	0.14943384768057943	1	0
59	bring	1.0388646360934497	0.14943384768057943	1	0
60	appropriate	1.0388646360934497	0.14943384768057943	1	0
61	med	1.0388646360934497	0.14943384768057943	1	0
62	permanently	1.0388646360934497	0.14943384768057943	1	0
63	seemed	1.0388646360934497	0.14943384768057943	1	0
64	let	1.0388646360934497	0.14943384768057943	1	0
65	medication	1.0388646360934497	0.14943384768057943	1	0
66	regulation	1.0388646360934497	0.14943384768057943	1	0
67	hippa	1.0388646360934497	0.14943384768057943	1	0
68	unauthorized	0.8212053687307256	0.20576464949401152	5	3
69	access	0.6631510871706979	0.25361689716767155	9	7
70	drug	0.6440995530982113	0.2597554400722355	2	1
71	know	0.6440995530982113	0.2597554400722355	2	1
72	security	0.6440995530982113	0.2597554400722355	2	1
73	might	0.6440995530982113	0.2597554400722355	2	1
74	risk	0.533456958224789	0.29685864913928894	3	2
75	could	0.12920587151315938	0.4485973751803223	6	6
76	use	0.07367033736021304	0.47063635099450907	2	2
77	harm	0.05193275543237258	0.4792911372105001	1	1
78	anyone	0.05193275543237258	0.4792911372105001	1	1
79	doctor	0.05193275543237258	0.4792911372105001	1	1
80	equipment	0.05193275543237258	0.4792911372105001	1	1
81	device	0.05193275543237258	0.4792911372105001	1	1
82	data	0.05193275543237258	0.4792911372105001	1	1
83	anything	0.05193275543237258	0.4792911372105001	1	1
84	like	0.05193275543237258	0.4792911372105001	1	1
85	get	0.05193275543237258	0.4792911372105001	1	1
86	potentially	0.05193275543237258	0.4792911372105001	1	1
87	record	-0.36847027011402944	0.6437386954131662	2	3
88	person	-0.5166952458919718	0.6973155423550479	1	2
89	authorized	-0.5166952458919718	0.6973155423550479	1	2
90	patient	-0.5166952458919718	0.6973155423550479	1	2
91	important	-0.5166952458919718	0.6973155423550479	1	2
92	help	-0.5166952458919718	0.6973155423550479	1	2
93	system	-0.5166952458919718	0.6973155423550479	1	2
94	still	-0.9331576065626986	0.8246307002458211	1	3
95	correctly	-0.9655330147221474	0.8328610459662544	0	1
96	away	-0.9655330147221474	0.8328610459662544	0	1
97	consequence	-0.9655330147221474	0.8328610459662544	0	1
98	often	-0.9655330147221474	0.8328610459662544	0	1
99	worker	-0.9655330147221474	0.8328610459662544	0	1
100	come	-0.9655330147221474	0.8328610459662544	0	1
101	quo	-0.9655330147221474	0.8328610459662544	0	1
102	credential	-0.9655330147221474	0.8328610459662544	0	1
103	complication	-0.9655330147221474	0.8328610459662544	0	1
104	bus	-0.9655330147221474	0.8328610459662544	0	1
105	annoying	-0.9655330147221474	0.8328610459662544	0	1
106	identified	-0.9655330147221474	0.8328610459662544	0	1
107	moment	-0.9655330147221474	0.8328610459662544	0	1
108	howeve	-0.9655330147221474	0.8328610459662544	0	1
109	look	-0.9655330147221474	0.8328610459662544	0	1
110	capacity	-0.9655330147221474	0.8328610459662544	0	1
111	deal	-0.9655330147221474	0.8328610459662544	0	1
112	save	-0.9655330147221474	0.8328610459662544	0	1
113	order	-0.9655330147221474	0.8328610459662544	0	1
114	able	-0.9655330147221474	0.8328610459662544	0	1
115	mild	-0.9655330147221474	0.8328610459662544	0	1
116	etc	-0.9655330147221474	0.8328610459662544	0	1
117	way	-0.9655330147221474	0.8328610459662544	0	1
118	add	-0.9655330147221474	0.8328610459662544	0	1
119	feel	-0.9655330147221474	0.8328610459662544	0	1
120	original	-0.9655330147221474	0.8328610459662544	0	1
121	rejected	-0.9655330147221474	0.8328610459662544	0	1
122	whatever	-0.9655330147221474	0.8328610459662544	0	1
123	prevent	-0.9655330147221474	0.8328610459662544	0	1
124	big	-0.9655330147221474	0.8328610459662544	0	1
125	health	-0.9655330147221474	0.8328610459662544	0	1
126	status	-0.9655330147221474	0.8328610459662544	0	1
127	problem	-0.9655330147221474	0.8328610459662544	0	1
128	schedule	-0.9655330147221474	0.8328610459662544	0	1
129	restricted	-0.9655330147221474	0.8328610459662544	0	1
130	already	-0.9655330147221474	0.8328610459662544	0	1
131	enter	-0.9655330147221474	0.8328610459662544	0	1
132	log	-0.9655330147221474	0.8328610459662544	0	1
133	private	-0.9655330147221474	0.8328610459662544	0	1
134	delayed	-0.9655330147221474	0.8328610459662544	0	1
135	right	-0.9655330147221474	0.8328610459662544	0	1
136	consuming	-0.9655330147221474	0.8328610459662544	0	1
137	sparse	-0.9655330147221474	0.8328610459662544	0	1
138	hack	-0.9655330147221474	0.8328610459662544	0	1
139	protected	-0.9655330147221474	0.8328610459662544	0	1
140	embarrassing	-0.9655330147221474	0.8328610459662544	0	1
141	go	-0.9655330147221474	0.8328610459662544	0	1
142	steal	-0.9655330147221474	0.8328610459662544	0	1
143	without	-0.9655330147221474	0.8328610459662544	0	1
144	getting	-0.9655330147221474	0.8328610459662544	0	1
145	usernamepassword	-0.9655330147221474	0.8328610459662544	0	1
146	difficult	-0.9655330147221474	0.8328610459662544	0	1
147	since	-0.9655330147221474	0.8328610459662544	0	1
148	slow	-0.9655330147221474	0.8328610459662544	0	1
149	really	-0.9655330147221474	0.8328610459662544	0	1
150	requires	-0.9655330147221474	0.8328610459662544	0	1
151	recognize	-0.9655330147221474	0.8328610459662544	0	1
152	learn	-0.9655330147221474	0.8328610459662544	0	1
153	fails	-0.9655330147221474	0.8328610459662544	0	1
154	serious	-0.9655330147221474	0.8328610459662544	0	1
155	valuable	-0.9655330147221474	0.8328610459662544	0	1
156	supply	-0.9655330147221474	0.8328610459662544	0	1
157	keep	-0.9655330147221474	0.8328610459662544	0	1
158	watch	-0.9655330147221474	0.8328610459662544	0	1
159	stuff	-0.9655330147221474	0.8328610459662544	0	1
160	emergency	-0.9655330147221474	0.8328610459662544	0	1
161	advance	-0.9655330147221474	0.8328610459662544	0	1
162	lose	-0.9655330147221474	0.8328610459662544	0	1
163	least	-0.9655330147221474	0.8328610459662544	0	1
164	much	-0.9655330147221474	0.8328610459662544	0	1
165	typing	-1.3675625597191445	0.9142754787191787	0	2
166	member	-1.3675625597191445	0.9142754787191787	0	2
167	quickly	-1.3675625597191445	0.9142754787191787	0	2
168	take	-1.3675625597191445	0.9142754787191787	0	2
169	type	-1.3675625597191445	0.9142754787191787	0	2
170	process	-1.3675625597191445	0.9142754787191787	0	2
171	inconvenience	-1.3675625597191445	0.9142754787191787	0	2
172	need	-1.3675625597191445	0.9142754787191787	0	2
173	hospital	-1.5587341348025334	0.9404703404574598	1	5
174	long	-1.6774900448821548	0.953276652731792	0	3
175	staff	-1.8136854897288353	0.9651369198607894	1	6
176	username	-1.9399855504856103	0.9738092770200576	0	4
177	password	-2.172324726791666	0.9850844108885206	0	5
178	time	-2.172324726791666	0.9850844108885206	0	5
