	word	zstat	pvalue	f1_count	f2_count
0	access	3.031559875873852	0.001216468311320466	9	1
1	unauthorized	2.5833013322091256	0.004892990478019756	5	0
2	information	2.559578876417731	0.005239953542730767	7	1
3	dangerous	1.9954965512458556	0.02299437496005633	3	0
4	user	1.6741779787586064	0.04704781300923879	4	1
5	accidentally	1.627076500511632	0.05186042563027534	2	0
6	personal	1.627076500511632	0.05186042563027534	2	0
7	record	1.627076500511632	0.05186042563027534	2	0
8	sensitive	1.627076500511632	0.05186042563027534	2	0
9	drug	1.627076500511632	0.05186042563027534	2	0
10	harmful	1.627076500511632	0.05186042563027534	2	0
11	know	1.627076500511632	0.05186042563027534	2	0
12	others	1.627076500511632	0.05186042563027534	2	0
13	security	1.627076500511632	0.05186042563027534	2	0
14	confidential	1.627076500511632	0.05186042563027534	2	0
15	want	1.627076500511632	0.05186042563027534	2	0
16	perspective	1.148939695605184	0.12529042390677014	1	0
17	measurement	1.148939695605184	0.12529042390677014	1	0
18	person	1.148939695605184	0.12529042390677014	1	0
19	e	1.148939695605184	0.12529042390677014	1	0
20	equipment	1.148939695605184	0.12529042390677014	1	0
21	killed	1.148939695605184	0.12529042390677014	1	0
22	necessarily	1.148939695605184	0.12529042390677014	1	0
23	best	1.148939695605184	0.12529042390677014	1	0
24	reach	1.148939695605184	0.12529042390677014	1	0
25	damage	1.148939695605184	0.12529042390677014	1	0
26	always	1.148939695605184	0.12529042390677014	1	0
27	oh	1.148939695605184	0.12529042390677014	1	0
28	injury	1.148939695605184	0.12529042390677014	1	0
29	supposed	1.148939695605184	0.12529042390677014	1	0
30	importance	1.148939695605184	0.12529042390677014	1	0
31	data	1.148939695605184	0.12529042390677014	1	0
32	change	1.148939695605184	0.12529042390677014	1	0
33	meant	1.148939695605184	0.12529042390677014	1	0
34	allowing	1.148939695605184	0.12529042390677014	1	0
35	scared	1.148939695605184	0.12529042390677014	1	0
36	resource	1.148939695605184	0.12529042390677014	1	0
37	personnel	1.148939695605184	0.12529042390677014	1	0
38	anything	1.148939695605184	0.12529042390677014	1	0
39	sell	1.148939695605184	0.12529042390677014	1	0
40	hacking	1.148939695605184	0.12529042390677014	1	0
41	around	1.148939695605184	0.12529042390677014	1	0
42	like	1.148939695605184	0.12529042390677014	1	0
43	mistake	1.148939695605184	0.12529042390677014	1	0
44	high	1.148939695605184	0.12529042390677014	1	0
45	weight	1.148939695605184	0.12529042390677014	1	0
