	word	zstat	pvalue	f1_count	f2_count
0	access	2.610455932735838	0.004521081043857077	9	3
1	life	2.18241973144398	0.014539284696153227	3	0
2	may	1.9011438435131864	0.028641587106971074	4	1
3	user	1.9011438435131864	0.028641587106971074	4	1
4	unauthorized	1.7856884349276674	0.03707485947552755	5	2
5	accidentally	1.7797369654524353	0.03755950891976621	2	0
6	others	1.7797369654524353	0.03755950891976621	2	0
7	security	1.7797369654524353	0.03755950891976621	2	0
8	confidential	1.7797369654524353	0.03755950891976621	2	0
9	want	1.7797369654524353	0.03755950891976621	2	0
