	word	zstat	pvalue	f1_count	f2_count
0	society	3.572983495856873	0.00017646850663151698	15	0
1	impact	1.817744702700521	0.03455158093833033	4	0
2	patient	1.608932619689209	0.053815537941169236	8	2
3	family	1.5721127381770246	0.057962203916362455	3	0
4	level	1.5721127381770246	0.057962203916362455	3	0
5	may	1.5721127381770246	0.057962203916362455	3	0
6	individual	1.4050044659227534	0.08000997513947611	5	1
7	someone	1.4050044659227534	0.08000997513947611	5	1
8	done	1.2819165913972363	0.09993595355478663	2	0
9	rest	1.2819165913972363	0.09993595355478663	2	0
10	medicine	1.2819165913972363	0.09993595355478663	2	0
11	societal	1.2819165913972363	0.09993595355478663	2	0
12	life	1.2819165913972363	0.09993595355478663	2	0
13	people	1.130036190249194	0.12923048763330575	4	1
14	young	0.9052489255563773	0.18266676381824515	1	0
15	confusion	0.9052489255563773	0.18266676381824515	1	0
16	accompanying	0.9052489255563773	0.18266676381824515	1	0
17	address	0.9052489255563773	0.18266676381824515	1	0
18	varying	0.9052489255563773	0.18266676381824515	1	0
19	saving	0.9052489255563773	0.18266676381824515	1	0
20	treatment	0.9052489255563773	0.18266676381824515	1	0
21	faith	0.9052489255563773	0.18266676381824515	1	0
22	show	0.9052489255563773	0.18266676381824515	1	0
23	extra	0.9052489255563773	0.18266676381824515	1	0
24	recognized	0.9052489255563773	0.18266676381824515	1	0
25	user	0.9052489255563773	0.18266676381824515	1	0
26	non	0.9052489255563773	0.18266676381824515	1	0
27	see	0.9052489255563773	0.18266676381824515	1	0
28	logging	0.9052489255563773	0.18266676381824515	1	0
29	second	0.9052489255563773	0.18266676381824515	1	0
30	going	0.9052489255563773	0.18266676381824515	1	0
31	conference	0.9052489255563773	0.18266676381824515	1	0
32	step	0.9052489255563773	0.18266676381824515	1	0
33	moderate	0.9052489255563773	0.18266676381824515	1	0
34	world	0.9052489255563773	0.18266676381824515	1	0
35	bringing	0.9052489255563773	0.18266676381824515	1	0
36	information	0.9052489255563773	0.18266676381824515	1	0
37	student	0.9052489255563773	0.18266676381824515	1	0
38	kid	0.9052489255563773	0.18266676381824515	1	0
39	public	0.9052489255563773	0.18266676381824515	1	0
40	wait	0.9052489255563773	0.18266676381824515	1	0
41	secure	0.9052489255563773	0.18266676381824515	1	0
42	cost	0.9052489255563773	0.18266676381824515	1	0
43	knowledge	0.9052489255563773	0.18266676381824515	1	0
44	adult	0.9052489255563773	0.18266676381824515	1	0
45	thing	0.9052489255563773	0.18266676381824515	1	0
46	aka	0.9052489255563773	0.18266676381824515	1	0
47	ie	0.9052489255563773	0.18266676381824515	1	0
48	effect	0.9052489255563773	0.18266676381824515	1	0
49	place	0.9052489255563773	0.18266676381824515	1	0
50	unsure	0.9052489255563773	0.18266676381824515	1	0
51	longer	0.9052489255563773	0.18266676381824515	1	0
52	issue	0.9052489255563773	0.18266676381824515	1	0
53	outsider	0.9052489255563773	0.18266676381824515	1	0
