	word	zstat	pvalue	f1_count	f2_count
0	society	3.0488917690310924	0.0011484360701074542	15	1
1	patient	1.9660243260973094	0.024647900344948154	8	1
2	impact	1.7527223679486499	0.03982483715573049	4	0
3	hospital	1.5578147341459379	0.05963858610410625	6	1
4	staff	1.5578147341459379	0.05963858610410625	6	1
5	family	1.515809880273294	0.06478371650316564	3	0
6	level	1.515809880273294	0.06478371650316564	3	0
7	take	1.515809880273294	0.06478371650316564	3	0
8	done	1.2359523417347975	0.10823813963818552	2	0
9	password	1.2359523417347975	0.10823813963818552	2	0
10	rest	1.2359523417347975	0.10823813963818552	2	0
11	medicine	1.2359523417347975	0.10823813963818552	2	0
12	societal	1.2359523417347975	0.10823813963818552	2	0
13	lose	1.2359523417347975	0.10823813963818552	2	0
14	young	0.8727522687770148	0.19139906059023515	1	0
15	confusion	0.8727522687770148	0.19139906059023515	1	0
16	accompanying	0.8727522687770148	0.19139906059023515	1	0
17	address	0.8727522687770148	0.19139906059023515	1	0
18	away	0.8727522687770148	0.19139906059023515	1	0
19	varying	0.8727522687770148	0.19139906059023515	1	0
20	saving	0.8727522687770148	0.19139906059023515	1	0
21	treatment	0.8727522687770148	0.19139906059023515	1	0
22	faith	0.8727522687770148	0.19139906059023515	1	0
23	show	0.8727522687770148	0.19139906059023515	1	0
24	extra	0.8727522687770148	0.19139906059023515	1	0
25	recognized	0.8727522687770148	0.19139906059023515	1	0
26	see	0.8727522687770148	0.19139906059023515	1	0
27	logging	0.8727522687770148	0.19139906059023515	1	0
28	second	0.8727522687770148	0.19139906059023515	1	0
29	going	0.8727522687770148	0.19139906059023515	1	0
30	conference	0.8727522687770148	0.19139906059023515	1	0
31	long	0.8727522687770148	0.19139906059023515	1	0
32	step	0.8727522687770148	0.19139906059023515	1	0
33	moderate	0.8727522687770148	0.19139906059023515	1	0
34	world	0.8727522687770148	0.19139906059023515	1	0
35	bringing	0.8727522687770148	0.19139906059023515	1	0
36	able	0.8727522687770148	0.19139906059023515	1	0
37	student	0.8727522687770148	0.19139906059023515	1	0
38	kid	0.8727522687770148	0.19139906059023515	1	0
39	way	0.8727522687770148	0.19139906059023515	1	0
40	public	0.8727522687770148	0.19139906059023515	1	0
41	wait	0.8727522687770148	0.19139906059023515	1	0
42	member	0.8727522687770148	0.19139906059023515	1	0
43	secure	0.8727522687770148	0.19139906059023515	1	0
44	quickly	0.8727522687770148	0.19139906059023515	1	0
45	cost	0.8727522687770148	0.19139906059023515	1	0
46	knowledge	0.8727522687770148	0.19139906059023515	1	0
47	adult	0.8727522687770148	0.19139906059023515	1	0
48	aka	0.8727522687770148	0.19139906059023515	1	0
49	ie	0.8727522687770148	0.19139906059023515	1	0
50	health	0.8727522687770148	0.19139906059023515	1	0
51	effect	0.8727522687770148	0.19139906059023515	1	0
52	place	0.8727522687770148	0.19139906059023515	1	0
53	unsure	0.8727522687770148	0.19139906059023515	1	0
54	longer	0.8727522687770148	0.19139906059023515	1	0
55	outsider	0.8727522687770148	0.19139906059023515	1	0
56	lasting	0.8727522687770148	0.19139906059023515	1	0
57	username	0.8727522687770148	0.19139906059023515	1	0
58	involves	0.8727522687770148	0.19139906059023515	1	0
59	community	0.8727522687770148	0.19139906059023515	1	0
60	using	0.8727522687770148	0.19139906059023515	1	0
61	delay	0.8727522687770148	0.19139906059023515	1	0
62	benefit	0.8727522687770148	0.19139906059023515	1	0
63	syatem	0.8727522687770148	0.19139906059023515	1	0
64	enter	0.8727522687770148	0.19139906059023515	1	0
65	group	0.8727522687770148	0.19139906059023515	1	0
66	delayed	0.8727522687770148	0.19139906059023515	1	0
67	professional	0.8727522687770148	0.19139906059023515	1	0
68	lower	0.8727522687770148	0.19139906059023515	1	0
69	proof	0.8727522687770148	0.19139906059023515	1	0
70	hack	0.8727522687770148	0.19139906059023515	1	0
71	process	0.8727522687770148	0.19139906059023515	1	0
72	well	0.8727522687770148	0.19139906059023515	1	0
73	quality	0.8727522687770148	0.19139906059023515	1	0
74	care	0.8727522687770148	0.19139906059023515	1	0
75	easily	0.8727522687770148	0.19139906059023515	1	0
76	usernamepassword	0.8727522687770148	0.19139906059023515	1	0
77	worsen	0.8727522687770148	0.19139906059023515	1	0
78	matter	0.8727522687770148	0.19139906059023515	1	0
79	negative	0.8727522687770148	0.19139906059023515	1	0
80	varied	0.8727522687770148	0.19139906059023515	1	0
81	manually	0.8727522687770148	0.19139906059023515	1	0
82	input	0.8727522687770148	0.19139906059023515	1	0
83	depending	0.8727522687770148	0.19139906059023515	1	0
84	backup	0.8727522687770148	0.19139906059023515	1	0
85	learn	0.8727522687770148	0.19139906059023515	1	0
86	outside	0.8727522687770148	0.19139906059023515	1	0
87	consider	0.8727522687770148	0.19139906059023515	1	0
88	lot	0.8727522687770148	0.19139906059023515	1	0
89	bo	0.8727522687770148	0.19139906059023515	1	0
90	overall	0.8727522687770148	0.19139906059023515	1	0
91	general	0.8727522687770148	0.19139906059023515	1	0
92	name	0.8727522687770148	0.19139906059023515	1	0
93	imagine	0.8727522687770148	0.19139906059023515	1	0
94	trust	0.8727522687770148	0.19139906059023515	1	0
95	part	0.8727522687770148	0.19139906059023515	1	0
96	delaying	0.8727522687770148	0.19139906059023515	1	0
97	receive	0.8727522687770148	0.19139906059023515	1	0
98	population	0.8727522687770148	0.19139906059023515	1	0
99	inconvenienced	0.8727522687770148	0.19139906059023515	1	0
100	doctor	0.7376964396745901	0.23034946806544693	3	1
101	authorized	0.7376964396745901	0.23034946806544693	3	1
102	anyone	0.34537440310024425	0.3649064589932506	2	1
103	important	0.34537440310024425	0.3649064589932506	2	1
104	help	0.34537440310024425	0.3649064589932506	2	1
105	get	0.34537440310024425	0.3649064589932506	2	1
106	potentially	0.34537440310024425	0.3649064589932506	2	1
107	someone	0.32734213673755264	0.37170456290791204	5	3
108	harm	-0.1955620793884173	0.5775235283158744	1	1
109	still	-0.1955620793884173	0.5775235283158744	1	1
110	non	-0.1955620793884173	0.5775235283158744	1	1
111	device	-0.1955620793884173	0.5775235283158744	1	1
112	thing	-0.1955620793884173	0.5775235283158744	1	1
113	issue	-0.1955620793884173	0.5775235283158744	1	1
114	system	-0.1955620793884173	0.5775235283158744	1	1
115	medication	-0.1955620793884173	0.5775235283158744	1	1
116	could	-0.2212124915331402	0.5875365083263073	7	6
117	use	-0.2773294885994698	0.6092364406987232	2	2
118	medical	-0.34060005614697464	0.6332976564141735	3	3
119	individual	-0.44217617792792474	0.6708191384805798	5	5
120	may	-0.7536455065192509	0.7744689442736734	3	4
121	people	-0.7596003078103241	0.77625323245396	4	5
122	risk	-0.7650546253080872	0.7778804912207321	2	3
123	life	-0.7650546253080872	0.7778804912207321	2	3
124	make	-0.8250610740728056	0.7953315411025319	1	2
125	might	-0.8250610740728056	0.7953315411025319	1	2
126	perspective	-1.148939695605184	0.8747095760932299	0	1
127	measurement	-1.148939695605184	0.8747095760932299	0	1
128	person	-1.148939695605184	0.8747095760932299	0	1
129	e	-1.148939695605184	0.8747095760932299	0	1
130	equipment	-1.148939695605184	0.8747095760932299	0	1
131	killed	-1.148939695605184	0.8747095760932299	0	1
132	necessarily	-1.148939695605184	0.8747095760932299	0	1
133	best	-1.148939695605184	0.8747095760932299	0	1
134	reach	-1.148939695605184	0.8747095760932299	0	1
135	damage	-1.148939695605184	0.8747095760932299	0	1
136	always	-1.148939695605184	0.8747095760932299	0	1
137	oh	-1.148939695605184	0.8747095760932299	0	1
138	injury	-1.148939695605184	0.8747095760932299	0	1
139	supposed	-1.148939695605184	0.8747095760932299	0	1
140	importance	-1.148939695605184	0.8747095760932299	0	1
141	data	-1.148939695605184	0.8747095760932299	0	1
142	change	-1.148939695605184	0.8747095760932299	0	1
143	meant	-1.148939695605184	0.8747095760932299	0	1
144	allowing	-1.148939695605184	0.8747095760932299	0	1
145	scared	-1.148939695605184	0.8747095760932299	0	1
146	resource	-1.148939695605184	0.8747095760932299	0	1
147	personnel	-1.148939695605184	0.8747095760932299	0	1
148	anything	-1.148939695605184	0.8747095760932299	0	1
149	sell	-1.148939695605184	0.8747095760932299	0	1
150	hacking	-1.148939695605184	0.8747095760932299	0	1
151	around	-1.148939695605184	0.8747095760932299	0	1
152	like	-1.148939695605184	0.8747095760932299	0	1
153	mistake	-1.148939695605184	0.8747095760932299	0	1
154	high	-1.148939695605184	0.8747095760932299	0	1
155	weight	-1.148939695605184	0.8747095760932299	0	1
156	base	-1.148939695605184	0.8747095760932299	0	1
157	harder	-1.148939695605184	0.8747095760932299	0	1
158	put	-1.148939695605184	0.8747095760932299	0	1
159	grant	-1.148939695605184	0.8747095760932299	0	1
160	besides	-1.148939695605184	0.8747095760932299	0	1
161	layered	-1.148939695605184	0.8747095760932299	0	1
162	abuse	-1.148939695605184	0.8747095760932299	0	1
163	peopjj	-1.148939695605184	0.8747095760932299	0	1
164	job	-1.148939695605184	0.8747095760932299	0	1
165	human	-1.148939695605184	0.8747095760932299	0	1
166	intention	-1.148939695605184	0.8747095760932299	0	1
167	shared	-1.148939695605184	0.8747095760932299	0	1
168	due	-1.148939695605184	0.8747095760932299	0	1
169	bring	-1.148939695605184	0.8747095760932299	0	1
170	appropriate	-1.148939695605184	0.8747095760932299	0	1
171	med	-1.148939695605184	0.8747095760932299	0	1
172	permanently	-1.148939695605184	0.8747095760932299	0	1
173	seemed	-1.148939695605184	0.8747095760932299	0	1
174	let	-1.148939695605184	0.8747095760932299	0	1
175	regulation	-1.148939695605184	0.8747095760932299	0	1
176	hippa	-1.148939695605184	0.8747095760932299	0	1
177	accidentally	-1.627076500511632	0.9481395743697246	0	2
178	personal	-1.627076500511632	0.9481395743697246	0	2
179	record	-1.627076500511632	0.9481395743697246	0	2
180	sensitive	-1.627076500511632	0.9481395743697246	0	2
181	drug	-1.627076500511632	0.9481395743697246	0	2
182	harmful	-1.627076500511632	0.9481395743697246	0	2
183	know	-1.627076500511632	0.9481395743697246	0	2
184	others	-1.627076500511632	0.9481395743697246	0	2
185	security	-1.627076500511632	0.9481395743697246	0	2
186	confidential	-1.627076500511632	0.9481395743697246	0	2
187	want	-1.627076500511632	0.9481395743697246	0	2
188	user	-1.6741779787586064	0.9529521869907612	1	4
