	word	zstat	pvalue	f1_count	f2_count
0	information	2.2802975322992256	0.011295024033906158	9	1
1	system	1.672002684298326	0.04726189637765692	6	1
2	personal	1.5882643756561432	0.056113284743941845	3	0
3	person	1.5882643756561432	0.056113284743941845	3	0
4	find	1.5882643756561432	0.056113284743941845	3	0
5	got	1.5882643756561432	0.056113284743941845	3	0
6	wrong	1.5882643756561432	0.056113284743941845	3	0
7	record	1.2953865798592339	0.09759345260563784	2	0
8	dangerous	1.2953865798592339	0.09759345260563784	2	0
9	belong	1.2953865798592339	0.09759345260563784	2	0
10	hand	1.2953865798592339	0.09759345260563784	2	0
11	private	1.2953865798592339	0.09759345260563784	2	0
12	malicious	1.2953865798592339	0.09759345260563784	2	0
13	really	1.2953865798592339	0.09759345260563784	2	0
14	chance	1.2953865798592339	0.09759345260563784	2	0
15	unauthorized	1.2953865798592339	0.09759345260563784	2	0
16	stolen	1.2953865798592339	0.09759345260563784	2	0
17	lost	0.9149717232905032	0.18010323744809847	1	0
18	nonauthorized	0.9149717232905032	0.18010323744809847	1	0
19	strong	0.9149717232905032	0.18010323744809847	1	0
20	incredible	0.9149717232905032	0.18010323744809847	1	0
21	sensitive	0.9149717232905032	0.18010323744809847	1	0
22	seek	0.9149717232905032	0.18010323744809847	1	0
23	even	0.9149717232905032	0.18010323744809847	1	0
24	sold	0.9149717232905032	0.18010323744809847	1	0
25	drug	0.9149717232905032	0.18010323744809847	1	0
26	cover	0.9149717232905032	0.18010323744809847	1	0
27	likely	0.9149717232905032	0.18010323744809847	1	0
28	come	0.9149717232905032	0.18010323744809847	1	0
29	violated	0.9149717232905032	0.18010323744809847	1	0
30	employee	0.9149717232905032	0.18010323744809847	1	0
31	consists	0.9149717232905032	0.18010323744809847	1	0
32	consumer	0.9149717232905032	0.18010323744809847	1	0
33	however	0.9149717232905032	0.18010323744809847	1	0
34	privacy	0.9149717232905032	0.18010323744809847	1	0
35	presence	0.9149717232905032	0.18010323744809847	1	0
36	implication	0.9149717232905032	0.18010323744809847	1	0
37	feasibly	0.9149717232905032	0.18010323744809847	1	0
38	drastic	0.9149717232905032	0.18010323744809847	1	0
39	scary	0.9149717232905032	0.18010323744809847	1	0
40	causing	0.9149717232905032	0.18010323744809847	1	0
41	whether	0.9149717232905032	0.18010323744809847	1	0
42	malware	0.9149717232905032	0.18010323744809847	1	0
43	harmful	0.9149717232905032	0.18010323744809847	1	0
44	know	0.9149717232905032	0.18010323744809847	1	0
45	united	0.9149717232905032	0.18010323744809847	1	0
46	ransom	0.9149717232905032	0.18010323744809847	1	0
47	leaked	0.9149717232905032	0.18010323744809847	1	0
48	super	0.9149717232905032	0.18010323744809847	1	0
49	feel	0.9149717232905032	0.18010323744809847	1	0
50	discomfort	0.9149717232905032	0.18010323744809847	1	0
51	hugeeven	0.9149717232905032	0.18010323744809847	1	0
52	exposure	0.9149717232905032	0.18010323744809847	1	0
53	mistakenly	0.9149717232905032	0.18010323744809847	1	0
54	database	0.9149717232905032	0.18010323744809847	1	0
