	word	zstat	pvalue	f1_count	f2_count
0	without	1.8739212216659853	0.030470641993231865	3	0
1	death	1.8739212216659853	0.030470641993231865	3	0
2	sick	1.5278503407822963	0.06327485007272064	2	0
3	required	1.5278503407822963	0.06327485007272064	2	0
4	receiving	1.5278503407822963	0.06327485007272064	2	0
5	actually	1.5278503407822963	0.06327485007272064	2	0
6	treatment	1.5228427225269852	0.06389902927797843	4	1
7	die	1.5228427225269852	0.06389902927797843	4	1
8	needed	1.5228427225269852	0.06389902927797843	4	1
9	advanced	1.0788044421362881	0.1403374570965144	1	0
10	including	1.0788044421362881	0.1403374570965144	1	0
11	person	1.0788044421362881	0.1403374570965144	1	0
12	access	1.0788044421362881	0.1403374570965144	1	0
13	prediction	1.0788044421362881	0.1403374570965144	1	0
14	kind	1.0788044421362881	0.1403374570965144	1	0
15	likely	1.0788044421362881	0.1403374570965144	1	0
16	miss	1.0788044421362881	0.1403374570965144	1	0
17	mistaken	1.0788044421362881	0.1403374570965144	1	0
18	correct	1.0788044421362881	0.1403374570965144	1	0
19	result	1.0788044421362881	0.1403374570965144	1	0
20	best	1.0788044421362881	0.1403374570965144	1	0
21	different	1.0788044421362881	0.1403374570965144	1	0
22	able	1.0788044421362881	0.1403374570965144	1	0
23	floor	1.0788044421362881	0.1403374570965144	1	0
24	deteriorate	1.0788044421362881	0.1403374570965144	1	0
25	highly	1.0788044421362881	0.1403374570965144	1	0
26	low	1.0788044421362881	0.1403374570965144	1	0
27	cost	1.0788044421362881	0.1403374570965144	1	0
28	permanent	1.0788044421362881	0.1403374570965144	1	0
29	critical	1.0788044421362881	0.1403374570965144	1	0
30	mean	1.0788044421362881	0.1403374570965144	1	0
31	appropriately	1.0788044421362881	0.1403374570965144	1	0
32	deny	1.0788044421362881	0.1403374570965144	1	0
33	missing	1.0788044421362881	0.1403374570965144	1	0
34	great	1.0788044421362881	0.1403374570965144	1	0
35	become	1.0788044421362881	0.1403374570965144	1	0
36	adequate	1.0788044421362881	0.1403374570965144	1	0
37	major	1.0788044421362881	0.1403374570965144	1	0
38	inappropriately	1.0788044421362881	0.1403374570965144	1	0
39	respond	1.0788044421362881	0.1403374570965144	1	0
40	easily	1.0788044421362881	0.1403374570965144	1	0
41	neccessary	1.0788044421362881	0.1403374570965144	1	0
42	live	1.0788044421362881	0.1403374570965144	1	0
43	greatly	1.0788044421362881	0.1403374570965144	1	0
44	chance	1.0788044421362881	0.1403374570965144	1	0
45	requires	1.0788044421362881	0.1403374570965144	1	0
46	assistance	1.0788044421362881	0.1403374570965144	1	0
47	besides	1.0788044421362881	0.1403374570965144	1	0
48	detrimental	1.0788044421362881	0.1403374570965144	1	0
49	disability	1.0788044421362881	0.1403374570965144	1	0
50	question	1.0788044421362881	0.1403374570965144	1	0
51	service	1.0788044421362881	0.1403374570965144	1	0
52	team	1.0788044421362881	0.1403374570965144	1	0
53	case	1.0788044421362881	0.1403374570965144	1	0
54	appropriate	1.0788044421362881	0.1403374570965144	1	0
55	accurate	1.0788044421362881	0.1403374570965144	1	0
56	lead	1.0788044421362881	0.1403374570965144	1	0
57	deteriorating	1.0788044421362881	0.1403374570965144	1	0
58	affect	1.0788044421362881	0.1403374570965144	1	0
59	fact	1.0788044421362881	0.1403374570965144	1	0
60	also	1.0788044421362881	0.1403374570965144	1	0
61	could	1.062893718108006	0.1439150760671724	10	7
62	get	1.0099189301886446	0.15626706617863234	4	2
63	risk	0.711026846518654	0.2385337998544549	2	1
64	patient	0.711026846518654	0.2385337998544549	2	1
65	outcome	0.711026846518654	0.2385337998544549	2	1
66	life	0.711026846518654	0.2385337998544549	2	1
67	impact	0.619461446451655	0.26780620625154916	3	2
68	mistakenly	0.14984176805492622	0.44044472760207753	2	2
69	health	0.14984176805492622	0.44044472760207753	2	2
