	word	zstat	pvalue	f1_count	f2_count
0	society	3.3952959628553545	0.0003427722499466684	13	0
1	patient	2.3243617286071485	0.010053057476412112	9	1
2	hospital	2.286427898812261	0.011114618869121979	6	0
3	family	2.084615907252381	0.018552089691545436	5	0
4	else	1.610734706879026	0.05361877881074215	3	0
5	staff	1.610734706879026	0.05361877881074215	3	0
6	truly	1.3135347238970747	0.09450141405856316	2	0
7	one	1.3135347238970747	0.09450141405856316	2	0
8	everyone	1.3135347238970747	0.09450141405856316	2	0
9	stay	1.3135347238970747	0.09450141405856316	2	0
10	actually	1.3135347238970747	0.09450141405856316	2	0
11	treatment	1.1820215729420416	0.11859857054228001	4	1
12	harm	0.9276647515485955	0.17679074904178915	1	0
13	person	0.9276647515485955	0.17679074904178915	1	0
14	consequence	0.9276647515485955	0.17679074904178915	1	0
15	ill	0.9276647515485955	0.17679074904178915	1	0
16	prediction	0.9276647515485955	0.17679074904178915	1	0
17	somebody	0.9276647515485955	0.17679074904178915	1	0
18	employee	0.9276647515485955	0.17679074904178915	1	0
19	considering	0.9276647515485955	0.17679074904178915	1	0
20	bankrupt	0.9276647515485955	0.17679074904178915	1	0
21	greater	0.9276647515485955	0.17679074904178915	1	0
22	see	0.9276647515485955	0.17679074904178915	1	0
23	race	0.9276647515485955	0.17679074904178915	1	0
24	coworkers	0.9276647515485955	0.17679074904178915	1	0
25	minority	0.9276647515485955	0.17679074904178915	1	0
26	different	0.9276647515485955	0.17679074904178915	1	0
27	deal	0.9276647515485955	0.17679074904178915	1	0
28	save	0.9276647515485955	0.17679074904178915	1	0
29	required	0.9276647515485955	0.17679074904178915	1	0
30	cause	0.9276647515485955	0.17679074904178915	1	0
31	friend	0.9276647515485955	0.17679074904178915	1	0
32	public	0.9276647515485955	0.17679074904178915	1	0
33	compared	0.9276647515485955	0.17679074904178915	1	0
34	member	0.9276647515485955	0.17679074904178915	1	0
35	systemwide	0.9276647515485955	0.17679074904178915	1	0
36	biased	0.9276647515485955	0.17679074904178915	1	0
37	mean	0.9276647515485955	0.17679074904178915	1	0
38	spot	0.9276647515485955	0.17679074904178915	1	0
39	space	0.9276647515485955	0.17679074904178915	1	0
40	helpful	0.9276647515485955	0.17679074904178915	1	0
41	burden	0.9276647515485955	0.17679074904178915	1	0
42	either	0.9276647515485955	0.17679074904178915	1	0
43	unneccessarily	0.9276647515485955	0.17679074904178915	1	0
44	doctorspeople	0.9276647515485955	0.17679074904178915	1	0
45	saved	0.9276647515485955	0.17679074904178915	1	0
46	time	0.9276647515485955	0.17679074904178915	1	0
47	thete	0.9276647515485955	0.17679074904178915	1	0
48	community	0.9276647515485955	0.17679074904178915	1	0
49	regular	0.9276647515485955	0.17679074904178915	1	0
50	losing	0.9276647515485955	0.17679074904178915	1	0
51	others	0.9276647515485955	0.17679074904178915	1	0
52	beyond	0.9276647515485955	0.17679074904178915	1	0
53	already	0.9276647515485955	0.17679074904178915	1	0
54	thus	0.9276647515485955	0.17679074904178915	1	0
55	significantly	0.9276647515485955	0.17679074904178915	1	0
56	denying	0.9276647515485955	0.17679074904178915	1	0
57	deplete	0.9276647515485955	0.17679074904178915	1	0
58	tax	0.9276647515485955	0.17679074904178915	1	0
59	wasting	0.9276647515485955	0.17679074904178915	1	0
60	crucial	0.9276647515485955	0.17679074904178915	1	0
61	ethnic	0.9276647515485955	0.17679074904178915	1	0
62	goups	0.9276647515485955	0.17679074904178915	1	0
63	temporary	0.9276647515485955	0.17679074904178915	1	0
64	without	0.9276647515485955	0.17679074904178915	1	0
65	high	0.9276647515485955	0.17679074904178915	1	0
66	use	0.9276647515485955	0.17679074904178915	1	0
67	live	0.9276647515485955	0.17679074904178915	1	0
68	news	0.9276647515485955	0.17679074904178915	1	0
69	matter	0.9276647515485955	0.17679074904178915	1	0
70	algorithm	0.9276647515485955	0.17679074904178915	1	0
71	make	0.9276647515485955	0.17679074904178915	1	0
72	charge	0.9276647515485955	0.17679074904178915	1	0
73	average	0.9276647515485955	0.17679074904178915	1	0
74	truth	0.9276647515485955	0.17679074904178915	1	0
75	welcome	0.9276647515485955	0.17679074904178915	1	0
76	line	0.9276647515485955	0.17679074904178915	1	0
77	serious	0.9276647515485955	0.17679074904178915	1	0
78	info	0.9276647515485955	0.17679074904178915	1	0
79	case	0.9276647515485955	0.17679074904178915	1	0
80	includes	0.9276647515485955	0.17679074904178915	1	0
81	involved	0.9276647515485955	0.17679074904178915	1	0
82	consider	0.9276647515485955	0.17679074904178915	1	0
83	accurate	0.9276647515485955	0.17679074904178915	1	0
84	affected	0.9276647515485955	0.17679074904178915	1	0
85	general	0.9276647515485955	0.17679074904178915	1	0
86	toward	0.9276647515485955	0.17679074904178915	1	0
87	spare	0.9276647515485955	0.17679074904178915	1	0
88	emotional	0.9276647515485955	0.17679074904178915	1	0
89	part	0.9276647515485955	0.17679074904178915	1	0
90	thinking	0.9276647515485955	0.17679074904178915	1	0
91	used	0.9276647515485955	0.17679074904178915	1	0
92	also	0.9276647515485955	0.17679074904178915	1	0
93	becoming	0.9276647515485955	0.17679074904178915	1	0
94	people	0.8543440494593031	0.19645719353411556	3	1
95	needed	0.8543440494593031	0.19645719353411556	3	1
96	bed	0.662834284026887	0.2537183467954661	7	4
97	moderate	0.4483782783333459	0.32694010781014476	2	1
98	bill	0.4483782783333459	0.32694010781014476	2	1
99	take	0.4483782783333459	0.32694010781014476	2	1
100	resource	0.4483782783333459	0.32694010781014476	2	1
101	could	0.4237102138796273	0.33588858266714644	10	7
102	may	0.2794272386317021	0.38995848491609775	3	2
103	away	-0.10829674585321628	0.5431198480655348	1	1
104	risk	-0.10829674585321628	0.5431198480655348	1	1
105	end	-0.10829674585321628	0.5431198480655348	1	1
106	medical	-0.10829674585321628	0.5431198480655348	1	1
107	pay	-0.10829674585321628	0.5431198480655348	1	1
108	room	-0.10829674585321628	0.5431198480655348	1	1
109	die	-0.10829674585321628	0.5431198480655348	1	1
110	unnecessary	-0.10829674585321628	0.5431198480655348	1	1
111	machine	-0.10829674585321628	0.5431198480655348	1	1
112	potentially	-0.10829674585321628	0.5431198480655348	1	1
113	predicting	-0.10829674585321628	0.5431198480655348	1	1
114	think	-0.10829674585321628	0.5431198480655348	1	1
115	life	-0.10829674585321628	0.5431198480655348	1	1
116	impact	-0.1535342929463096	0.561011525486033	2	2
117	someone	-0.5862350773999297	0.7211412237434753	3	4
118	mistake	-0.6231670956786373	0.7334126389777575	2	3
119	taken	-0.6231670956786373	0.7334126389777575	2	3
120	always	-0.7139781502123344	0.762379654735656	1	2
121	mistakenly	-0.7139781502123344	0.762379654735656	1	2
122	another	-0.7139781502123344	0.762379654735656	1	2
123	available	-0.7139781502123344	0.762379654735656	1	2
124	get	-0.7139781502123344	0.762379654735656	1	2
125	machince	-1.0806307478145873	0.8600693002867412	0	1
126	waste	-1.0806307478145873	0.8600693002867412	0	1
127	needing	-1.0806307478145873	0.8600693002867412	0	1
128	okay	-1.0806307478145873	0.8600693002867412	0	1
129	stuck	-1.0806307478145873	0.8600693002867412	0	1
130	moved	-1.0806307478145873	0.8600693002867412	0	1
131	necessary	-1.0806307478145873	0.8600693002867412	0	1
132	safe	-1.0806307478145873	0.8600693002867412	0	1
133	extra	-1.0806307478145873	0.8600693002867412	0	1
134	mortality	-1.0806307478145873	0.8600693002867412	0	1
135	possibility	-1.0806307478145873	0.8600693002867412	0	1
136	realistically	-1.0806307478145873	0.8600693002867412	0	1
137	implication	-1.0806307478145873	0.8600693002867412	0	1
138	drastic	-1.0806307478145873	0.8600693002867412	0	1
139	appreciated	-1.0806307478145873	0.8600693002867412	0	1
140	next	-1.0806307478145873	0.8600693002867412	0	1
141	nonexistent	-1.0806307478145873	0.8600693002867412	0	1
142	reflect	-1.0806307478145873	0.8600693002867412	0	1
143	huy	-1.0806307478145873	0.8600693002867412	0	1
144	deems	-1.0806307478145873	0.8600693002867412	0	1
145	give	-1.0806307478145873	0.8600693002867412	0	1
146	predicted	-1.0806307478145873	0.8600693002867412	0	1
147	soon	-1.0806307478145873	0.8600693002867412	0	1
148	covered	-1.0806307478145873	0.8600693002867412	0	1
149	expensive	-1.0806307478145873	0.8600693002867412	0	1
150	almost	-1.0806307478145873	0.8600693002867412	0	1
151	believe	-1.0806307478145873	0.8600693002867412	0	1
152	quickly	-1.0806307478145873	0.8600693002867412	0	1
153	enough	-1.0806307478145873	0.8600693002867412	0	1
154	chaces	-1.0806307478145873	0.8600693002867412	0	1
155	intensive	-1.0806307478145873	0.8600693002867412	0	1
156	situation	-1.0806307478145873	0.8600693002867412	0	1
157	significant	-1.0806307478145873	0.8600693002867412	0	1
158	level	-1.0806307478145873	0.8600693002867412	0	1
159	positively	-1.0806307478145873	0.8600693002867412	0	1
160	except	-1.0806307478145873	0.8600693002867412	0	1
161	taking	-1.0806307478145873	0.8600693002867412	0	1
162	assume	-1.0806307478145873	0.8600693002867412	0	1
163	tothe	-1.0806307478145873	0.8600693002867412	0	1
164	decision	-1.0806307478145873	0.8600693002867412	0	1
165	outcome	-1.0806307478145873	0.8600693002867412	0	1
166	compated	-1.0806307478145873	0.8600693002867412	0	1
167	healthcare	-1.0806307478145873	0.8600693002867412	0	1
168	anything	-1.0806307478145873	0.8600693002867412	0	1
169	mend	-1.0806307478145873	0.8600693002867412	0	1
170	much	-1.0806307478145873	0.8600693002867412	0	1
171	triaged	-1.0806307478145873	0.8600693002867412	0	1
172	perhaps	-1.0806307478145873	0.8600693002867412	0	1
173	getting	-1.0806307478145873	0.8600693002867412	0	1
174	morbidity	-1.0806307478145873	0.8600693002867412	0	1
175	geater	-1.0806307478145873	0.8600693002867412	0	1
176	put	-1.0806307478145873	0.8600693002867412	0	1
177	hardship	-1.0806307478145873	0.8600693002867412	0	1
178	making	-1.0806307478145873	0.8600693002867412	0	1
179	wrong	-1.0806307478145873	0.8600693002867412	0	1
180	real	-1.0806307478145873	0.8600693002867412	0	1
181	regardless	-1.0806307478145873	0.8600693002867412	0	1
182	dying	-1.0806307478145873	0.8600693002867412	0	1
183	healthy	-1.0806307478145873	0.8600693002867412	0	1
184	insurence	-1.0806307478145873	0.8600693002867412	0	1
185	made	-1.0806307478145873	0.8600693002867412	0	1
186	receive	-1.0806307478145873	0.8600693002867412	0	1
187	admission	-1.0806307478145873	0.8600693002867412	0	1
188	financial	-1.1614126353519223	0.8772629335054641	1	3
189	icu	-1.2299172813543369	0.8906359589261899	10	14
190	still	-1.5301282156035072	0.9370075023003869	0	2
191	however	-1.5301282156035072	0.9370075023003869	0	2
192	back	-1.5301282156035072	0.9370075023003869	0	2
193	health	-1.5301282156035072	0.9370075023003869	0	2
194	really	-1.5301282156035072	0.9370075023003869	0	2
195	lose	-1.5301282156035072	0.9370075023003869	0	2
196	need	-1.6874680039703893	0.954243301368654	8	14
197	support	-1.8384664044527665	0.9670031460397623	1	5
198	care	-1.8384664044527665	0.9670031460397623	1	5
199	even	-1.8763345787580146	0.969695324147781	0	3
200	higher	-1.8763345787580146	0.969695324147781	0	3
201	admitted	-1.8763345787580146	0.969695324147781	0	3
202	individual	-1.9220593363873446	0.9727008540231248	2	7
