	word	zstat	pvalue	f1_count	f2_count
0	fraudulent	2.598443456561363	0.004682373336513129	5	0
1	loss	2.320254608026962	0.01016355403907863	4	0
2	allows	2.0060698549852978	0.022424397776699384	3	0
3	income	1.6352440574738651	0.05099894784241669	2	0
4	caught	1.6352440574738651	0.05099894784241669	2	0
5	issue	1.6352440574738651	0.05099894784241669	2	0
6	view	1.6352440574738651	0.05099894784241669	2	0
7	lose	1.6352440574738651	0.05099894784241669	2	0
8	group	1.3034763674404342	0.09620608971985367	3	1
9	impact	1.3034763674404342	0.09620608971985367	3	1
10	lowing	1.1543887990609352	0.12417040261812268	1	0
11	severely	1.1543887990609352	0.12417040261812268	1	0
12	drama	1.1543887990609352	0.12417040261812268	1	0
13	person	1.1543887990609352	0.12417040261812268	1	0
14	continues	1.1543887990609352	0.12417040261812268	1	0
15	answer	1.1543887990609352	0.12417040261812268	1	0
16	cover	1.1543887990609352	0.12417040261812268	1	0
17	allow	1.1543887990609352	0.12417040261812268	1	0
18	stopped	1.1543887990609352	0.12417040261812268	1	0
19	greater	1.1543887990609352	0.12417040261812268	1	0
20	however	1.1543887990609352	0.12417040261812268	1	0
21	end	1.1543887990609352	0.12417040261812268	1	0
22	fixed	1.1543887990609352	0.12417040261812268	1	0
23	see	1.1543887990609352	0.12417040261812268	1	0
24	one	1.1543887990609352	0.12417040261812268	1	0
25	fraud	1.1543887990609352	0.12417040261812268	1	0
26	different	1.1543887990609352	0.12417040261812268	1	0
27	card	1.1543887990609352	0.12417040261812268	1	0
28	long	1.1543887990609352	0.12417040261812268	1	0
29	moderate	1.1543887990609352	0.12417040261812268	1	0
30	potential	1.1543887990609352	0.12417040261812268	1	0
31	net	1.1543887990609352	0.12417040261812268	1	0
32	world	1.1543887990609352	0.12417040261812268	1	0
33	afterwards	1.1543887990609352	0.12417040261812268	1	0
34	positive	1.1543887990609352	0.12417040261812268	1	0
35	repair	1.1543887990609352	0.12417040261812268	1	0
36	coud	1.1543887990609352	0.12417040261812268	1	0
37	commodity	1.1543887990609352	0.12417040261812268	1	0
38	worked	1.1543887990609352	0.12417040261812268	1	0
39	though	1.1543887990609352	0.12417040261812268	1	0
40	problem	1.1543887990609352	0.12417040261812268	1	0
41	essentially	1.1543887990609352	0.12417040261812268	1	0
42	significant	1.1543887990609352	0.12417040261812268	1	0
43	credit	1.1543887990609352	0.12417040261812268	1	0
44	score	1.1543887990609352	0.12417040261812268	1	0
45	revenue	1.1543887990609352	0.12417040261812268	1	0
46	allowing	1.1543887990609352	0.12417040261812268	1	0
47	benefit	1.1543887990609352	0.12417040261812268	1	0
48	landowner	1.1543887990609352	0.12417040261812268	1	0
49	relationship	1.1543887990609352	0.12417040261812268	1	0
50	expense	1.1543887990609352	0.12417040261812268	1	0
51	mess	1.1543887990609352	0.12417040261812268	1	0
52	holder	1.1543887990609352	0.12417040261812268	1	0
53	effecting	1.1543887990609352	0.12417040261812268	1	0
54	go	1.1543887990609352	0.12417040261812268	1	0
55	value	1.1543887990609352	0.12417040261812268	1	0
