	word	zstat	pvalue	f1_count	f2_count
0	society	3.0792837080111406	0.0010374948924741889	12	0
1	affected	1.9700229749826994	0.024417868756457264	5	0
2	family	1.7598215198579759	0.0392190365611546	4	0
3	people	1.5675072535662258	0.058498086045344254	6	1
4	indirectly	1.5221343022923859	0.06398771627898234	3	0
5	credit	1.5221343022923859	0.06398771627898234	3	0
6	community	1.5221343022923859	0.06398771627898234	3	0
7	get	1.5221343022923859	0.06398771627898234	3	0
8	individual	1.2960259694802134	0.09748326900101123	7	2
9	talking	1.2412590611303231	0.10725503146427368	2	0
10	result	1.2412590611303231	0.10725503146427368	2	0
11	card	1.2412590611303231	0.10725503146427368	2	0
12	american	1.2412590611303231	0.10725503146427368	2	0
13	matter	1.2412590611303231	0.10725503146427368	2	0
14	put	1.2412590611303231	0.10725503146427368	2	0
15	street	1.2412590611303231	0.10725503146427368	2	0
16	need	1.2412590611303231	0.10725503146427368	2	0
17	think	1.2412590611303231	0.10725503146427368	2	0
18	reside	0.8766048843966235	0.19035064263916324	1	0
19	respect	0.8766048843966235	0.19035064263916324	1	0
20	directly	0.8766048843966235	0.19035064263916324	1	0
21	house	0.8766048843966235	0.19035064263916324	1	0
22	shown	0.8766048843966235	0.19035064263916324	1	0
23	anyone	0.8766048843966235	0.19035064263916324	1	0
24	person	0.8766048843966235	0.19035064263916324	1	0
25	face	0.8766048843966235	0.19035064263916324	1	0
26	devastating	0.8766048843966235	0.19035064263916324	1	0
27	considered	0.8766048843966235	0.19035064263916324	1	0
28	sensitive	0.8766048843966235	0.19035064263916324	1	0
29	consequence	0.8766048843966235	0.19035064263916324	1	0
30	maybe	0.8766048843966235	0.19035064263916324	1	0
31	even	0.8766048843966235	0.19035064263916324	1	0
32	show	0.8766048843966235	0.19035064263916324	1	0
33	loan	0.8766048843966235	0.19035064263916324	1	0
34	considering	0.8766048843966235	0.19035064263916324	1	0
35	extended	0.8766048843966235	0.19035064263916324	1	0
36	u	0.8766048843966235	0.19035064263916324	1	0
37	fixed	0.8766048843966235	0.19035064263916324	1	0
38	affecting	0.8766048843966235	0.19035064263916324	1	0
39	race	0.8766048843966235	0.19035064263916324	1	0
40	minimal	0.8766048843966235	0.19035064263916324	1	0
41	side	0.8766048843966235	0.19035064263916324	1	0
42	standing	0.8766048843966235	0.19035064263916324	1	0
43	mouth	0.8766048843966235	0.19035064263916324	1	0
44	meaning	0.8766048843966235	0.19035064263916324	1	0
45	opposed	0.8766048843966235	0.19035064263916324	1	0
46	stereotype	0.8766048843966235	0.19035064263916324	1	0
47	friend	0.8766048843966235	0.19035064263916324	1	0
48	finance	0.8766048843966235	0.19035064263916324	1	0
49	offensive	0.8766048843966235	0.19035064263916324	1	0
50	public	0.8766048843966235	0.19035064263916324	1	0
51	somewhere	0.8766048843966235	0.19035064263916324	1	0
52	low	0.8766048843966235	0.19035064263916324	1	0
53	company	0.8766048843966235	0.19035064263916324	1	0
54	apply	0.8766048843966235	0.19035064263916324	1	0
55	big	0.8766048843966235	0.19035064263916324	1	0
56	biased	0.8766048843966235	0.19035064263916324	1	0
57	broader	0.8766048843966235	0.19035064263916324	1	0
58	another	0.8766048843966235	0.19035064263916324	1	0
59	unsure	0.8766048843966235	0.19035064263916324	1	0
60	whole	0.8766048843966235	0.19035064263916324	1	0
61	hardly	0.8766048843966235	0.19035064263916324	1	0
62	try	0.8766048843966235	0.19035064263916324	1	0
63	help	0.8766048843966235	0.19035064263916324	1	0
64	arrangement	0.8766048843966235	0.19035064263916324	1	0
65	time	0.8766048843966235	0.19035064263916324	1	0
66	concern	0.8766048843966235	0.19035064263916324	1	0
67	environment	0.8766048843966235	0.19035064263916324	1	0
68	moderately	0.8766048843966235	0.19035064263916324	1	0
69	change	0.8766048843966235	0.19035064263916324	1	0
70	extremley	0.8766048843966235	0.19035064263916324	1	0
71	contemporary	0.8766048843966235	0.19035064263916324	1	0
72	opinion	0.8766048843966235	0.19035064263916324	1	0
73	acquired	0.8766048843966235	0.19035064263916324	1	0
74	direct	0.8766048843966235	0.19035064263916324	1	0
75	resource	0.8766048843966235	0.19035064263916324	1	0
76	major	0.8766048843966235	0.19035064263916324	1	0
77	say	0.8766048843966235	0.19035064263916324	1	0
78	impactful	0.8766048843966235	0.19035064263916324	1	0
79	around	0.8766048843966235	0.19035064263916324	1	0
80	care	0.8766048843966235	0.19035064263916324	1	0
81	fix	0.8766048843966235	0.19035064263916324	1	0
82	correlation	0.8766048843966235	0.19035064263916324	1	0
83	bank	0.8766048843966235	0.19035064263916324	1	0
84	cope	0.8766048843966235	0.19035064263916324	1	0
85	noncaucasian	0.8766048843966235	0.19035064263916324	1	0
86	equitable	0.8766048843966235	0.19035064263916324	1	0
87	le	0.8766048843966235	0.19035064263916324	1	0
88	apartment	0.8766048843966235	0.19035064263916324	1	0
89	detrimental	0.8766048843966235	0.19035064263916324	1	0
90	taste	0.8766048843966235	0.19035064263916324	1	0
91	sister	0.8766048843966235	0.19035064263916324	1	0
92	view	0.8766048843966235	0.19035064263916324	1	0
93	someone	0.8766048843966235	0.19035064263916324	1	0
94	experience	0.8766048843966235	0.19035064263916324	1	0
95	living	0.8766048843966235	0.19035064263916324	1	0
96	includes	0.8766048843966235	0.19035064263916324	1	0
97	fsmily	0.8766048843966235	0.19035064263916324	1	0
98	impacted	0.8766048843966235	0.19035064263916324	1	0
99	interfere	0.8766048843966235	0.19035064263916324	1	0
100	municipality	0.8766048843966235	0.19035064263916324	1	0
101	allowed	0.8766048843966235	0.19035064263916324	1	0
102	overall	0.8766048843966235	0.19035064263916324	1	0
103	scenario	0.8766048843966235	0.19035064263916324	1	0
104	generational	0.8766048843966235	0.19035064263916324	1	0
105	define	0.8766048843966235	0.19035064263916324	1	0
106	part	0.8766048843966235	0.19035064263916324	1	0
107	lose	0.8766048843966235	0.19035064263916324	1	0
108	inequality	0.8766048843966235	0.19035064263916324	1	0
109	reputation	0.8766048843966235	0.19035064263916324	1	0
110	surrounding	0.8766048843966235	0.19035064263916324	1	0
111	significant	0.8766048843966235	0.19035064263916324	1	0
