PROLIFIC_PID	scenario	IFPI	Why?	IFNI	Why?	SFPI	Why?	SFNI	Why?	AB	DB	DT	PGM	Q5.7	Q5.8	Q5.9	Q5.10	Q5.11	Q5.12	Q6.7	Q6.8	Q6.9	Q6.10	Q6.11	Q6.12	Q10.14	Q10.15	Q10.16	Q10.17	Q10.18	Q10.19	Q10.20	Q10.21	Q199	Q203	Q200	Q204	Q201	Q205	pref_model	group	Ethnicity	BFPI	BFNI
5e9859b23da07f0416fca0fb	rent	2	Essentially the same answer, both these things could bring lots of drama to ones life	2	That would be a drastic situation that the individual would have to deal with, that would add a tremendous amount of stress	1	Same answer as the previous question	1	It's less significant because it is indirectly affecting them, society is anyone indirectly affected by the scenario	Yes	Yes	Yes	Disadvantaged	Mildly unfair	It is slightly unfair because of the difference in allowing %	Neither biased nor unbiased.	I don't think the machine learning can be inherently biased	Mostly unusable	Not really, it's such a small amount of info	Neither fair nor unfair	Machine learning is not inherently have bias, but the data used could be. With that in mind, it's hard to tell if it is fair without more info	Neither biased nor unbiased	Machine learning is not inherently have bias, but the data used could be. With that in mind, it's hard to tell if it is fair without more info. Same as last question	Mostly ununsable	Not really, without knowing where the info came from/how large of a sample size	Probably model Y	Because both groups have an equal opportunity 	Models X and Y are equally biased	Both have their own bias 	Models X and Y are equally useful	I don't believe either are very useful	0	I feel like I need more information, i wouldn't choose either	Definitely ${e://Field/pref_model}	Both groups have an equal chance at the beginning, the mistakes could be variance	Both ${e://Field/pref_model} and Z are equally biased	They both show their own bias	0	Like the other graphs, the information still feels incomplete and doesn't help me reach a conclusion	model Y	majority	Caucasian	1.5	1.5
61689ec20ea785be6b264b16	icu	2	If they don't need ICU support they may receive drastic care that they don't need.	2	ICU requires a different kind of care.	2	They may not need ICU. Society is the general public.	2	ICU is greatest form of care. Different levels of care. Society is the general public	Yes	Yes	Yes	Disadvantaged	Acceptably fair	The data it has I believe it made the best choice	Neither biased nor unbiased.	It's positivity rate was better than its mistakes	Mostly useful	It had a good positivity rate	Acceptably fair	Model y is not perfect as stated but to the best of its ability is has done its job.	Mildly unbiased	Its working to the best if it's ability.	Mostly useful	I believe it is performing to the best of its ability with the knowledge it collected	Probably model Y	It seemed to be equal as a whole	Probably model Y	Equality in my opinion	Probably model Y	Seems to be less favorable on either side	1	I believe it is not as biased as x	Probably ${e://Field/pref_model}	Model y seems more equal	Probably model Z	Model z favors Caucasian 	-1	Equality	model Y	majority	Caucasian	2.0	2.0
61093fd0ed1b90dc46d24d69	frauth	2	This can be potentially dangerous for staff & patients 	1	It is time consuming, but won’t prevent a staff member from getting where they need to go	2	If society consists of patients and concerned family members, they may find the presence of non-authorized individuals to be dangerous and scary 	2	It may take longer for a medical professional to address patients and conferences family members (I.e society)	No	Yes	Yes	Advantaged	Very unfair	The probability of it granting access to non-caucasians is much lower 	Acceptably biased	The face recognition does not work well for everyone 	Mostly unusable	The face recognition does not work well for everyone, but the incidence of mistakenly granted access is lower so that part is a step in the right direction 	Acceptably fair	Yes as the probability of it working is equal for caucasians and non-caucasians	Neither biased nor unbiased	Not really, the probability of it working is the same for each group 	Mostly ununsable	It seems there is a large incidence of mistakenly granted access	Definitely model Y	Model Y has equal probability of the face recognition working for all groups 	Definitely model X	The probability of the facial recognition working for the non-Caucasian group is much lower 	Probably model Y	The probability of granting access is better overall 	1	For the same reason as stated above 	Both ${e://Field/pref_model} and Z are equally fair	Model Y has a better probability of the facial recognition working for the non-Caucasian group but model Z has a lower probability of denied access for the non-Caucasian group so they balance out 	Both ${e://Field/pref_model} and Z are equally biased	The probability of facial recognition it equal in one but the probability of getting denied is high, vs the probability of facial recognition is low in the other but the probability of getting denied is also low 	1	Mistakes of denied entry are equal between groups 	model Y	minority	Caucasian	2.0	1.5
5c94745e6014f5001231d322	frauth	1	This seemed like the appropriate weight for measurement 	2	Medical records are very private  	1	Society comes complacent 	1	Hospital staff have varying levels of access and bo varied level of knowledge 	Yes	Yes	Yes	Advantaged	Mildly unfair	The probability is extremely slanted 	Mildly unbiased	It is not leaning one way or another	Mostly useful	It has consistent data time and time 	Mildly unfair	The probability is very slanted in this model 	Neither biased nor unbiased	The probability is very even 	Mostly useful	It has consistent results 	Probably model X	It has more consistent results and probability 	Probably model X	It has more consistent results and probability 	Probably model Y	It has more consistent results and probability 	0	It has more consistent results and probability 	Probably ${e://Field/pref_model}	It seems this model has been tested more thoroughly 	Probably ${e://Field/pref_model}	I like the title	-1	The data seems unobjectionable 	model Y	minority	Caucasian	1.0	1.5
61700ceea50b32716181325c	frauth	2	Anyone can get access to anything and could cause people injury or other harmful things.	2	Because anyone could watch what they type and learn from it.	2	If it got out that medical records got out, the news would cover it and it would affect the whole world (society). 	0	Unsure	No	Yes	Yes	Advantaged	Acceptably fair	Because when it found a mistake is had a equal opportunity to be any race	Acceptably biased	It has a lower chance to grant access to Non-Caucasian, but has an equal chance to mess up with Caucasian.	Mostly unusable	Simply because it is less likely to recognize Non-Caucasian	Very fair	Because they are both equal	Neither biased nor unbiased	Because it is equal	Very useful	Because it has equal opportunity to be even between Caucasian and Non-Caucasian.	Definitely model Y	Equal points of granting access.	Definitely model X	Less Non-Caucasian weren't granted access.	Definitely model Y	Because it gas equal opportunity to give access to any race 	2	Because it gives equal opportunity to be granted access	Probably ${e://Field/pref_model}	Unsure	Probably ${e://Field/pref_model}	More Non-Caucasian denies were mistakes	2	Less mistakes	model Y	minority	Caucasian	2.0	1.0
612a7b51f5c0574e3a0f4003	rent	2	The landowner will not be able to cover the current expenses without getting paid. 	1	The parties are both notified when this happens, and because the payment was real, the funds were returned and can just be paid again. 	1	Society would be anyone using the prediction model as a way to obtain payments. It would decrease their trust in the system and it would have to be built up again.	2	Society could be credit card companies and banks. If they think someone might have a bad reputation, they might not be allowed to get loans or apply for new credit cards. 	Yes	No	Yes	Advantaged	Mildly unfair	Because if you are non-Caucasian, you are more likely to have an allowed payment. 	Acceptably biased	Because even though the errors are the same percentages, there is a higher chance a Caucasian will be denied. 	Mostly useful	Even if it was slightly biased, the percentages of errors did provide helpful data that the errors were made without any influence of race.	Very fair	Everyone has equal probability of an allowing payment.	Very unbiased	It gave everyone an equal chance of getting approved, but it displays how non-caucasians are more likely to have been fraudulently paying.	Very useful	It had an unbiased approach.	Definitely model Y	The probability of an allowed payment is equal for everyone, and this is not the case in Model X. It is only in the mistakes that Model Y is revealed that more mistakes are made with non-caucasians. 	Definitely model X	It did not allow everyone's payments to be allowed equally. 	Models X and Y are equally useful	Model X shows that even with initial bias, the mistake percentages remain the same, and so the allowed payments should later reflect that. Model Y gives everyone the equal opportunity, but reveals where there are more mistakes made. 	1	I think it would reveal more about why the software allowed the people who were later revealed as mistakes to get through the approval in the first place.	Definitely ${e://Field/pref_model}	Model Z is pretty much the exact same as Model X where one group is more likely to get approval.	Definitely model Z	It does not give everyone the same chance of being approved.	-2	It shows a lot better than when the payments are equally offered, they are more wrong when it comes to caucasians.	model Y	majority	Non-Caucasian	1.5	1.5
6107d9f8e3bcf0b428aee973	rent	1	Fraud requires a lot of issues	1	Depends on the size of the complex.	1	Society is the community around the place where they are renting. Allowing the payment can interfere with their finances as well as credit.	2	Part of society includes those within the community directly. Denying the transaction can interfere with finances and maybe their credit	Yes	Yes	Yes	Advantaged	Neither fair nor unfair	I feel as though I can see both sides of why people would and wouldn’t like it. I think those who rent out their property would like to trust data and base the renting process on that. I think those who get denied the renting process would feel like they perhaps are the outlier and were not given a fair chance	Neither biased nor unbiased.	This is tricky, I think it as I mentioned above there’s reason to like and dislike it. So I struggle with if it’s bias or not.	Mostly useful	Because it relies on data. So there is some sort of reliability to it since it works on patterns and numbers.	Acceptably fair	Looks like racially it is even amongst who is allowed payment (yellow graph)	Mildly unbiased	Looks even among races.	Mostly useful	Based on numbers and patterns	Probably model Y	Even among races	Probably model X	Uneven among races 	Models X and Y are equally useful	Unsure	1	Racially even	Probably ${e://Field/pref_model}	Mostly even	Both ${e://Field/pref_model} and Z are equally biased	Comparing the two, they seem more even In their errors vs acceptance 	1	Acceptance and error seem more appropriate and even	model Y	minority	Caucasian	1.0	1.5
5e5da6ffeacf5d0ccea9d3a8	rent	2	Creates a domino effects	2	May greatly effect the individual 	2	Will affect the community and municipality	2	The individual needs to reside somewhere and the resources of the municipality may be affected if the individual is denied living arrangements 	No	No	Yes	Advantaged	Neither fair nor unfair	What’s the basis?	Neither biased nor unbiased.		Neither useful nor unusable		Neither fair nor unfair	Relevancy	Neither biased nor unbiased		Neither useful nor unusable		Probably model Y	Closer stats	Models X and Y are equally biased	Based on what information 	Models X and Y are equally useful		0	The charts are not providing additional information 	Probably ${e://Field/pref_model}	Only denied	Both ${e://Field/pref_model} and Z are equally biased	Equally	0		model Y	minority	Caucasian	2.0	2.0
5c92810addeb3d0018a19de3	rent	2	Because of the loss of revenue	2	A renter is denied the ability to find a new home and will likely feel upset about the denial	0	Society as opposed to the individual are those who are indirectly affected. The fraud affects the individual mostly through the loss of revenue. The impact on society is minimal	2	Society as opposed to the individual are those who are indirectly affected. If it affects an individual and then society as a result, then the impact is high overall 	Yes	No	Yes	Disadvantaged	Very unfair	Race issue as in model Y	Very biased	Race issue as in model Y	Completely unusable	Making business decisions based on race is prejudiced 	Very unfair	I think using race in the model is unfair but aggregating non-Caucasians into one group is very unfair.	Very biased	Two groups: Caucasians and everyone else. It's very presumptive.	Completely unusable	Making businesses decisions based on race is prejudiced 	Probably model Y	The only choice I had; I would have prefer to answer that both models are equally unfair.	Probably model X	The only choice I had; I would have prefer to answer that both models are equally biased.	Probably model Y	The only choice I had; I would have prefer to answer that both models are equally unusable 	0	For all the reasons stated in previous responses.	Probably ${e://Field/pref_model}	It predicts equal payment probability for whites and non-whites	Definitely model Z	It allows significantly less payments non-whites despite equal payment  mistakes among both groups.	0	Race bias, especially as it relates to renting a home. Same bias occurs with home lending.	model Y	minority	Non-Caucasian	1.0	2.0
60fca4ea3370270b8bf97614	rent	0	These things can be fixed, however a relationship with the renter will be harder to repair. 	2	The renter will feel degraded, offended, and like trust has been broken, When they signed the lease they said they could pay that amount, it is rude to doubt that 	0	Again, money can be sent back/covered/etc. but it will be harder to mend the relationship with the person who is paying you monthly 	2	(Americans) Would find this extremley offensive if it was shown to have a direct correlation to race. We are in a very sensitive time and need to show respect to all. 	No	No	Yes	Advantaged	Mildly unfair	Still biased	Very biased	Looks like a more fair model but unsure of how the ethnicity is being determined. 	Neither useful nor unusable	Bias and variables 	Mildly unfair	I feel like there can be bias which makes it unfair, there are too many variables. 	Very biased	Very broad, caucasion/non caucasion, how are these being reported? Is the individual stating this themselves or is someone else 	Neither useful nor unusable	Too many variables	Probably model Y	The probability is equal, while the mistakes are based off of the accepted payments 	Definitely model X	Payment should be taken regardless of race, the mistakes are not based off of this factore	Probably model Y	Still too many variables and bias but it makes the most sense out of the two 	1	Again, out of the two this seems like the better option, Allowing payment shouldn't really be compared to the mistakes. Its not a direct correlation, too many variables and too much bias. 	Probably ${e://Field/pref_model}	Mistakes cannot be predetermined, especially based off race	Definitely model Z	Disproportional percentage of payments allowed to be accepted 	-1	Accept the payment and deal with the risk after, potential racism isn't worth declining a payment 	model Y	minority	Caucasian	0.0	2.0
