	StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q1.1	Q240	Q241	Q242	Q243	Q5.7	Q5.8	Q5.9	Q5.10	Q5.11	Q5.12	Q6.7	Q6.8	Q6.9	Q6.10	Q6.11	Q6.12	Q8.13	Q9.1	Q10.14	Q10.15	Q10.16	Q10.17	Q10.18	Q10.19	Q10.20	Q10.21	Q199	Q203	Q200	Q204	Q201	Q205	Q11.6	Q11.7	Q11.8	Q11.9	Q11.10	Q11.11	Q11.12	Q11.13	Q11.14	Q11.15	Q11.16	Q11.17	Q11.18	Q11.19	Q11.20	Q11.21	Q11.22	Q11.23	Q11.24	Q11.25	Q11.26	Q11.27	Q11.28	Q11.29	Q11.30	Q12.1	Q12.2	Q12.3	Q163	Q164	PROLIFIC_PID	STUDY_ID	SESSION_ID	group	tradeoff	scenario	x_first	prompt_text	pref_model	fnr_pos	Q105 - Parent Topics	Q105 - Sentiment Polarity	Q105 - Sentiment Score	Q105 - Sentiment	Q105 - Topic Sentiment Label	Q105 - Topic Sentiment Score	Q105 - Topics	PGM	session_id	status	started_datetime	completed_date_time	time_taken	age	num_approvals	num_rejections	prolific_score	reviewed_at_datetime	entered_code	Country of Birth	Current Country of Residence	Employment Status	Ethnicity	First Language	Nationality	Sex	Student Status	Create New Field or Choose From Dropdown...
0	2021-09-17 08:15:35	2021-09-17 08:37:52	IP Address	66.191.188.89	100	1336	True	2021-09-17 08:37:53	R_3NwhQrCQqPnU17Z					35.053497314453125	-82.05819702148438	anonymous	EN	I have had the opportunity to read this consent form and have the research study explained.,I have had the opportunity to ask questions about the research study, and my questions have been answered.  I am prepared to participate in the research study described above.,I accept the use of my Prolific ID ${e://Field/PROLIFIC_PID}	Model X is more likely to predict correctly for female applicants than male applicants.	Figure 1	Female applicants will be more likely to mistakenly be rejected than male applicants.	Figure 2	Mildly unfair	African American's are less likely to be allowed but both White and African Americans are equally likely to have been mistakenly allowed.	Very unbiased	A 24% difference between accepting Whites over African Americans is very significant and will show up frequently if used.	Mostly unusable	I think the bias that it shows is hard to justify the use of model X. If it is shown to have a bias then it would detract those who it shows a bias against.	Mildly unfair	The probability of being allowed payment is very fair and equal. The problem comes from the bias towards Whites being mistakenly allowed when they shouldn't have been. Again there is a 20%+ biased towards one side. 	Mildly unbiased	It shows bias in that it mistakenly allows more Whites than should have been accepted. Thus it allows more Whites as a bias.	Mostly useful	If these figures are more acceptable than manually chosing then even with the bias it could be useful, but personally I think the bias is too big to be completely useful.	Yes	The bias of the 2nd image made me realize the first isn't as biased. The reason being it has an equal amount of error on both sides. While it is still biased, I think it's much more usable with that in mind. As there will always be some error in these sorts of decisions, and having an equal error on both sides is much better than a huge bias towards one or the other.	Probably model X	"The error on both groups are equal so it's more accurate to who ""should"" be allowed payment based off the model."	Probably model Y	It mistakenly approves more Whites than it should, thus taking more away from those who would should be approved.	Probably model X	The error is equal in both so even if the error was fully removed the results would just be equally shifted down on both groups.	Probably model X	The error between the two choices are the same and can be equally removed from both groups.	Probably ${e://Field/pref_model}	The error of mistakenly allowed payments is the same in both groups.	Definitely model Z	The error is more biased towards Whites	Definitely ${e://Field/pref_model}	The error is equal in both groups.			High	From their perspective it's more important than the whole and affects them more altogether.			Moderate	They get the benefits but could feel bad about taking it from someone else who meet the requirements instead.			Low	Mistakes always happen and such things won't effect the society as much as a whole.			Moderate	Allowing more to go out than what was necessary can be more detrimental to the society as it takes away more than if it was mistakenly denied.			Yes			No			Yes			Advantaged	Bachelor	Engineering and Technology	6144933b9fe82d0490f0127e	614391dcdf09127f013fe60a	6144a2fbf86351238933e31b	minority	outcome-fpr	rent	True	You have chosen model X over model Y.	model X	top								Advantaged	6144a2fbf86351238933e31b	APPROVED	2021-09-17 14:15:30.317000	2021-09-17 14:37:54.798000	1344.481	25.0	91	1	100	2021-09-20 15:43:52.087000	19AE28A9	United States	United States	Unemployed (and job seeking)	Caucasian	English	United States	Male	No	
1	2021-09-17 08:31:48	2021-09-17 08:54:59	IP Address	173.173.68.213	100	1391	True	2021-09-17 08:55:00	R_2SdxZsJrwzRm4Aa					41.429397583007805	-97.36810302734376	anonymous	EN	I have had the opportunity to read this consent form and have the research study explained.,I have had the opportunity to ask questions about the research study, and my questions have been answered.  I am prepared to participate in the research study described above.,I accept the use of my Prolific ID ${e://Field/PROLIFIC_PID}	Model X is more likely to predict correctly for female applicants than male applicants.	Figure 1	Female applicants will be more likely to mistakenly be rejected than male applicants.	Figure 2	Neither fair nor unfair	Based on race and only two races 	Acceptably biased	Again, based on races and there’s only two races listed	Mostly useful	Demonstrates mistakes by machines and the probability of those mistakes.	Neither fair nor unfair	Using two races but good to see the probability of mistakes with different races	Acceptably biased	Only two races listed	Mostly useful	Shows how machines can make mistakes and for which race is more probable to be mistaken.	No		Models X and Y are equally fair	The models are opposites in that one model has more similar mistakes based on the two races and the other has more similar probability of granting access based on the two races. They cancel each other out it seems.	Models X and Y are equally biased	They use the same races and this is all probability.	Models X and Y are equally useful	Similar outcomes with both models 	Neither model X nor model Y	In essence, they have the same outcomes.	Both ${e://Field/pref_model} and Z are equally fair	Similar outcomes on each model, just reversed.	Both ${e://Field/pref_model} and Z are equally biased	Only two races but similar outcomes, but reversed.	Neither ${e://Field/pref_model} nor model Z	Too similar of outcomes. Need fewer mistakes on one of them to decide which is best.		Moderate		Failing to recognize would be better as this would require staff to put in a secure username and password, ensuring proper access. The alternative would be recognizing an unauthorized individual and allowing access not meant for them, breaching security.		High		Allowing access to an unauthorized user would break security and could cause immense problems and safety concerns.		Low		Society would be the community and how they view the safety of this establishment. Society would rather an individual be unrecognized which would then require them to put in a secure username and password that only the individual should know that has access to the facility.		High		Society again would be the community in which the facility is in. Allowing unauthorized access mistakenly would cause society to have safety concerns with records and other individuals and then society would not have trust in this establishment.		No			No			No			Advantaged		Bachelor	Healthcare Practitioner	61230e2ed3554491075cdfab	614391dcdf09127f013fe60a	6144a6cceb72485b446f8f33	minority	outcome-fpr	frauth	True		model X	top								Advantaged	6144a6cceb72485b446f8f33	APPROVED	2021-09-17 14:31:43.849000	2021-09-17 14:55:03.762000	1399.913	28.0	14	0	100	2021-09-20 15:07:46.473000	19AE28A9	United States	United States	Full-Time	Caucasian	English	United States	Female	No	
2	2021-09-17 09:15:15	2021-09-17 09:26:50	IP Address	71.93.42.5	100	694	True	2021-09-17 09:26:51	R_wSQUPuZnZ1cMPEl					35.46580505371094	-120.66719818115234	anonymous	EN	I have had the opportunity to read this consent form and have the research study explained.,I have had the opportunity to ask questions about the research study, and my questions have been answered.  I am prepared to participate in the research study described above.,I accept the use of my Prolific ID ${e://Field/PROLIFIC_PID}	Model X is more likely to predict correctly for female applicants than male applicants.	Figure 1	Female applicants will be more likely to mistakenly be rejected than male applicants.	Figure 2	Acceptably fair		Mildly unbiased		Mostly useful		Very unfair	beacause looking nice	Neither biased nor unbiased	equaly	Mostly ununsable	equal	No		Probably model X	equal	Models X and Y are equally biased	equaly same	Models X and Y are equally useful	equal	Neither model X nor model Y	equaly	Probably model Z	equaly not same	Both ${e://Field/pref_model} and Z are equally biased	up and down	Definitely model Z	equaly	Moderate			Equaly	High			Equal	Moderate			Equal	High			Equal	Yes			No			Yes			Advantaged			Master	Education	613fa51c6a01b958c3e7fd91	614391dcdf09127f013fe60a	6144b0f8e3f4ec03d3612c83	minority	outcome-fpr	icu	True		model Y	bottom								Advantaged	6144b0f8e3f4ec03d3612c83	APPROVED	2021-09-17 15:15:09.678000	2021-09-17 15:27:04.573000	714.895	26.0	12	2	90	2021-10-08 15:08:24.286000	19AE28A9	United States	United States	DATA EXPIRED	Caucasian	English	United States	Female	Yes	
3	2021-09-17 09:25:23	2021-09-17 09:35:34	IP Address	47.176.58.194	100	611	True	2021-09-17 09:35:34	R_1im0KbCJZ4d3KzK					33.751495361328125	-118.36700439453124	anonymous	EN	I have had the opportunity to read this consent form and have the research study explained.,I have had the opportunity to ask questions about the research study, and my questions have been answered.  I am prepared to participate in the research study described above.,I accept the use of my Prolific ID ${e://Field/PROLIFIC_PID}	None of the above can be inferred from the figures.	Figure 2	Male applicants will be more likely to be accepted than female applicants.	Figure 2	Very fair	Model X is merely reporting the data.	Very unbiased		Mostly useful		Very fair		Very unbiased		Neither useful nor unusable		No		Models X and Y are equally fair		Models X and Y are equally biased		Models X and Y are equally useful		Probably model X		Probably ${e://Field/pref_model}		Both ${e://Field/pref_model} and Z are equally biased		Neither ${e://Field/pref_model} nor model Z				High	A person may be unfairly denied. 			High	A company may lose out on money they are owed. 			High	People who may be in need of housing may suffer.			Low	The employees collecting money could get in trouble.			Yes			Yes			Yes			Disadvantaged	Master	Healthcare Practitioner	60ff7ddcdcb2d599f8d33d33	61439223ecf74e491e22a39c	6144b35de5b92714ec4300f6	minority	outcome-fpr	rent	True	You have chosen model X over model Y.	model X	top								Disadvantaged	6144b35de5b92714ec4300f6	APPROVED	2021-09-17 15:25:19.851000	2021-09-17 15:35:37.462000	617.611	26.0	6	0	100	2021-09-20 16:52:39.690000	19AE28A9	United States	United States	Full-Time	Non-Caucasian	Spanish	United States	Female	No	
4	2021-09-17 09:27:51	2021-09-17 09:45:32	IP Address	174.204.13.101	100	1060	True	2021-09-17 09:45:32	R_PAGBtEdHuw7xATD					40.75920104980469	-111.88749694824217	anonymous	EN	I have had the opportunity to read this consent form and have the research study explained.,I have had the opportunity to ask questions about the research study, and my questions have been answered.  I am prepared to participate in the research study described above.,I accept the use of my Prolific ID ${e://Field/PROLIFIC_PID}	Model X is more likely to predict correctly for female applicants than male applicants.	Figure 1	Male applicants will be more likely to mistakenly be accepted than female applicants.	Figure 1	Acceptably fair	It is wrong an equal percentage	Mildly unbiased	It is wrong equally as much	Mostly unusable	That’s a high percentage of being wrong	Mildly unfair	It allowed more African Americans to enter than should have compared with whites	Acceptably biased	It allowed more African Americans to enter than should have compared with whites	Completely unusable	It has a high percentage of being wrong	No		Probably model X	I mean Model Y is wrong slightly less, but it is way more biased, so I think X is better	Definitely model Y	It allows a higher percentage of one race to mistakenly come in	Models X and Y are equally useful	I think they’re both not useful cause they’re wrong so much. I guess Y could be more useful if only used for white people	Probably model X	It’s more consistent	Definitely ${e://Field/pref_model}	It allows access incorrectly the same amount	Probably model Z	It allows access incorrectly less consistent across races	Neither ${e://Field/pref_model} nor model Z	Neither really has an advantage		Low		It adds 1 minute to their access time		High		Someone could get in that is not supposed to be there		Low		"Society means everyone
Very low cause they can still get in. Just adds time"		High		"Society meaning everyone. 
They will feel less safe at a hospital if anyone can get in 1 out of 3 times"		Yes			No			Yes			Advantaged		Bachelor	Others	612fef6d81db7e31a0f20692	614391dcdf09127f013fe60a	6144b3f02c93e2c9bd796c78	majority	outcome-fpr	frauth	True	You have chosen model X over model Y.	model X	top								Advantaged	6144b3f02c93e2c9bd796c78	APPROVED	2021-09-17 15:27:47.614000	2021-09-17 15:45:40.883000	1073.269	22.0	76	3	93	2021-09-20 15:12:20.531000	19AE28A9	United States	United States	Part-Time	Caucasian	English	United States	Male	Yes	
5	2021-09-17 08:55:22	2021-09-17 09:52:11	IP Address	174.251.66.178	100	3409	True	2021-09-17 09:52:11	R_2SvLtEAb3dhmOI9					40.76210021972656	-73.95169830322266	anonymous	EN	I have had the opportunity to read this consent form and have the research study explained.,I have had the opportunity to ask questions about the research study, and my questions have been answered.  I am prepared to participate in the research study described above.,I accept the use of my Prolific ID ${e://Field/PROLIFIC_PID}	Model X is more likely to predict correctly for female applicants than male applicants.	Figure 1	Female applicants will be more likely to mistakenly be rejected than male applicants.	Figure 2	Acceptably fair	Bothe races were equally mistakenly granted.	Neither biased nor unbiased.	It equally mistakenly granted access for both races.	Very useful	It is more of an accurate representation of what a facial recognition can show.	Very unfair	The white group is mistakenly granted more than the African American group 	Acceptably biased	The White group was more mistakenly granted more than the African American group.	Mostly useful	It shows what race was more granted by the recognition system.	No		Probably model X	I find that both races are mistakenly accepted more fairly than the other model.	Probably model Y	They had more people that were mistakenly accepted that were white.	Probably model X	It fairly allows both races to equally be denied in the system.	Probably model X	It equally rejects both races equally with the recognition system.	Definitely ${e://Field/pref_model}	It is more fair that both races were mistakenly granted access.	Probably model Z	The whites were more mistakenly granted access.	Definitely ${e://Field/pref_model}	Both races were mistakenly granted access.		High		If the staff isn’t recognized the they are unable to work and earn for their family.		High		The people that granted access that aren’t supposed to could be highly dangerous and it would be a threat to security.		Low		If they would need to enter a password then it is okay because it is an added layer of security. The staff of the hospital would be considered society.		High		If they are allowed access then it is a big problem because society is affected. It could also be a threat to the company.		Yes			No			Yes			Advantaged		Secondary Education	Others	6143bbd708c3adb5792ef850	614391dcdf09127f013fe60a	6144ac525058ffeee2506d02	minority	outcome-fpr	frauth	False	You have chosen model X over model Y.	model X	top								Advantaged	6144ac525058ffeee2506d02	APPROVED	2021-09-17 14:55:18.423000	2021-09-17 15:52:14.657000	3416.234	24.0	13	1	90	2021-09-20 15:41:01.695000	19AE28A9	United States	United States	Unemployed (and job seeking)	Caucasian	English	United States	Female	No	
6	2021-09-17 08:59:34	2021-09-17 10:04:02	IP Address	47.78.184.186	100	3867	True	2021-09-17 10:04:02	R_3MmJz5oAOj9DfKc					37.751007080078125	-97.82199859619139	anonymous	EN	I have had the opportunity to read this consent form and have the research study explained.,I have had the opportunity to ask questions about the research study, and my questions have been answered.  I am prepared to participate in the research study described above.,I accept the use of my Prolific ID ${e://Field/PROLIFIC_PID}	Model X is more likely to predict correctly for male applicants than female applicants.	Figure 2	Female applicants will be more likely to mistakenly be rejected than male applicants.	Figure 2	Very unfair	Most of the white aren't  fraud.	Mildly unbiased	It's present the white people wrongly.	Mostly unusable	This isn't the reality.	Very fair	White people are less fraudster.	Mildly unbiased	It's show the real behavior.	Mostly useful	It matches with the real world.	No		Probably model Y	The graph is more realistic with real world.	Probably model X	Model X doesn't show the realistic people behavior.	Definitely model Y	I think, model Y is the correct visual of real world people behavior.	Definitely model Y	Model Y is more accurate to me.	Probably ${e://Field/pref_model}	White people are less fraudster. So the graph shows correct scenario.	Probably model Z	I think, it doesn't show accurate scenario.	Definitely ${e://Field/pref_model}	It's more accurate to me.			Moderate	Mistakenly denying payment  feel us bad.			High	A fraudulent payment is always frustrating. 			High	"He or she can be in a bad financial and embarrassing situation. Anyone who is indirectly affected by the decision from the automatic decision making system is considered as part of the ""society""."			High	"Mistakenly allowing a fraudulent payment have a bad consequences for people life by allowing fraudsters to make crime. Anyone who is indirectly affected by the decision from the automatic decision making system is considered as part of the ""society""."			No			Yes			No			Disadvantaged	Master		6141e3b4da3382c6b160cb9b	614391dcdf09127f013fe60a	6144acbffd7d3755ba63a07a	majority	outcome-fpr	rent	True	You have chosen model Y over model X.	model Y	bottom								Disadvantaged	6144acbffd7d3755ba63a07a	APPROVED	2021-09-17 14:59:26.581000	2021-09-17 16:04:11.492000	3884.911	31.0	69	0	100	2021-09-20 15:44:45.372000	19AE28A9	United States	United States	Full-Time	Caucasian	English	United States	Male	No	
7	2021-09-17 09:19:58	2021-09-17 10:15:48	IP Address	75.3.228.24	100	3350	True	2021-09-17 10:15:48	R_xruNB6oDyiMPrAB					30.142593383789062	-81.57270050048828	anonymous	EN	I have had the opportunity to read this consent form and have the research study explained.,I have had the opportunity to ask questions about the research study, and my questions have been answered.  I am prepared to participate in the research study described above.,I accept the use of my Prolific ID ${e://Field/PROLIFIC_PID}	Model X is more likely to predict correctly for female applicants than male applicants.	Figure 1	Female applicants will be more likely to mistakenly be rejected than male applicants.	Figure 2	Acceptably fair	The fact that the mistakenly allowed payments are equal indicates that the algorithm is not influenced by race.  The difference in allowed payments by race is likely caused by other factors (i.e. unequal number of renters of different races).	Mildly unbiased	The mistakenly allowed payments are equal across races, meaning that the differences in allowed payments are not caused by bias.	Neither useful nor unusable	Regardless of actual bias, the above example creates a perceived bias which in itself can cause issues.	Mildly unfair	The model is detecting more fraud by African American's than by White people.	Very biased	The model has a bias towards determining that fraud is more likely for African American's	Completely unusable	Any bias based on race that is also shown to disproportionately allow fraud is unusable.	No		Definitely model X	The mistakenly allowed payments graph is the one to be used to measure accuracy, and model X is equal across race in this regard.  The probability of allowing payments has other unbiased variables in play that are not necessarily known (i.e. proportion of White's to African American's).	Definitely model Y	Model Y is mistakenly allowing more fraudulent payments by White people, indicating a bias favoring them.	Definitely model X	Model X is more useful due to its lack of bias.  Model Y is not only bias, but that bias is causing more fraudulent payments to be missed, thereby rendering the model less useable for its intended purpose. 	Definitely model X	Model X shows less racial bias than model Y, and unbiased data is inherently more useable when that bias causes disproportionate failures in detecting the fraudulent payments.	Both ${e://Field/pref_model} and Z are equally fair	Determining whether the disproportionate data indicates racial bias in the mistakenly denied payments or the mistakenly allowed payments (when the opposite factor remains constant in each instance) is difficult to ascertain without knowing the ratio of White's to African American's.	Both ${e://Field/pref_model} and Z are equally biased	Determining whether the disproportionate data indicates racial bias in the mistakenly denied payments or the mistakenly allowed payments (when the opposite factor remains constant in each instance) is difficult to ascertain without knowing the ratio of White's to African American's.	Neither ${e://Field/pref_model} nor model Z	I would not make this choice without acquiring more data such as the proportion of White's to African American's in the data set.			Low	A landlord cannot immediately evict, so the renter will likely have a subsequent chance to remedy the situation and make the payment without further consequence.			High	If the individual is making fraudulent payments (regardless of whether those payments are mistakenly allowed), then presumably they will inevitably be caught at some point and face the repercussions of those crimes.			Low	If someone's payment is mistakenly denied, as previously noted they should have a chance to subsequently make that payment before any negative consequences occur.			High	The fraudulent payment is financially impacting the victim of that fraud, so allowing it is taking money from the wrong person.  Taking the payment from someone else's bank account without them expecting it can have severe immediate financial ramifications for that victim (i.e. inability to pay their own bills).			No			Yes			Yes			Advantaged	Secondary Education	Business	5e687cd66eb5dd12b8532767	614391dcdf09127f013fe60a	6144b217c132338b2b5a81fe	minority	outcome-fpr	rent	True	You have chosen model X over model Y.	model X	top								Advantaged	6144b217c132338b2b5a81fe	APPROVED	2021-09-17 15:19:56.185000	2021-09-17 16:15:50.875000	3354.69	33.0	101	0	100	2021-09-20 14:40:57.693000	19AE28A9	United States	United States	DATA EXPIRED	Caucasian	English	United States	Male	DATA EXPIRED	
8	2021-09-17 09:50:57	2021-09-17 10:26:02	IP Address	68.172.212.83	100	2104	True	2021-09-17 10:26:02	R_3fNebfDQnRh7aCt					40.691497802734375	-73.85330200195312	anonymous	EN	I have had the opportunity to read this consent form and have the research study explained.,I have had the opportunity to ask questions about the research study, and my questions have been answered.  I am prepared to participate in the research study described above.,I accept the use of my Prolific ID ${e://Field/PROLIFIC_PID}	Model X is more likely to predict correctly for female applicants than male applicants.	Figure 1	Female applicants will be more likely to mistakenly be rejected than male applicants.	Figure 2	Mildly unfair	It is more likely to accept payment from one race over the other.	Acceptably biased	It is more likely to accept payments from African American users.	Mostly unusable	The acceptance rate should match the rate of fraud detection.	Mildly unfair	It is more likely to mistakenly allow payment from those of one race vs another.	Acceptably biased	It is more likely to perceive payments from African Americans as fraudulent.	Mostly ununsable	The probability of detecting fraudulent payments should be more in line with the acceptance rate.	No		Models X and Y are equally fair	They both have biases that effect the amount of accepted or fraudulent transactions.	Models X and Y are equally biased	They both have biases that reflect differently per race of user.	Models X and Y are equally useful	Both need to be adjusted so that their biases are reduced or eliminated.	Neither model X nor model Y	Both are unfair.	Definitely model Z	The rate of mistakenly accepted payment is the same.	Definitely ${e://Field/pref_model}	It is more likely to perceive payments from White users as fraudulent.	Definitely model Z	The rate of mistakenly accepted payments is the same between races of users.			High	Within this context, a denied payment can result in the loss of a housing opportunity.			Low	The individual is able to proceed with their transaction despite using fraudulent means.			Moderate	Denial of transaction can result in the landlord not having a tenant for longer than anticipated.			High	The fraudulent payment has a significant impact on whoever's account had been used to make the transaction.			Yes			Yes			Yes			Disadvantaged	Bachelor	Others	613a51b0aeafc3796184cdbc	61439223ecf74e491e22a39c	6144b95acae9bfde542d1630	majority	outcome-fpr	rent	False		model Y	bottom								Disadvantaged	6144b95acae9bfde542d1630	APPROVED	2021-09-17 15:50:55.982000	2021-09-17 16:26:04.933000	2108.951	23.0	48	0	100	2021-09-20 15:56:59.918000	19AE28A9	United States	United States	Unemployed (and job seeking)	Non-Caucasian	English	United States	Female	No	
9	2021-09-17 09:43:40	2021-09-17 10:35:12	IP Address	172.58.71.176	100	3091	True	2021-09-17 10:35:12	R_1FM9ZRstB6ob4D1					32.779693603515625	-96.8022003173828	anonymous	EN	I have had the opportunity to read this consent form and have the research study explained.,I have had the opportunity to ask questions about the research study, and my questions have been answered.  I am prepared to participate in the research study described above.,I accept the use of my Prolific ID ${e://Field/PROLIFIC_PID}	None of the above can be inferred from the figures.	Figure 1	Female applicants will be more likely to mistakenly be rejected than male applicants.	Figure 2	Mildly unfair	This model is based on skin color.	Mildly unbiased	I think it should not be based on race unless the current condition is more present in that demographic.	Neither useful nor unusable	I would not know unless the conditions were revealed. For example at the start of Covid African Americans was more likely to need more care so this model would be correct	Neither fair nor unfair	This model gave more people a chance and it showed that more data is needed to make a decision of who needed ICU support.	Neither biased nor unbiased	Not really each group was given the same probability.	Mostly useful	Yes, It shows that sometimes models can be off by a lot.	Yes	None I think the models were based on a prediction that is had for anyone to predict.	Probably model Y	I selected Y because the model was fairer.	Definitely model X	The range of the groups was too one-sided.	Probably model Y	The results were closer to the prediction.	Probably model Y	Results are more evident. 	Probably ${e://Field/pref_model}	This model seems more true.	Probably model Z	based on the predicting required icu.	Probably ${e://Field/pref_model}	Just seems fairer.	High			Someone could die.	High			More data should be reviewed to not make a mistake.	Moderate			Society doesn't always take into account what an individual might need.	Moderate			The people that make decisions should do more research.	Yes			Yes			Yes			Advantaged			Primary Education	Others	614142ff523b552772f33124	61439223ecf74e491e22a39c	6144b795012e002f66d9310f	majority	outcome-fpr	icu	True	You have chosen model Y over model X.	model Y	bottom								Advantaged	6144b795012e002f66d9310f	APPROVED	2021-09-17 15:43:36.101000	2021-09-17 16:35:16.974000	3100.873	49.0	126	0	100	2021-09-20 16:34:45.177000	19AE28A9	United States	United States	Not in paid work (e.g. homemaker', 'retired or disabled)	Non-Caucasian	English	United States	Female	No	
